service_id,date,exception_type
31,20200711,1
15,20200712,1
11745,20200620,1
11745,20200621,1
11745,20200616,1
11745,20200617,1
11745,20200618,1
11745,20200619,1
11745,20200622,1
11745,20200623,1
11745,20200624,1
11745,20200625,1
11745,20200626,1
11745,20200706,1
11745,20200707,1
11745,20200708,1
11745,20200709,1
11745,20200710,1
11745,20200727,1
11745,20200728,1
11745,20200729,1
11745,20200730,1
11745,20200731,1
11745,20200704,1
11745,20200705,1
11745,20200715,1
11745,20200716,1
11745,20200717,1
11745,20200718,1
11745,20200719,1
11745,20200720,1
11745,20200721,1
11745,20200722,1
11745,20200723,1
11745,20200724,1
11745,20200725,1
11745,20200726,1
11745,20200803,1
11745,20200804,1
11745,20200805,1
11745,20200806,1
11745,20200807,1
11745,20200808,1
11745,20200809,1
11745,20200810,1
11745,20200811,1
11745,20200812,1
11745,20200813,1
11745,20200814,1
11745,20200815,1
11745,20200816,1
11745,20200817,1
11745,20200818,1
11745,20200819,1
11745,20200820,1
11745,20200821,1
11745,20200822,1
11745,20200823,1
11745,20200713,2
11745,20200714,2
11745,20200629,2
11745,20200630,2
11745,20200701,2
11745,20200702,2
11745,20200703,2
11746,20200629,1
11746,20200630,1
11746,20200701,1
11746,20200702,1
11746,20200706,1
11746,20200707,1
11746,20200708,1
11746,20200709,1
11746,20200616,1
11746,20200617,1
11746,20200618,1
11746,20200619,1
11746,20200622,1
11746,20200623,1
11746,20200624,1
11746,20200625,1
11746,20200626,1
11746,20200715,1
11746,20200716,1
11746,20200717,1
11746,20200720,1
11746,20200721,1
11746,20200722,1
11746,20200723,1
11746,20200724,1
11746,20200727,1
11746,20200728,1
11746,20200729,1
11746,20200730,1
11746,20200731,1
11746,20200803,1
11746,20200804,1
11746,20200805,1
11746,20200806,1
11746,20200807,1
11746,20200810,1
11746,20200811,1
11746,20200812,1
11746,20200813,1
11746,20200814,1
11746,20200817,1
11746,20200818,1
11746,20200819,1
11746,20200820,1
11746,20200821,1
11746,20200824,1
11746,20200825,1
11746,20200826,1
11746,20200827,1
11746,20200828,1
11746,20200901,2
11746,20200902,2
11746,20200903,2
11746,20200908,2
11746,20200909,2
11746,20200910,2
11746,20200713,2
11746,20200714,2
11746,20200703,2
11746,20200710,2
11747,20200830,1
11747,20200802,1
11748,20200713,2
11748,20200714,2
916,20200628,1
11749,20200712,2
11749,20200802,2
1079,20200628,1
11750,20200913,1
11750,20200912,1
488,20200713,1
11751,20200829,1
550,20200801,1
550,20200829,1
108,20200621,1
11753,20200714,1
11753,20200628,2
11753,20200712,2
11755,20200622,1
11755,20200623,1
11755,20200624,1
11755,20200625,1
11755,20200629,1
11755,20200630,1
11755,20200701,1
11755,20200702,1
11755,20200706,1
11755,20200707,1
11755,20200708,1
11755,20200709,1
11755,20200831,1
11755,20200901,1
11755,20200902,1
11755,20200903,1
11755,20200907,1
11755,20200908,1
11755,20200909,1
11755,20200910,1
11755,20200616,1
11755,20200617,1
11755,20200618,1
11755,20200914,1
11757,20200621,1
11757,20200713,2
11757,20200714,2
11758,20200830,1
11758,20200802,1
331,20200714,1
11759,20200906,1
4546,20200629,1
4546,20200630,1
4546,20200701,1
4546,20200702,1
4546,20200703,1
4546,20200727,1
4546,20200728,1
4546,20200729,1
4546,20200730,1
4546,20200731,1
4546,20200824,1
4546,20200825,1
4546,20200826,1
4546,20200827,1
4546,20200828,1
11762,20200704,1
11762,20200705,1
11762,20200808,1
11762,20200809,1
11762,20200815,1
11762,20200620,1
11762,20200621,1
11762,20200822,1
7153,20200801,1
7153,20200829,1
11764,20200714,1
11764,20200712,2
11765,20200713,2
11765,20200714,2
56,20200627,1
11767,20200704,1
11767,20200705,1
11767,20200808,1
11767,20200809,1
11767,20200620,1
11767,20200621,1
11767,20200816,1
11767,20200823,1
11768,20200801,1
11768,20200829,1
11769,20200830,1
11769,20200802,1
11770,20200621,1
11773,20200802,1
11774,20200627,2
11774,20200711,2
11774,20200801,2
11775,20200628,2
11775,20200712,2
11776,20200627,2
11776,20200711,2
11776,20200801,2
11777,20200627,1
11779,20200713,2
11779,20200714,2
11779,20200629,2
11779,20200630,2
11779,20200701,2
11779,20200702,2
11779,20200703,2
11779,20200727,2
11779,20200728,2
11779,20200729,2
11779,20200730,2
11779,20200731,2
11779,20200824,2
11779,20200825,2
11779,20200826,2
11779,20200827,2
11779,20200828,2
741,20200713,2
741,20200714,2
11780,20200713,2
11780,20200714,2
11781,20200628,1
11782,20200713,2
11782,20200714,2
11782,20200814,2
11782,20200821,2
11782,20200828,2
11783,20200704,1
11783,20200705,1
11783,20200718,1
11783,20200620,1
11783,20200621,1
11783,20200725,1
2646,20200801,1
2646,20200829,1
2646,20200627,1
2646,20200905,1
11784,20200627,1
11784,20200801,1
5115,20200714,1
5115,20200704,1
5115,20200705,1
5115,20200620,1
5115,20200621,1
1082,20200704,1
1082,20200705,1
1082,20200620,1
1082,20200621,1
11785,20200713,2
11785,20200714,2
11786,20200705,1
2740,20200627,1
5775,20200714,1
5775,20200704,1
5775,20200705,1
5775,20200620,1
11787,20200622,1
11787,20200623,1
11787,20200624,1
11787,20200625,1
11787,20200629,1
11787,20200630,1
11787,20200701,1
11787,20200702,1
11787,20200706,1
11787,20200707,1
11787,20200708,1
11787,20200709,1
11787,20200831,1
11787,20200901,1
11787,20200902,1
11787,20200903,1
11787,20200907,1
11787,20200908,1
11787,20200909,1
11787,20200910,1
11787,20200616,1
11787,20200617,1
11787,20200618,1
11787,20200914,1
11788,20200704,1
11788,20200705,1
11788,20200620,1
11788,20200621,1
11788,20200831,1
11788,20200901,1
11788,20200902,1
11788,20200903,1
11788,20200904,1
11788,20200907,1
11788,20200908,1
11788,20200909,1
11788,20200910,1
11788,20200911,1
11788,20200914,1
11788,20200718,1
11788,20200719,1
11788,20200725,1
11788,20200726,1
11789,20200801,1
2225,20200720,1
11790,20200621,1
11791,20200727,1
11791,20200728,1
11791,20200729,1
11791,20200730,1
11791,20200731,1
11791,20200803,1
11791,20200804,1
11791,20200805,1
11791,20200806,1
11791,20200807,1
924,20200629,1
924,20200630,1
924,20200701,1
924,20200702,1
924,20200703,1
924,20200727,1
924,20200728,1
924,20200729,1
924,20200730,1
924,20200731,1
924,20200824,1
924,20200825,1
924,20200826,1
924,20200827,1
924,20200828,1
330,20200627,1
11793,20200829,2
11794,20200829,2
11795,20200713,2
11795,20200714,2
11795,20200814,2
11795,20200821,2
11795,20200828,2
11796,20200808,1
11796,20200822,1
11798,20200829,2
11799,20200802,1
11799,20200830,1
11799,20200628,1
11800,20200715,1
11800,20200629,1
11800,20200706,1
11800,20200720,2
11800,20200817,2
5030,20200704,1
5030,20200620,1
11801,20200725,1
11801,20200726,1
11801,20200718,1
11801,20200719,1
11801,20200704,1
11801,20200705,1
11801,20200620,1
11801,20200621,1
11801,20200616,1
11801,20200617,1
11801,20200618,1
11801,20200619,1
11801,20200622,1
11801,20200623,1
11801,20200624,1
11801,20200625,1
11801,20200626,1
11801,20200713,2
11801,20200714,2
11801,20200727,2
11801,20200728,2
11801,20200729,2
11801,20200730,2
11801,20200731,2
11801,20200824,2
11801,20200825,2
11801,20200826,2
11801,20200827,2
11801,20200828,2
11802,20200714,1
11803,20200622,1
11803,20200817,1
11805,20200801,1
11805,20200829,1
11805,20200627,1
11805,20200905,1
11806,20200621,1
11808,20200627,2
11808,20200711,2
11808,20200801,2
11809,20200830,1
11809,20200802,1
11810,20200703,1
11810,20200731,1
11810,20200618,1
11810,20200619,1
11810,20200622,1
11810,20200623,1
11810,20200624,1
11810,20200625,1
11810,20200626,1
11810,20200706,1
11810,20200707,1
11810,20200708,1
11810,20200709,1
11810,20200710,1
11810,20200715,1
11810,20200716,1
11810,20200717,1
11810,20200720,1
11810,20200721,1
11810,20200722,1
11810,20200723,1
11810,20200724,1
11810,20200803,1
11810,20200804,1
11810,20200805,1
11810,20200806,1
11810,20200807,1
11810,20200831,1
11810,20200907,1
11810,20200914,1
11810,20200713,2
11810,20200714,2
11812,20200829,1
11814,20200808,1
11815,20200830,1
11815,20200802,1
11817,20200802,1
11817,20200830,1
11817,20200628,1
11818,20200713,2
11818,20200714,2
11820,20200801,1
11820,20200627,1
11820,20200829,1
11823,20200801,1
11823,20200829,1
11824,20200822,2
11826,20200717,1
11826,20200724,1
11826,20200616,1
11826,20200617,1
11826,20200618,1
11826,20200619,1
11826,20200622,1
11826,20200623,1
11826,20200624,1
11826,20200625,1
11826,20200626,1
11826,20200706,1
11826,20200707,1
11826,20200708,1
11826,20200709,1
11826,20200710,1
11826,20200831,1
11826,20200901,1
11826,20200902,1
11826,20200903,1
11826,20200904,1
11826,20200907,1
11826,20200908,1
11826,20200909,1
11826,20200910,1
11826,20200911,1
11826,20200914,1
11829,20200627,1
11829,20200801,1
1479,20200703,1
11830,20200704,1
11830,20200705,1
11830,20200620,1
11830,20200621,1
3847,20200713,2
