route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1506037,31,OCESN003353F2502535895,"3353",1,,
OCE1506037,588,OCESN003305F5605618478,"3305",1,,
OCE1506037,15,OCESN003303F6606620282,"3303",1,,
OCE1506037,31,OCESN003315F5405418717,"3315",1,,
OCE1506037,31,OCESN003313F8008023363,"3313",1,,
OCE1506037,588,OCESN003307F4804820378,"3307",1,,
OCE1506037,31,OCESN003309F8708721391,"3309",1,,
OCE1506037,588,OCESN003377F6206215479,"3377",1,,
OCE1506037,31,OCESN003381F4804821443,"3381",1,,
OCE1506037,31,OCESN003375F7007017467,"3375",1,,
OCE1506037,11745,OCESN003337F37037~NIB_202051336,"3337",1,,
OCE1506037,15,OCESN003345F3303324797,"3345",1,,
OCE1506037,481,OCESN003321F270278653,"3321",1,,
OCE1506037,11746,OCESN003341F16016~NIB_202051333,"3341",1,,
OCE1506037,11747,OCESN003335F3503523072,"3335",1,,
OCE1506037,15,OCESN003367F2302319524,"3367",1,,
OCE1506037,11748,OCESN003347F19019~NIB50361,"3347",1,,
OCE1506037,916,OCESN003341F5405429926,"3341",1,,
OCE1506037,11749,OCESN003333F31031~NID50333,"3333",1,,
OCE1506037,1079,OCESN003337F5205215502,"3337",1,,
OCE1506037,11750,OCESN003335F20020_202060336,"3335",1,,
OCE1506037,488,OCESN003359F1901918771,"3359",1,,
OCE1506037,11751,OCESN003367F1901919525,"3367",1,,
OCE1506037,550,OCESN003337F4404415503,"3337",1,,
OCE1506037,916,OCESN003367F2102119526,"3367",1,,
OCE1506037,11752,OCESN003357F51051~NIB50377,"3357",1,,
OCE1506037,108,OCESN003315F5305318730,"3315",1,,
OCE1506037,11753,OCESN003355F41041~NIB50375,"3355",1,,
OCE1506037,11754,OCESN003363F16016_202059774,"3363",1,,
OCE1506037,11755,OCESN003355F45045_202055496,"3355",1,,
OCE1506037,11756,OCESN003355F45045~NID50376,"3355",1,,
OCE1506037,916,OCESN003315F4904918726,"3315",1,,
OCE1506037,11757,OCESN003345F30030-9286~NIB_202051177,"3345",1,,
OCE1506037,11758,OCESN003333F32032~NID50332,"3333",1,,
OCE1506037,331,OCESN003337F5305315498,"3337",1,,
OCE1506037,11759,OCESN003335F35035~NIB50336,"3335",1,,
OCE1506037,916,OCESN003335F4804823078,"3335",1,,
OCE1506037,11760,OCESN003335F20020~NID50337,"3335",1,,
OCE1506037,11761,OCESN003353F23023~NID50369,"3353",1,,
