service_id,date,exception_type
7539,20200615,2
7539,20200616,2
7539,20200617,2
7539,20200618,2
7539,20200619,2
7539,20200622,2
7539,20200623,2
7539,20200624,2
7539,20200625,2
7539,20200626,2
7539,20200629,2
7539,20200630,2
7539,20200701,2
7539,20200702,2
7539,20200703,2
7539,20200831,2
7539,20200901,2
7539,20200902,2
7539,20200903,2
7539,20200904,2
1241,20200713,2
1241,20200714,2
1524,20200608,1
1524,20200609,1
1524,20200610,1
1524,20200611,1
1524,20200615,1
1524,20200616,1
1524,20200617,1
1524,20200618,1
1524,20200622,1
1524,20200623,1
1524,20200624,1
1524,20200625,1
1524,20200629,1
1524,20200630,1
1524,20200701,1
1524,20200702,1
1524,20200831,1
1524,20200901,1
1524,20200902,1
1524,20200903,1
472,20200713,1
12262,20200626,1
12262,20200703,1
12262,20200619,1
12262,20200904,1
12263,20200612,1
12264,20200714,1
12266,20200612,1
12266,20200619,1
12266,20200626,1
12266,20200703,1
12266,20200904,1
12266,20200817,2
12266,20200818,2
12266,20200819,2
12266,20200820,2
12268,20200904,1
12271,20200611,1
12272,20200713,2
12272,20200714,2
12272,20200612,2
12273,20200713,2
12274,20200703,1
12274,20200612,1
12274,20200901,1
12274,20200902,1
12274,20200903,1
12274,20200904,1
7502,20200608,1
7502,20200609,1
7502,20200610,1
7502,20200611,1
7502,20200614,1
7502,20200615,1
7502,20200616,1
7502,20200617,1
7502,20200618,1
7502,20200621,1
7502,20200622,1
7502,20200623,1
7502,20200624,1
7502,20200625,1
7502,20200628,1
7502,20200831,1
7502,20200901,1
7502,20200902,1
7502,20200903,1
7502,20200705,2
12275,20200714,1
12275,20200703,2
12275,20200705,2
12275,20200710,2
12275,20200712,2
12276,20200608,1
12276,20200609,1
12276,20200610,1
12276,20200611,1
12276,20200612,1
12276,20200615,1
12276,20200616,1
12276,20200617,1
12276,20200618,1
12276,20200619,1
12276,20200622,1
12276,20200623,1
12276,20200624,1
12276,20200625,1
12276,20200626,1
12276,20200629,1
12276,20200630,1
12276,20200701,1
12276,20200702,1
12276,20200703,1
12276,20200831,1
12276,20200901,1
12276,20200902,1
12276,20200903,1
12276,20200904,1
12277,20200615,1
12277,20200622,1
12277,20200629,1
12277,20200609,1
12277,20200610,1
12277,20200831,1
12278,20200713,1
12278,20200905,1
12279,20200715,1
12279,20200713,2
7204,20200904,1
1502,20200619,1
1502,20200626,1
1502,20200703,1
1502,20200612,1
1502,20200904,1
12280,20200609,1
12280,20200611,1
6161,20200904,1
5459,20200714,1
5459,20200705,2
5459,20200830,2
5458,20200830,1
5458,20200705,1
12283,20200612,1
11055,20200715,1
11055,20200609,1
11055,20200610,1
11055,20200611,1
11055,20200613,1
11055,20200616,1
11055,20200617,1
11055,20200618,1
11055,20200620,1
11055,20200901,1
11055,20200902,1
11055,20200903,1
11055,20200608,1
11055,20200615,1
11055,20200706,1
11055,20200720,1
11055,20200727,1
11055,20200803,1
11055,20200810,1
11055,20200817,1
11055,20200824,1
11055,20200831,1
11055,20200627,2
11055,20200704,2
11055,20200713,2
12284,20200608,1
12284,20200609,1
12284,20200610,1
12284,20200611,1
12284,20200614,1
12284,20200615,1
12284,20200616,1
12284,20200617,1
12284,20200618,1
12284,20200621,1
12284,20200622,1
12284,20200623,1
12284,20200624,1
12284,20200625,1
12284,20200628,1
12284,20200831,1
12284,20200901,1
12284,20200902,1
12284,20200903,1
12284,20200705,2
6312,20200620,1
6312,20200627,1
6312,20200613,1
6312,20200905,1
6312,20200612,1
6312,20200619,1
6312,20200626,1
6312,20200713,2
6312,20200714,2
6312,20200704,2
6312,20200615,2
6312,20200616,2
6312,20200617,2
6312,20200618,2
6312,20200622,2
6312,20200623,2
6312,20200624,2
6312,20200625,2
6312,20200831,2
6312,20200901,2
6312,20200902,2
6312,20200903,2
6279,20200714,1
1472,20200714,1
3434,20200608,1
3434,20200615,1
3434,20200622,1
3434,20200629,1
3434,20200831,1
12285,20200713,1
12285,20200705,1
12285,20200613,1
12285,20200620,1
12285,20200627,1
12285,20200704,1
51,20200904,1
12286,20200608,1
12287,20200904,2
835,20200613,1
6258,20200714,2
12289,20200831,1
6253,20200714,1
6253,20200628,2
6253,20200621,2
12291,20200616,1
12291,20200617,1
12291,20200618,1
12291,20200619,1
12291,20200623,1
12291,20200624,1
12291,20200625,1
12291,20200626,1
12291,20200630,1
12291,20200701,1
12291,20200702,1
12291,20200703,1
12291,20200609,1
12291,20200610,1
12291,20200901,1
12291,20200902,1
12291,20200903,1
12291,20200904,1
1265,20200612,1
12292,20200714,2
12293,20200619,1
12293,20200626,1
12293,20200703,1
12293,20200612,1
12293,20200904,1
12294,20200611,2
12295,20200714,2
12295,20200715,2
5722,20200713,2
5722,20200628,2
5722,20200629,2
5722,20200630,2
5722,20200701,2
5722,20200702,2
5722,20200703,2
5722,20200704,2
5722,20200705,2
5722,20200706,2
5722,20200707,2
5722,20200708,2
5722,20200709,2
5722,20200710,2
5722,20200711,2
5722,20200712,2
12296,20200626,1
12296,20200703,1
12296,20200608,1
12296,20200609,1
12296,20200610,1
12296,20200611,1
12296,20200614,1
12296,20200615,1
12296,20200616,1
12296,20200617,1
12296,20200618,1
12296,20200621,1
12296,20200831,1
12296,20200901,1
12296,20200902,1
12296,20200903,1
12296,20200705,2
12296,20200612,2
12296,20200619,2
12297,20200612,1
12298,20200821,2
12299,20200715,1
12299,20200713,2
12301,20200612,1
12302,20200821,1
12303,20200616,1
12303,20200617,1
12303,20200618,1
12303,20200621,1
12303,20200623,1
