trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN008473F1801823167,10:48:00,10:48:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008473F1801823167,12:56:00,13:02:00,StopPoint:OCETGV INOUI-87581009,1,"",0,0,
OCESN008473F1801823167,13:22:00,13:25:00,StopPoint:OCETGV INOUI-87582478,2,"",0,0,
OCESN008473F1801823167,13:41:00,13:41:00,StopPoint:OCETGV INOUI-87582668,3,"",0,0,
OCESN008479F0400412668,18:14:00,18:14:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008479F0400412668,20:26:00,20:31:00,StopPoint:OCETGV INOUI-87581009,1,"",0,0,
OCESN008479F0400412668,20:50:00,20:53:00,StopPoint:OCETGV INOUI-87582478,2,"",0,0,
OCESN008479F0400412668,21:04:00,21:07:00,StopPoint:OCETGV INOUI-87582643,3,"",0,0,
OCESN008479F0400412668,21:12:00,21:12:00,StopPoint:OCETGV INOUI-87582668,4,"",0,0,
OCESN008477F0500512295,18:14:00,18:14:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008477F0500512295,20:02:00,20:05:00,StopPoint:OCETGV INOUI-87583005,1,"",0,0,
OCESN008477F0500512295,20:41:00,20:47:00,StopPoint:OCETGV INOUI-87581009,2,"",0,0,
OCESN008477F0500512295,21:09:00,21:12:00,StopPoint:OCETGV INOUI-87582478,3,"",0,0,
OCESN008477F0500512295,21:41:00,21:41:00,StopPoint:OCETGV INOUI-87582668,4,"",0,0,
OCESN008477F0600612296,18:14:00,18:14:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008477F0600612296,20:02:00,20:05:00,StopPoint:OCETGV INOUI-87583005,1,"",0,0,
OCESN008477F0600612296,20:41:00,20:47:00,StopPoint:OCETGV INOUI-87581009,2,"",0,0,
OCESN008477F0600612296,21:09:00,21:12:00,StopPoint:OCETGV INOUI-87582478,3,"",0,0,
OCESN008477F0600612296,21:33:00,21:33:00,StopPoint:OCETGV INOUI-87582668,4,"",0,0,
OCESN008471F040043773,07:48:00,07:48:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008471F040043773,09:56:00,10:05:00,StopPoint:OCETGV INOUI-87581009,1,"",0,0,
OCESN008471F040043773,10:26:00,10:29:00,StopPoint:OCETGV INOUI-87582478,2,"",0,0,
OCESN008471F040043773,10:44:00,10:44:00,StopPoint:OCETGV INOUI-87582668,3,"",0,0,
OCESN008479F04004~TGA50095,18:14:00,18:14:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008479F04004~TGA50095,20:26:00,20:31:00,StopPoint:OCETGV-87581009,1,"",0,0,
OCESN008479F04004~TGA50095,20:50:00,20:53:00,StopPoint:OCETGV-87582478,2,"",0,0,
OCESN008479F04004~TGA50095,21:04:00,21:07:00,StopPoint:OCETGV-87582643,3,"",0,0,
OCESN008479F04004~TGA50095,21:12:00,21:12:00,StopPoint:OCETGV-87582668,4,"",0,0,
OCESN008479F04004~TGD50096,18:14:00,18:14:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008479F04004~TGD50096,20:26:00,20:31:00,StopPoint:OCETGV-87581009,1,"",0,0,
OCESN008479F04004~TGD50096,20:50:00,20:53:00,StopPoint:OCETGV-87582478,2,"",0,0,
OCESN008479F04004~TGD50096,21:04:00,21:07:00,StopPoint:OCETGV-87582643,3,"",0,0,
OCESN008479F04004~TGD50096,21:12:00,21:12:00,StopPoint:OCETGV-87582668,4,"",0,0,
OCESN008461F11011~TGF50390,21:56:00,21:56:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008461F11011~TGF50390,22:59:00,23:03:00,StopPoint:OCETGV INOUI-87571240,1,"",0,0,
OCESN008461F11011~TGF50390,23:33:00,23:37:00,StopPoint:OCETGV INOUI-87575001,2,"",0,0,
OCESN008461F11011~TGF50390,24:15:00,24:18:00,StopPoint:OCETGV INOUI-87583005,3,"",0,0,
OCESN008461F11011~TGF50390,24:54:00,24:54:00,StopPoint:OCETGV INOUI-87581009,4,"",0,0,
OCESN008481F150156239,06:14:00,06:14:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008481F150156239,07:46:00,07:50:00,StopPoint:OCETGV INOUI-87575001,1,"",0,0,
OCESN008481F150156239,08:29:00,08:32:00,StopPoint:OCETGV INOUI-87583005,2,"",0,0,
OCESN008481F150156239,09:12:00,09:15:00,StopPoint:OCETGV INOUI-87584052,3,"",0,0,
OCESN008481F150156239,09:37:00,09:37:00,StopPoint:OCETGV INOUI-87581009,4,"",0,0,
OCESN008483F12012~TGF50176,08:22:00,08:22:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008483F12012~TGF50176,09:45:00,09:49:00,StopPoint:OCETGV INOUI-87575001,1,"",0,0,
OCESN008483F12012~TGF50176,10:30:00,10:33:00,StopPoint:OCETGV INOUI-87583005,2,"",0,0,
OCESN008483F12012~TGF50176,11:12:00,11:15:00,StopPoint:OCETGV INOUI-87584052,3,"",0,0,
OCESN008483F12012~TGF50176,11:37:00,11:37:00,StopPoint:OCETGV INOUI-87581009,4,"",0,0,
OCESN008433F09009~TGF50260,10:07:00,10:07:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
