stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87391003,"Gare de Paris-Montparnasse 1-2",,48.84062983,2.31989439,,,1,
StopArea:OCE87583005,"Gare de Angoulême",,45.65393498,0.16452848,,,1,
StopArea:OCE87581009,"Gare de Bordeaux-St-Jean",,44.82653979,-0.55619406,,,1,
StopArea:OCE87582478,"Gare de Biganos-Facture",,44.63748155,-0.96602054,,,1,
StopArea:OCE87582643,"Gare de La Teste",,44.63695908,-1.14297865,,,1,
StopArea:OCE87582668,"Gare de Arcachon",,44.65891706,-1.16536843,,,1,
StopArea:OCE87571216,"Gare de Vendôme-Villiers-s-Loir",,47.8203239,1.01966733,,,1,
StopArea:OCE87571240,"Gare de St-Pierre-des-Corps",,47.38573204,0.72505388,,,1,
StopArea:OCE87575142,"Gare de Chatellerault",,46.81856464,0.54921798,,,1,
StopArea:OCE87575001,"Gare de Poitiers",,46.58218335,0.33308432,,,1,
StopArea:OCE87584052,"Gare de Libourne",,44.91588446,-0.23636765,,,1,
StopArea:OCE87393702,"Gare de Massy-TGV",,48.72602849,2.26156762,,,1,
StopArea:OCE87673202,"Gare de Dax",,43.72066682,-1.05032404,,,1,
StopArea:OCE87673004,"Gare de Bayonne",,43.4967594,-1.47039808,,,1,
StopArea:OCE87673400,"Gare de Biarritz",,43.45937697,-1.54601123,,,1,
StopArea:OCE87677120,"Gare de St-Jean-de-Luz-Ciboure",,43.38584546,-1.66116196,,,1,
StopArea:OCE87677005,"Gare de Hendaye",,43.35299487,-1.78186851,,,1,
StopArea:OCE87485490,"Gare de St-Maixent (Deux-Sèvr.)",,46.40630762,-0.20130625,,,1,
StopArea:OCE87485300,"Gare de Niort",,46.31934516,-0.45439057,,,1,
StopArea:OCE87485227,"Gare de Surgères",,46.11341598,-0.76213303,,,1,
StopArea:OCE87485003,"Gare de La Rochelle-Ville",,46.15270103,-1.14530035,,,1,
StopArea:OCE87571000,"Gare de Tours",,47.38981372,0.69350509,,,1,
StopArea:OCE87586008,"Gare de Agen",,44.20797206,0.62090454,,,1,
StopArea:OCE87611244,"Gare de Montauban-Ville-Bourbon",,44.01463933,1.34197365,,,1,
StopArea:OCE87324095,"Gare de Futuroscope",,46.66985027,0.37720187,,,1,
StopArea:OCE87611004,"Gare de Toulouse-Matabiau",,43.61146412,1.45355763,,,1,
StopArea:OCE87672253,"Gare de Orthez",,43.4840995,-0.76762492,,,1,
StopArea:OCE87672006,"Gare de Pau",,43.29166733,-0.3696496,,,1,
StopArea:OCE87671339,"Gare de Lourdes",,43.10042847,-0.04219186,,,1,
StopArea:OCE87671008,"Gare de Tarbes",,43.23980288,0.06940671,,,1,
StopArea:OCE87113001,"Gare de Paris-Est",,48.87656977,2.35915061,,,1,
StopArea:OCE87212027,"Gare de Strasbourg",,48.5851719,7.73396834,,,1,
StopArea:OCE87214056,"Gare de Sélestat",,48.25963804,7.44210277,,,1,
StopArea:OCE87182014,"Gare de Colmar",,48.07315381,7.34708413,,,1,
StopArea:OCE80142281,"Gare de Karlsruhe-Hbf",,48.99441342,8.40028628,,,1,
StopArea:OCE80140087,"Gare de Mannheim-Hbf",,49.47974384,8.47011276,,,1,
StopArea:OCE80110684,"Gare de Frankfurt/M (Francfort)",,50.10725545,8.66408545,,,1,
StopArea:OCE80143099,"Gare de Offenburg",,48.47646638,7.94672063,,,1,
StopArea:OCE80143198,"Gare de Lahr",,48.34061018,7.83531079,,,1,
StopArea:OCE80143313,"Gare de Emmendingen",,48.11931353,7.84792177,,,1,
StopArea:OCE80143503,"Gare de Freiburg-Breisgau",,47.99778994,7.84158594,,,1,
StopArea:OCE80290346,"Gare de Stuttgart",,48.78364169,9.18053567,,,1,
StopArea:OCE80291039,"Gare de Ulm-Hbf",,48.39937589,9.98323696,,,1,
StopArea:OCE80021402,"Gare de Augsburg-Hbf",,48.36555503,10.88638945,,,1,
StopArea:OCE80203471,"Gare de München Hbf (Munich)",,48.14030243,11.56007782,,,1,
StopArea:OCE87171926,"Gare de Champagne-Ardenne",,49.21164026,3.98878814,,,1,
StopArea:OCE87147322,"Gare de Meuse-TGV",,48.97849058,5.27105413,,,1,
StopArea:OCE87396002,"Gare de Le Mans",,47.99558372,0.19214284,,,1,
StopArea:OCE87471003,"Gare de Rennes",,48.10351528,-1.67232664,,,1,
StopArea:OCE87473108,"Gare de Lamballe",,48.46592233,-2.51148941,,,1,
