route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE137,7539,OCESN008473F1801823167,"8473",1,,
OCE137,12261,OCESN008479F0400412668,"8479",1,,
OCE137,1241,OCESN008477F0500512295,"8477",1,,
OCE137,1524,OCESN008477F0600612296,"8477",1,,
OCE137,472,OCESN008471F040043773,"8471",1,,
OCE137,12262,OCESN008479F04004~TGA50095,"8479",1,,
OCE137,12263,OCESN008479F04004~TGD50096,"8479",1,,
OCE137,12264,OCESN008461F11011~TGF50390,"8461",1,,
OCE137,1482,OCESN008481F150156239,"8481",1,,
OCE137,12265,OCESN008483F12012~TGF50176,"8483",1,,
OCE137,12266,OCESN008433F09009~TGF50260,"8433",1,,
OCE137,12267,OCESN008421F03003_202057145,"8421",1,,
OCE137,12268,OCESN008415F07007~TGF50082,"8415",1,,
OCE137,8196,OCESN008401F0700725202,"8401",1,,
OCE137,12269,OCESN008271F06006~TGF50966,"8271",1,,
OCE137,12270,OCESN008483F1501516159,"8483",1,,
OCE137,7006,OCESN008487F0400428870,"8487",1,,
OCE137,12271,OCESN008431F09009~TGP50172,"8431",1,,
OCE137,12272,OCESN008449F02002~TGF50099,"8449",1,,
OCE137,12273,OCESN008421F04004~TGF50655,"8421",1,,
OCE137,12274,OCESN008417F06006~TGF50662,"8417",1,,
OCE137,7502,OCESN008419F0700723070,"8419",1,,
OCE137,12275,OCESN008495F15015~TGF50594,"8495",1,,
OCE137,12276,OCESN008403F04004~TGF50595,"8403",1,,
OCE137,12277,OCESN008453F07007~TGF50874,"8453",1,,
OCE137,12278,OCESN008487F03003~TGF50823,"8487",1,,
OCE137,7448,OCESN008417F0400423578,"8417",1,,
OCE137,12279,OCESN008459F01001~TGF50523,"8459",1,,
OCE137,7203,OCESN008495F1601622064,"8495",1,,
OCE137,7204,OCESN008495F0500522066,"8495",1,,
OCE137,1502,OCESN008265F0600621692,"8265",1,,
OCE137,12280,OCESN008481F160166242,"8481",1,,
OCE137,6161,OCESN008461F0700719020,"8461",1,,
OCE137,519,OCESN008457F150159213,"8457",1,,
OCE137,2630,OCESN008457F110119212,"8457",1,,
OCE137,12281,OCESN008455F0800814447,"8455",1,,
OCE137,5459,OCESN008273F1001017211,"8273",1,,
OCE137,12282,OCESN008433F2102117188,"8433",1,,
OCE137,5458,OCESN008273F1301317214,"8273",1,,
OCE137,1483,OCESN008481F180186244,"8481",1,,
OCE137,12283,OCESN008431F0900916129,"8431",1,,
OCE137,11055,OCESN008251F1701739628,"8251",1,,
OCE137,6371,OCESN008267F0800819596,"8267",1,,
OCE137,12284,OCESN008413F04004~TGF51035,"8413",1,,
OCE137,1524,OCESN008411F0200232111,"8411",1,,
OCE137,6312,OCESN008261F1501519470,"8261",1,,
OCE137,6279,OCESN008261F1401419471,"8261",1,,
OCE137,1472,OCESN008483F1601616156,"8483",1,,
OCE137,3434,OCESN008431F0700716130,"8431",1,,
OCE137,12285,OCESN008483F12012~TGA50177,"8483",1,,
OCE137,51,OCESN008453F1101131031,"8453",1,,
OCE137,12286,OCESN008453F0700731034,"8453",1,,
OCE137,12287,OCESN008483F15015~TGA50175,"8483",1,,
OCE137,12288,OCESN008489F07007-794149670,"8489",1,,
OCE137,835,OCESN008491F0500519325,"8491",1,,
OCE137,6258,OCESN008491F1301319331,"8491",1,,
OCE137,12289,OCESN008417F0600623579,"8417",1,,
OCE137,12290,OCESN008415F0700711982,"8415",1,,
OCE137,6253,OCESN008491F1201219341,"8491",1,,
OCE137,12291,OCESN008431F09009~TGA50171,"8431",1,,
OCE137,1265,OCESN008493F1201225449,"8493",1,,
OCE137,12292,OCESN008455F08008~TGA50137,"8455",1,,
OCE137,12293,OCESN008271F0600638925,"8271",1,,
OCE137,12294,OCESN008481F16016~TGD50025,"8481",1,,
OCE137,9068,OCESN008487F0600628866,"8487",1,,
OCE137,12295,OCESN008459F0100120901,"8459",1,,
OCE137,2592,OCESN008493F1301325450,"8493",1,,
OCE137,2094,OCESN008487F0500528860,"8487",1,,
OCE137,5725,OCESN008485F1101117829,"8485",1,,
OCE137,5722,OCESN008485F1201217828,"8485",1,,
OCE137,12296,OCESN008489F0700717457,"8489",1,,
OCE137,12297,OCESN008495F1501522062,"8495",1,,
OCE137,12298,OCESN008433F09009~TGA50259,"8433",1,,
OCE137,12299,OCESN008487F03003~TGA50824,"8487",1,,
OCE137,12300,OCESN008453F06006~TGA50872,"8453",1,,
OCE137,12301,OCESN008449F0200212926,"8449",1,,
OCE137,12302,OCESN008433F21021~TGA50258,"8433",1,,
OCE137,12303,OCESN008453F07007~TGA50875,"8453",1,,
OCE137,12304,OCESN008231F1101123147,"8231",1,,
OCE137,6690,OCESN008531F2402422981,"8531",1,,
OCE137,12305,OCESN008549F1401425512,"8549",1,,
OCE137,140,OCESN008547F0700725940,"8547",1,,
OCE137,12306,OCESN008535F18018-289549601,"8535",1,,
OCE137,12307,OCESN008535F18018-289449600,"8535",1,,
OCE137,2073,OCESN008235F0500523374,"8235",1,,
OCE137,12308,OCESN008553F1601619657,"8553",1,,
OCE137,12309,OCESN008535F1801813260,"8535",1,,
OCE137,12310,OCESN008541F1901930005,"8541",1,,
OCE137,140,OCESN008541F1801830006,"8541",1,,
OCE137,12311,OCESN008551F1801834412,"8551",1,,
OCE137,12312,OCESN008541F19019-10061~TGF51081,"8541",1,,
OCE137,7539,OCESN008537F2502523207,"8537",1,,
OCE137,6460,OCESN008533F0300319914,"8533",1,,
OCE137,12313,OCESN008549F14014-957749835,"8549",1,,
OCE137,12314,OCESN008549F14014-957849836,"8549",1,,
OCE137,12315,OCESN008551F18018-1091749908,"8551",1,,
OCE137,12316,OCESN008231F11011-895549796,"8231",1,,
OCE137,12317,OCESN008553F16016-835049709,"8553",1,,
OCE137,12318,OCESN008369F02002~TGF50019,"8369",1,,
OCE137,12319,OCESN008375F21021~TGF50032,"8375",1,,
OCE137,12320,OCESN008391F11011~TGF50488,"8391",1,,
OCE137,12321,OCESN008363F03003~TGF50328,"8363",1,,
OCE137,12322,OCESN008393F12012~TGF50083,"8393",1,,
OCE137,12323,OCESN008363F02002~TGF50329,"8363",1,,
OCE137,12324,OCESN008371F08008~TGF50622,"8371",1,,
OCE137,12325,OCESN008379F05005~TGF50777,"8379",1,,
OCE137,12326,OCESN008371F0800822905,"8371",1,,
OCE137,12327,OCESN008371F0900922907,"8371",1,,
OCE137,12328,OCESN008363F0200218162,"8363",1,,
OCE137,12329,OCESN008369F030035634,"8369",1,,
OCE137,1265,OCESN008361F0300317843,"8361",1,,
OCE137,12330,OCESN008363F0300318160,"8363",1,,
OCE137,12331,OCESN008369F020025633,"8369",1,,
