service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
384,1,1,1,1,1,1,1,20200618,20200906
9287,1,1,1,1,1,1,1,20200704,20200906
177,1,1,1,1,1,1,1,20200618,20200703
10324,1,1,1,1,1,0,0,20200706,20200904
10319,1,1,1,1,1,1,0,20200618,20200905
176,1,1,1,1,1,0,0,20200618,20200703
1855,1,1,1,1,1,0,1,20200705,20200906
11855,1,1,1,1,1,1,1,20200907,20200916
11856,1,1,1,1,1,1,1,20200907,20200916
11857,1,1,1,1,1,0,0,20200907,20200916
11858,1,1,1,1,1,1,1,20200907,20200916
11859,1,1,1,1,1,1,0,20200907,20200916
11860,1,1,1,1,1,0,1,20200907,20200916
11861,1,1,1,1,1,1,1,20200907,20200916
11862,1,1,1,1,1,1,1,20200907,20200916
4902,1,1,1,1,1,0,0,20200618,20200904
196,1,1,1,1,1,0,1,20200618,20200703
10321,1,1,1,1,1,0,1,20200705,20200906
11863,1,1,1,1,1,0,1,20200907,20200916
11864,1,1,1,1,1,0,0,20200907,20200916
11865,1,1,1,1,1,1,0,20200907,20200916
11866,1,1,1,1,1,1,1,20200907,20200916
11867,1,1,1,1,1,1,1,20200907,20200916
11868,1,1,1,1,1,1,1,20200907,20200916
11869,1,1,1,1,1,1,1,20200907,20200916
11870,1,1,1,1,1,1,1,20200907,20200916
11871,0,0,0,0,0,1,0,20200620,20200912
11872,1,1,1,1,1,0,0,20200618,20200916
11873,0,0,0,0,0,1,0,20200620,20200912
11874,0,0,0,0,0,0,1,20200621,20200913
11875,1,1,1,1,1,1,0,20200618,20200916
11876,1,1,1,1,1,0,0,20200618,20200916
11877,1,1,1,1,1,0,0,20200618,20200916
11878,1,1,1,1,1,0,0,20200618,20200916
2409,0,0,0,0,0,1,0,20200620,20200829
3943,0,0,0,0,0,0,1,20200621,20200712
11879,0,0,0,0,0,0,1,20200714,20200913
11880,1,1,1,1,1,0,0,20200618,20200916
11881,0,0,0,0,0,1,0,20200905,20200912
11882,0,0,0,0,0,1,0,20200620,20200912
11883,0,0,0,0,0,1,0,20200620,20200912
11884,1,1,1,1,1,0,0,20200618,20200916
11885,1,1,1,1,1,0,0,20200618,20200916
642,0,0,0,0,0,0,1,20200621,20200830
11886,0,0,0,0,0,0,1,20200906,20200913
11887,1,1,1,1,1,0,0,20200618,20200916
11888,1,1,1,1,1,0,0,20200618,20200916
11889,1,1,1,1,1,0,0,20200618,20200916
11890,1,1,1,1,1,1,0,20200618,20200916
11891,1,1,1,1,1,0,0,20200618,20200916
11892,1,1,1,1,1,0,0,20200618,20200916
11893,0,0,0,0,0,1,0,20200620,20200912
11894,0,0,0,0,0,0,1,20200621,20200913
11895,0,0,0,0,0,1,0,20200620,20200912
11896,0,0,0,0,0,1,1,20200620,20200913
11897,0,0,0,0,0,1,0,20200620,20200912
11898,1,1,1,1,1,0,0,20200618,20200916
11899,1,1,1,1,1,0,0,20200618,20200916
