route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE1113944,OCESN,"","Besançon Viotte - Besançon TGV",,2,,,
OCE646,OCESN,"","Perpignan-Villefranche",,3,,,
OCE637137,OCESN,"","Car BITCHE - SARREGUEMINES",,3,,,
OCE610,OCESN,"","Paris-Vaug. / Dreux / Argentan / Granville",,2,,,
OCE140660,OCESN,"","ligne routière La Bastide Langogne Mende",,3,,,
OCE1506035,OCESN,"","Paris-Vernon-Rouen-Le Havre",,2,,,
OCE1289990,OCESN,"","Paris-Toulouse-Cerbère/Latour de Carol/Rodez/Albi",,2,,,
OCE645663,OCESN,"","Paris-Clermont Fd",,2,,,
OCE16628,OCESN,"","Paris-Limoges-Toulouse + Eco Toulouse",,2,,,
OCE1053888,OCESN,"","IC Eco Paris-Lyon",,2,,,
OCESN-87212027-87214056,OCESN,"","Strasbourg - Sélestat",,2,,,
OCE362,OCESN,"","Verdun-Conflans-Hagondange-Metz",,2,,,
OCE725925,OCESN,"","Decize - Nevers - Cosne",,2,,,
OCESN-87182014-87182816,OCESN,"","Colmar - Metzeral",,2,,,
OCE140662,OCESN,"","ligne routière Carcassonne Quillan",,3,,,
OCE725905,OCESN,"","Paris Bercy - Dijon - Lyon (Multi-Activités)",,2,,,
OCE1630121,OCENI,"","CAR-Arras-St Pol-Etaples",,3,,,
OCE1650158,OCESN,"","Bayonne-St Jean Pied de Port",,2,,,
OCE587,OCESN,"","Le Mans / Alençon / Argentan  / Caen",,2,,,
OCE357,OCESN,"","Dijon-Culmont-Neufchateau-Toul- Nancy",,2,,,
OCE1337996,OCESN,"","Frasne- Vallorbe",,3,,,
OCE655,OCESN,"","ROMANS/BRIANCON",,2,,,
OCE1650141,OCESN,"","Limoges-Périgueux-Bordeaux",,2,,,
OCESN-87541797-87751438,OCESN,"","Aix-Gare-Routière - Simiane",,3,,,
OCE323,OCESN,"","Luxembourg-Metz-Nancy",,2,,,
OCE685637,OCESN,"","Les Arcs - Vintimille",,2,,,
OCE600929,OCESN,"","Cars Réguliers Haguenau - Niederbronn - Bitche",,3,,,
OCESN-87746479-87746875,OCESN,"","St-Gervais-L-B-Le-Fayet - Vallorcine",,2,,,
OCESN-87342014-87286005,OCESN,"","Arras - Lille Flandres",,3,,,
OCE1650136,OCESN,"","Limoges-Poitiers",,2,,,
OCESN-87345520-87286005,OCESN,"","Cambrai Ville - Lille Flandres",,3,,,
OCE651,OCESN,"","Nîmes-Mende-St Chély d'Apcher",,2,,,
OCESN-87184002-87185009,OCESN,"","Belfort-Ville - Vesoul",,2,,,
OCESN-87184002-87144006,OCESN,"","Belfort-Ville - Epinal",,2,,,
OCE156699,OCESN,"","Cars Lyon - (LTP - AMB) - Chambéry",,3,,,
OCE637145,OCESN,"","Car THIONVILLE - AUDUN LE ROMAN",,3,,,
OCE616989,OCESN,"","Cars Réguliers Strasbourg - Barr - Sélestat",,3,,,
OCE1209973,OCESN,"","Tours Chinon",,2,,,
OCESN-87571687-87571000,OCESN,"","Chinon - Tours",,2,,,
OCE384864,OCESN,"","Aurillac / Figeac / Capdenac",,3,,,
OCE725907,OCESN,"","Paray-le-Monial - Moulins-sur-Allier",,3,,,
OCE637146,OCESN,"","Car ST DIE - EPINAL",,3,,,
OCE701660,OCESN,"","CHARLEVILLE - THIONVILLE",,2,,,
OCE372846,OCESN,"","Autocars Argentan / Briouze / Bagnoles / Flers / Vire / Folligny / Granville",,3,,,
OCE1650135,OCESN,"","Limoges-St Yrieix-Brive",,2,,,
OCEFR=Line==608A9B0B-6DF0-475B-82BA-E9792D7972A5=,OCESN,"","ANNECY - COPPET",,2,,,
OCE1209983,OCESN,"","Droué - Chartres - Courtalain",,2,,,
OCE629127,OCESN,"","Cars Communay Sérézin",,3,,,
OCE140665,OCESN,"","ligne routière Alès Nîmes",,3,,,
OCESN-87581009-87775007,OCESN,"","Bordeaux-St-Jean - Nîmes",,2,,,
OCE1197975,OCESN,"","Bordeaux-Marseille",,2,,,
OCE637136,OCESN,"","Car SARREBOURG - SARREGUEMINES",,3,,,
OCE1630130,OCESN,"","CAR-Cambrai-Valenciennes",,3,,,
OCE725924,OCESN,"","Etang - Autun",,3,,,
OCE817871,OCESN,"","Mondoubleau - Vendome CAR",,3,,,
OCESN-87696013-87697128,OCESN,"","Bourg-en-Bresse Gare R - Lyon-Part-Dieu-Gare-Rou",,3,,,
OCESN-87172130-87172080,OCESN,"","Givet - Revin",,3,,,
OCE725915,OCESN,"","Auxerre - Clamecy - Corbigny",,3,,,
OCE1425992,OCESN,"","Besançon - Dijon",,2,,,
OCE637207,OCESN,"","FECAMP BREAUTE ROUTIER REGULIER",,3,,,
OCESN-87734004-87734426,OCESN,"","Clermont-Ferrand - Vertaizon",,2,,,
OCE358,OCESN,"","Remiremont-Epinal-Nancy-Metz",,2,,,
OCE726008,OCESN,"","Dijon - Nevers",,2,,,
OCESN-87193003-87192039,OCESN,"","Forbach - Metz-Ville",,2,,,
OCE325,OCESN,"","Saarbrücken-Forbach-Metz",,2,,,
OCE156689,OCESN,"","Cars Lyon - Ambérieu - St Rambert en B",,3,,,
OCESN-87485300-87491803,OCESN,"","Niort - Royan",,2,,,
OCE1650128,OCESN,"","Royan-Niort",,2,,,
OCE1197978,OCESN,"","Nantes-Bordeaux",,2,,,
OCE645599,OCESN,"","Cars Travaux Colmar - Metzeral",,3,,,
OCE180687,OCESN,"","Bus 4709 4711 Toulouse Albi Carmaux Rodez",,3,,,
OCE232739,OCESN,"","Cars Lyon St Paul - Lozanne",,3,,,
OCE584,OCESN,"","(Lx) / Caen / St Lo / Coutances / Granville (Rennes)",,2,,,
OCESN-87214247-87214320,OCESN,"","Barr - Rosheim",,3,,,
OCE637181,OCESN,"","Car SARREBOURG - MORHANGE",,3,,,
OCE156693,OCESN,"","Cars Macon - Bourg-en-Bresse",,3,,,
OCE637171,OCESN,"","Car LA BRESSE - REMIREMONT",,3,,,
OCESN-87725002-87725689,OCESN,"","Chalon-sur-Saône - Mâcon-Ville",,3,,,
OCE3,OCESN,"","Châteaubriant - Rennes",,2,,,
OCE1105890,OCESN,"","[AM05C] LAON - HIRSON / CAR",,3,,,
OCESN-87781104-87784009,OCESN,"","Narbonne - Perpignan",,2,,,
OCE156691,OCESN,"","Cars Roanne - St-Etienne",,3,,,
OCE1650124,OCESN,"","Poitiers-La Rochelle",,2,,,
OCE1850132,OCESN,"","BUS TER REIMS  FISMES",,3,,,
OCE1858132,OCESN,"","TER DOL DINAN",,3,,,
OCE464860,OCESN,"","Cars St Chély / St Flour / Arvant",,3,,,
OCE468859,OCESN,"","Cars Réguliers St-Dié-Ste Marie aux Mines-Sélestat",,3,,,
OCE1209979,OCESN,"","PAZ-ORL",,2,,,
OCE583,OCESN,"","Lisieux / Trouville-Deauville / Dives-Cabourg",,2,,,
OCESN-87696013-87723700,OCESN,"","Bourg-en-Bresse Gare R - Sathonay-Rillieux",,3,,,
OCESN-87734004-87734475,OCESN,"","Clermont-Ferrand - Thiers",,2,,,
OCE829852,OCESN,"","Cars Reguliers L 06  (Nantes - Clisson - Cholet)",,3,,,
OCESN-87214320-87214056,OCESN,"","Rosheim - Sélestat",,3,,,
OCE637120,OCESN,"","Car LONGUYON - MONTMEDY",,3,,,
OCE629083,OCESN,"","Car LONGWY - LONGUYON",,3,,,
OCE817867,OCESN,"","Tours - Vendôme - Chateaudun - Chartres CAR",,3,,,
OCE643,OCESN,"","Carcassonne-Quillan",,2,,,
OCESN-87611533-87611004,OCESN,"","Ax-les-Thermes - Toulouse-Matabiau",,3,,,
OCE909879,OCESN,"","Is-sur-Tille - Dijon - Les-Laumes",,2,,,
OCE817855,OCESN,"","Tours - Chateauroux CAR",,3,,,
OCE1650144,OCESN,"","Tulle-Brive-Perigueux-Bordeaux",,2,,,
OCE600927,OCESN,"","Cars Réguliers Strasbourg-Sarreguemines",,3,,,
OCE1097905,OCESN,"","St Brieuc-Dinan",,3,,,
OCE180695,OCESN,"","Bus 4733 4734 Toulouse Ax - Foix Tarascon Latour de Carol",,3,,,
OCE156697,OCESN,"","Cars Ambérieu - Chambéry",,3,,,
OCE1105901,OCESN,"","[AM21C] BEAUVAIS - ABANCOURT - LE TREPORT / CAR",,3,,,
OCE1618111,OCESN,"","Cars Lyon - Lozanne - Paray-Le-Monial",,3,,,
OCE160693,OCESN,"","Cars (Aix) - Chambéry- Bourg-St-Maurice",,3,,,
OCESN-87611616-87611004,OCESN,"","Foix - Toulouse-Matabiau",,3,,,
OCE817869,OCESN,"","Aubigny - Gien CAR",,3,,,
OCE637180,OCESN,"","Car BRUYERES - LUNEVILLE",,3,,,
OCE4626,OCESN,"","Toulouse / Luchon / Pau",,2,,,
OCE637135,OCESN,"","Car METZ - LONGWY",,3,,,
OCE1113942,OCESN,"","Dole / Pontarlier - Besançon / Dole / St Claude",,2,,,
OCESN-87345009-87286005,OCESN,"","Douai - Lille Flandres",,2,,,
OCE384852,OCESN,"","Clermont Fd / Le Puy (ligne 3)",,2,,,
OCESN-87212464-87212027,OCESN,"","Lauterbourg - Strasbourg",,2,,,
OCE356,OCESN,"","Pont-St-Vincent- Nancy",,2,,,
OCESN-87185249-87185009,OCESN,"","Lure - Vesoul",,3,,,
