trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN410856R0200232690,22:43:00,22:43:00,StopPoint:OCECar TER-87300863,0,"",0,0,
OCESN410856R0200232690,22:55:00,22:55:00,StopPoint:OCECar TER-87710731,1,"",0,0,
OCESN410856R0200232690,23:10:00,23:10:00,StopPoint:OCECar TER-87718007,2,"",0,0,
OCESN410854R0200231831,22:02:00,22:02:00,StopPoint:OCECar TER-87718007,0,"",0,0,
OCESN410854R0200231831,22:25:00,22:25:00,StopPoint:OCECar TER-87300863,1,"",0,0,
OCESN425357R0500529865,14:32:00,14:32:00,StopPoint:OCECar TER-87784561,0,"",0,0,
OCESN425357R0500529865,14:46:00,14:46:00,StopPoint:OCECar TER-87784611,1,"",0,0,
OCESN425357R0500529865,14:52:00,14:52:00,StopPoint:OCECar TER-87784629,2,"",0,0,
OCESN425357R0500529865,15:01:00,15:01:00,StopPoint:OCECar TER-87784637,3,"",0,0,
OCESN425357R0500529865,15:10:00,15:10:00,StopPoint:OCECar TER-87784660,4,"",0,0,
OCESN425357R0500529865,15:14:00,15:14:00,StopPoint:OCECar TER-87784686,5,"",0,0,
OCESN425365R0500536930,19:32:00,19:32:00,StopPoint:OCECar TER-87784561,0,"",0,0,
OCESN425365R0500536930,19:46:00,19:46:00,StopPoint:OCECar TER-87784611,1,"",0,0,
OCESN425365R0500536930,19:52:00,19:52:00,StopPoint:OCECar TER-87784629,2,"",0,0,
OCESN425365R0500536930,20:01:00,20:01:00,StopPoint:OCECar TER-87784637,3,"",0,0,
OCESN425365R0500536930,20:10:00,20:10:00,StopPoint:OCECar TER-87784660,4,"",0,0,
OCESN425365R0500536930,20:14:00,20:14:00,StopPoint:OCECar TER-87784686,5,"",0,0,
OCESN425365R0600636932,19:42:00,19:42:00,StopPoint:OCECar TER-87784561,0,"",0,0,
OCESN425365R0600636932,19:56:00,19:56:00,StopPoint:OCECar TER-87784611,1,"",0,0,
OCESN425365R0600636932,20:02:00,20:02:00,StopPoint:OCECar TER-87784629,2,"",0,0,
OCESN425365R0600636932,20:11:00,20:11:00,StopPoint:OCECar TER-87784637,3,"",0,0,
OCESN425365R0600636932,20:20:00,20:20:00,StopPoint:OCECar TER-87784660,4,"",0,0,
OCESN425365R0600636932,20:24:00,20:24:00,StopPoint:OCECar TER-87784686,5,"",0,0,
OCESN425359R0500536938,16:40:00,16:40:00,StopPoint:OCECar TER-87784561,0,"",0,0,
OCESN425359R0500536938,16:54:00,16:54:00,StopPoint:OCECar TER-87784611,1,"",0,0,
OCESN425359R0500536938,17:00:00,17:00:00,StopPoint:OCECar TER-87784629,2,"",0,0,
OCESN425359R0500536938,17:09:00,17:09:00,StopPoint:OCECar TER-87784637,3,"",0,0,
OCESN425359R0500536938,17:18:00,17:18:00,StopPoint:OCECar TER-87784660,4,"",0,0,
OCESN425359R0500536938,17:22:00,17:22:00,StopPoint:OCECar TER-87784686,5,"",0,0,
OCESN425355R0400437295,12:32:00,12:32:00,StopPoint:OCECar TER-87784561,0,"",0,0,
OCESN425355R0400437295,12:46:00,12:46:00,StopPoint:OCECar TER-87784611,1,"",0,0,
OCESN425355R0400437295,12:52:00,12:52:00,StopPoint:OCECar TER-87784629,2,"",0,0,
OCESN425355R0400437295,13:01:00,13:01:00,StopPoint:OCECar TER-87784637,3,"",0,0,
OCESN425355R0400437295,13:10:00,13:10:00,StopPoint:OCECar TER-87784660,4,"",0,0,
OCESN425355R0400437295,13:14:00,13:14:00,StopPoint:OCECar TER-87784686,5,"",0,0,
OCESN425351R0500536910,07:33:00,07:33:00,StopPoint:OCECar TER-87784561,0,"",0,0,
OCESN425351R0500536910,07:47:00,07:47:00,StopPoint:OCECar TER-87784611,1,"",0,0,
