route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1113944,1357,OCESN410856R0200232690,"410856",0,,
OCE1113944,1357,OCESN410854R0200231831,"410854",0,,
OCE646,384,OCESN425357R0500529865,"425357",1,,
OCE646,9287,OCESN425365R0500536930,"425365",1,,
OCE646,177,OCESN425365R0600636932,"425365",1,,
OCE646,10324,OCESN425359R0500536938,"425359",1,,
OCE646,384,OCESN425355R0400437295,"425355",1,,
OCE646,10319,OCESN425351R0500536910,"425351",1,,
OCE646,384,OCESN425353R0400436883,"425353",1,,
OCE646,176,OCESN425359R0600636939,"425359",1,,
OCE646,1855,OCESN425363R050057374,"425363",1,,
OCE646,177,OCESN425361R0600631516,"425361",1,,
OCE646,1854,OCESN425363R060067373,"425363",1,,
OCE646,9287,OCESN425361R0500531517,"425361",1,,
OCE646,11855,OCESN425355R02002_202055369,"425355",1,,
OCE646,11856,OCESN425365R03003_202055478,"425365",1,,
OCE646,11857,OCESN425359R03003_202055476,"425359",1,,
OCE646,11858,OCESN425361R03003_202057801,"425361",1,,
OCE646,11859,OCESN425351R03003_202055492,"425351",1,,
OCE646,11860,OCESN425363R03003_202065724,"425363",1,,
OCE646,11861,OCESN425353R02002_202055508,"425353",1,,
OCE646,11862,OCESN425357R03003~CAR_202051601,"425357",1,,
OCE646,9287,OCESN425364R0500536834,"425364",0,,
OCE646,384,OCESN425352R0400424191,"425352",0,,
OCE646,4902,OCESN425354R0500536851,"425354",0,,
OCE646,177,OCESN425364R0600636836,"425364",0,,
OCE646,384,OCESN425358R0500536943,"425358",0,,
OCE646,384,OCESN425360R050053801,"425360",0,,
OCE646,10319,OCESN425350R0400436921,"425350",0,,
OCE646,196,OCESN425362R0600636913,"425362",0,,
OCE646,10321,OCESN425362R0500536916,"425362",0,,
OCE646,384,OCESN425356R0400417084,"425356",0,,
OCE646,11863,OCESN425362R03003_202055488,"425362",0,,
OCE646,11864,OCESN425354R03003_202055521,"425354",0,,
OCE646,11865,OCESN425350R02002_202055486,"425350",0,,
OCE646,11866,OCESN425356R02002_202062721,"425356",0,,
OCE646,11867,OCESN425352R02002_202060455,"425352",0,,
OCE646,11868,OCESN425364R03003_202055530,"425364",0,,
OCE646,11869,OCESN425360R03003~CAR_202051599,"425360",0,,
OCE646,11870,OCESN425358R03003~CAR_202051600,"425358",0,,
OCE637137,11871,OCESN055419R02002_202055895,"55419",1,,
OCE637137,11872,OCESN055411R02002_202055860,"55411",1,,
OCE637137,11873,OCESN055427R02002_202063773,"55427",1,,
OCE637137,11874,OCESN055431R02002_202059415,"55431",1,,
OCE637137,11875,OCESN055403R02002_202055863,"55403",1,,
OCE637137,11876,OCESN055407R02002_202055880,"55407",1,,
OCE637137,11877,OCESN055415R02002_202055867,"55415",1,,
OCE637137,11878,OCESN055413R02002_202055952,"55413",1,,
OCE637137,2409,OCESN055421R0300335994,"55421",1,,
OCE637137,3943,OCESN055429R0200236451,"55429",1,,
OCE637137,11879,OCESN055429R03003_202055689,"55429",1,,
OCE637137,11880,OCESN055409R02002_202055842,"55409",1,,
OCE637137,11881,OCESN055421R04004_202055859,"55421",1,,
OCE637137,11882,OCESN055423R02002_202062839,"55423",1,,
OCE637137,11883,OCESN055425R02002_202057419,"55425",1,,
OCE637137,11884,OCESN055417R02002_202055906,"55417",1,,
OCE637137,11885,OCESN055405R03003_202053985,"55405",1,,
OCE637137,642,OCESN055433R030034225,"55433",1,,
OCE637137,11886,OCESN055433R04004~CAR_202051603,"55433",1,,
OCE637137,11887,OCESN055412R03003_202055869,"55412",0,,
OCE637137,11888,OCESN055414R02002_202055874,"55414",0,,
OCE637137,11889,OCESN055416R02002_202063118,"55416",0,,
OCE637137,11890,OCESN055408R02002_202053463,"55408",0,,
OCE637137,11891,OCESN055406R02002_202061811,"55406",0,,
OCE637137,11892,OCESN055410R02002_202055864,"55410",0,,
OCE637137,11893,OCESN055420R02002_202055861,"55420",0,,
OCE637137,11894,OCESN055432R04004_202065578,"55432",0,,
OCE637137,11895,OCESN055426R02002_202055846,"55426",0,,
OCE637137,11896,OCESN055424R02002_202055909,"55424",0,,
OCE637137,11897,OCESN055422R02002_202055854,"55422",0,,
OCE637137,11898,OCESN055404R02002_202062747,"55404",0,,
OCE637137,11899,OCESN055418R02002_202059989,"55418",0,,
OCE637137,11900,OCESN055428R02002_202055904,"55428",0,,
OCE610,11901,OCESN036871R02002_202059994,"36871",1,,
OCE610,11902,OCESN036871R01001~NCA_202051604,"36871",1,,
OCE610,11903,OCESN036872R02002_202060486,"36872",0,,
OCE610,11904,OCESN036872R01001_202060490,"36872",0,,
OCE140660,193,OCESN034067R0400422291,"34067",1,,
OCE140660,11905,OCESN034067R03003_202061077,"34067",1,,
OCE140660,11906,OCESN034063R02002_202060467,"34063",1,,
OCE140660,11907,OCESN034243R02002_202066763,"34243",1,,
OCE140660,11908,OCESN034071R02002~CAR_202051606,"34071",1,,
OCE140660,715,OCESN034243R030034409,"34243",1,,
OCE140660,1329,OCESN034071R0400436881,"34071",1,,
OCE140660,11909,OCESN034066R03003_202053007,"34066",0,,
OCE140660,4151,OCESN034064R0400434121,"34064",0,,
OCE140660,11910,OCESN034064R03003_202056812,"34064",0,,
OCE140660,4151,OCESN034066R0400442503,"34066",0,,
OCE140660,11911,OCESN034072R02002~CAR_202051605,"34072",0,,
OCE140660,11912,OCESN034074R03003_202060802,"34074",0,,
OCE140660,1329,OCESN034072R030036036,"34072",0,,
OCE1506035,11913,OCESN037071R01001_202057655,"37071",1,,
OCE1289990,2231,OCESN003755F364368299,"3755",1,,
OCE1289990,20,OCESN003755F504508451,"3755",1,,
OCE1289990,117,OCESN003755F154158290,"3755",1,,
OCE1289990,2298,OCESN003755F594598445,"3755",1,,
OCE1289990,2237,OCESN003755F704708312,"3755",1,,
OCE1289990,564,OCESN003755F494498286,"3755",1,,
OCE1289990,2259,OCESN003755F174178362,"3755",1,,
OCE1289990,2248,OCESN003755F394398339,"3755",1,,
OCE1289990,1642,OCESN003755F484488357,"3755",1,,
OCE1289990,1481,OCESN003755F144148372,"3755",1,,
OCE1289990,19,OCESN003755F214218378,"3755",1,,
OCE1289990,2270,OCESN003755F224228384,"3755",1,,
OCE1289990,1786,OCESN003971F1231214172,"3971",1,,
OCE1289990,2253,OCESN003971F8748714329,"3971",1,,
OCE1289990,2260,OCESN003971F7837814313,"3971",1,,
OCE1289990,2300,OCESN003971F9329314170,"3971",1,,
OCE1289990,29,OCESN003971F7037014208,"3971",1,,
OCE1289990,2265,OCESN003971F5545514207,"3971",1,,
OCE1289990,2234,OCESN003971F8738714166,"3971",1,,
OCE1289990,1779,OCESN003971F2242214325,"3971",1,,
OCE1289990,2274,OCESN003971F7327314193,"3971",1,,
OCE1289990,2244,OCESN003971F3743714261,"3971",1,,
OCE1289990,49,OCESN003971F0430414180,"3971",1,,
OCE1289990,183,OCESN003971F8548514194,"3971",1,,
OCE1289990,19,OCESN003971F7237214330,"3971",1,,
