CODE_LIGNE;LIB_LIGNE;STATUT;RG_TRONCON;PKD;PKF;IDGAIA;X_D_L93;Y_D_L93;X_F_L93;Y_F_L93;X_D_WGS84;Y_D_WGS84;X_F_WGS84;Y_F_WGS84;C_GEO_D;C_GEO_F
358000;Ligne de Motteville à St-Valery-en-Caux;Exploitée;1;170+025;199+400;79d94110-e28c-11e8-92ff-01b064e0362d;544317.4843000025;6950769.4947;535314.1768999994;6974320.923799999;0.845685452224687;49.63695911199799;0.7117246408842961;49.84620771457869;49.636959112,0.845685452225;49.8462077146,0.711724640884
451300;Raccordement de La Duboisière (Le Mans);Exploitée;1;000+648;003+955;79dbb3dc-e28c-11e8-92ff-01b064e0362d;489852.2550000027;6767222.0185;489312.8540999964;6770172.796500001;0.183144328458511;47.971648906166116;0.174505565699446;47.998013186955525;47.9716489062,0.183144328459;47.998013187,0.174505565699
268000;Ligne de Somain à Halluin;Exploitée;1;275+109;276+832;79d9bc06-e28c-11e8-92ff-01b064e0362d;712690.0034999996;7068991.7271;711522.572800003;7068204.627999999;3.179362871778003;50.717521325548795;3.162839295739704;50.710481247598516;50.7175213255,3.17936287178;50.7104812476,3.16283929574
001379;Raccordement de la ligne EOLE à la ligne Paris-Mulhouse;Exploitée;1;000+000;001+985;79d65726-e28c-11e8-92ff-01b064e0362d;652759.814199999;6864396.017999999;653516.9204000011;6865691.147999998;2.355900577835273;48.87785127403437;2.3660811836047753;48.88955308066382;48.877851274,2.35590057784;48.8895530807,2.3660811836
261306;Raccordement de Lamotte-Brebière;Exploitée;1;128+548;130+647;79d98ee4-e28c-11e8-92ff-01b064e0362d;654233.1213999987;6976022.9089;656210.4016000032;6976296.824999999;2.363723791677487;49.88127964209632;2.391182548885844;49.88388030207864;49.8812796421,2.36372379168;49.8838803021,2.39118254889
141306;Raccordement de Strasbourg-Neudorf à Strasbourg-Koenigshoffen;Exploitée;1;000+000;001+771;79d8f96a-e28c-11e8-92ff-01b064e0362d;1047479.5477000028;6839885.250999998;1047138.988499999;6841169.921799999;7.712267867616617;48.565844814306;7.7086980593118195;48.57756302896135;48.5658448143,7.71226786762;48.577563029,7.70869805931
302526;Boucle de Dunkerque;Exploitée;1;304+713;312+643;79da057c-e28c-11e8-92ff-01b064e0362d;655374.483099997;7104406.3389;652701.5274000019;7101413.734900001;2.365243299327276;51.03374475252618;2.327587238908688;51.00670679301935;51.0337447525,2.36524329933;51.006706793,2.32758723891
408340;Raccordement de Sablé-sur-Sarthe;Exploitée;1;000+000;009+275;79e5c124-e28c-11e8-92ff-01b064e0362d;456778.2621999979;6761641.494399998;451711.14360000193;6755898.777899999;-0.25663283889210803;47.91002010092975;-0.32116789893088005;47.85648303060621;47.9100201009,-0.256632838892;47.8564830306,-0.321167898931
409000;Ligne de Chartres à Dreux;Exploitée;1;034+274;042+900;79db10d0-e28c-11e8-92ff-01b064e0362d;575646.6317000017;6842785.163899999;580155.8527000025;6849111.400400002;1.311019500909883;48.67325760127759;1.370473589117132;48.73099809522686;48.6732576013,1.31101950091;48.7309980952,1.37047358912
140000;Ligne de Réding à Metz-Ville;Exploitée;1;066+897;154+700;79d8f484-e28c-11e8-92ff-01b064e0362d;1000981.7070999965;6856993.091200002;932206.4600000009;6894795.048599999;7.094931759458109;48.742800610686245;6.181089520141451;49.110869019562486;48.7428006107,7.09493175946;49.1108690196,6.18108952014
325000;Ligne d'Épinay-Villetaneuse au Tréport-Mers;Exploitée;3;127+358;182+548;79da7f84-e28c-11e8-92ff-01b064e0362d;611715.0412999988;6956041.9989;583639.5949999988;6997258.616;1.7769883246687121;49.69727695636954;1.376416402569846;50.062937526568405;49.6972769564,1.77698832467;50.0629375266,1.37641640257
523000;Ligne de La Possonnière à Niort;Exploitée;1;000-281;044+234;79de6054-e28c-11e8-92ff-01b064e0362d;421511.5474999994;6703292.7711;407897.2775999978;6669406.021200001;-0.691688910373588;47.371371541319874;-0.8499963584778991;47.060796422890775;47.3713715413,-0.691688910374;47.0607964229,-0.849996358478
939511;Voie du chantier Arenc au môle du Maroc;Exploitée;1;000+000;000+100;79e633c2-e28c-11e8-92ff-01b064e0362d;;;;;;;;;;
337300;Raccordement d'Éragny;Exploitée;1;030+396;033+098;79dabdea-e28c-11e8-92ff-01b064e0362d;634059.6944999993;6880962.564100001;635978.8708999977;6882363.772100002;2.098372473148148;49.02517188272008;2.124399493218229;49.03796459162178;49.0251718827,2.09837247315;49.0379645916,2.12439949322
752354;Raccordement nord de Bollène-Lamotte-du-Rhône;Exploitée;1;000+000;003+100;79df9dae-e28c-11e8-92ff-01b064e0362d;835704.1912999973;6357864.758099999;836096.7111999989;6354804.261999998;4.7012241483125035;44.30664976880583;4.705314885322642;44.27903151145665;44.3066497688,4.70122414831;44.2790315115,4.70531488532
747000;Ligne de Bourron-Marlotte-Grez à Malesherbes;Exploitée;1;008+445;025+433;79e55754-e28c-11e8-92ff-01b064e0362d;669103.2317999974;6802984.836100001;655518.2509000003;6798715.3539;2.58315089961249;48.32644850767345;2.400310212551952;48.287249000963506;48.3264485077,2.58315089961;48.287249001,2.40031021255
457000;Ligne de Segré à Nantes-État;Exploitée;1;391+800;391+900;79e44758-e28c-11e8-92ff-01b064e0362d;358312.24930000305;6690542.863000002;358284.063500002;6690472.901700001;-1.51814653752091;47.22718119034166;-1.518465546878543;47.226537871418145;47.2271811903,-1.51814653752;47.2265378714,-1.51846554688
295000;Ligne de Lille aux Fontinettes;Exploitée;1;000+000;105+203;79d9e274-e28c-11e8-92ff-01b064e0362d;705087.568599999;7059984.962200001;618685.8207999989;7094737.697999999;3.071793000654148;50.636806000103945;1.8454494291038572;50.94329973196463;50.6368060001,3.07179300065;50.943299732,1.8454494291
942000;Ligne de La Pauline-Hyères aux Salins-d'Hyères;Exploitée;1;000+850;010+849;79e4fc36-e28c-11e8-92ff-01b064e0362d;947577.3008000031;6231791.1767;954972.078900002;6227555.630600002;6.041747929776196;43.14245019209639;6.130444762178435;43.10178435303469;43.1424501921,6.04174792978;43.101784353,6.13044476218
247000;Ligne d'Hautmont à Feignies (frontière);Exploitée;1;224+841;233+100;79d8c8cc-e28c-11e8-92ff-01b064e0362d;765840.8531000018;7018609.867600001;764751.865199998;7026109.812600002;3.922249033568651;50.26196580542804;3.908204911343438;50.32941344304342;50.2619658054,3.92224903357;50.329413443,3.90820491134
142000;Ligne de Strasbourg-Ville à Strasbourg-Port-du-Rhin;Exploitée;1;000+000;007+737;79d8f9d4-e28c-11e8-92ff-01b064e0362d;1048971.2239999995;6842114.9048000015;1053953.4227000028;6841365.345800001;7.734259299051056;48.58506336156198;7.801066627160046;48.575628782249595;48.5850633616,7.73425929905;48.5756287822,7.80106662716
895000;Ligne de La Roche-sur-Foron à St-Gervais-les-Bains-Le Fayet;Exploitée;1;000+561;047+600;79e1e0fe-e28c-11e8-92ff-01b064e0362d;955625.8383999988;6556815.615800001;987161.7198999971;6541196.9092000015;6.307708231232441;46.06291681975465;6.705726250064731;45.90980246833465;46.0629168198,6.30770823123;45.9098024683,6.70572625006
960000;Ligne de Sartrouville à Noisy-le-Sec (Tangentielle Légère Nord);Exploitée;1;044+788;055+559;79e57958-e28c-11e8-92ff-01b064e0362d;648676.8903999999;6872802.663800001;657643.1054000035;6870324.0495;2.299217266229849;48.95313453011273;2.421887873112596;48.93149923860508;48.9531345301,2.29921726623;48.9314992386,2.42188787311
695000;Ligne de Bourges à Miécaze;Exploitée;1;225+640;328+403;79e3d66a-e28c-11e8-92ff-01b064e0362d;647137.6675999984;6665995.4113;669604.4309;6581618.862;2.303122039456704;47.092114845809284;2.604858117812734;46.33380014276818;47.0921148458,2.30312203946;46.3338001428,2.60485811781
172000;Ligne de Rémilly à Stiring-Wendel;Exploitée;1;000-389;052+070;79d78ce8-e28c-11e8-92ff-01b064e0362d;947882.7362999991;6884940.984499998;987264.0500999987;6908732.079599999;6.389797600985538;49.016480078771714;6.943742437660976;49.21372043871654;49.0164800788,6.38979760099;49.2137204387,6.94374243766
525000;Ligne des Sables-d'Olonne à Tours;Exploitée;2;240+489;241+080;79de7b94-e28c-11e8-92ff-01b064e0362d;525023.8847000003;6697784.818;524522.1361000016;6697464.2709;0.681608603592961;47.357277310697654;0.6750894060085091;47.354260148696156;47.3572773107,0.681608603593;47.3542601487,0.675089406009
831000;Ligne de Flamboin-Gouaix à Montereau;Exploitée;1;094+448;122+070;79e60b64-e28c-11e8-92ff-01b064e0362d;721234.3517000005;6819181.883900002;695273.9289999977;6808864.346999999;3.287283383626792;48.4725532460354;2.9361726954737613;48.380062575084864;48.472553246,3.28728338363;48.3800625751,2.93617269547
396000;Ligne de Plaisir-Grignon à Épône-Mézières;Exploitée;1;033+510;052+036;79daf2ba-e28c-11e8-92ff-01b064e0362d;621072.9522999972;6859806.497299999;612955.5612000003;6874375.795400001;1.924758747774403;48.83347660823876;1.8112016087027;48.96343643154164;48.8334766082,1.92475874777;48.9634364315,1.8112016087
314306;Raccordement des Fontinettes;Exploitée;1;291+889;292+582;79da3aca-e28c-11e8-92ff-01b064e0362d;618892.0857999995;7093770.2322;619442.8731999993;7093875.9252;1.8485779881707272;50.9346494202613;1.856374234961188;50.93566919867772;50.9346494203,1.84857798817;50.9356691987,1.85637423496
301306;Raccordement de l'Yser;Exploitée;1;000+000;001+303;79d9feb0-e28c-11e8-92ff-01b064e0362d;656474.9272999987;7101190.963799998;655654.924999997;7101976.053100001;2.381253826721922;51.00498549480165;2.369508169665932;51.01196863866784;51.0049854948,2.38125382672;51.0119686387,2.36950816967
039000;Ligne de Toul à Rosières-aux-Salines;Exploitée;1;023+115;043+729;79e6c2e2-e28c-11e8-92ff-01b064e0362d;928981.5156999975;6839358.523800001;947271.0754000023;6838356.5931;6.10708820139812;48.6138705881701;6.354397579494334;48.59813626039022;48.6138705882,6.1070882014;48.5981362604,6.35439757949
060000;Ligne d'Épinal à Bussang;Exploitée;1;003+687;028+050;79e5fcea-e28c-11e8-92ff-01b064e0362d;956742.1213999987;6788484.103700001;968746.4209999964;6774133.539000001;6.453148843726827;48.14618950414152;6.605578058966685;48.0123561180798;48.1461895041,6.45314884373;48.0123561181,6.60557805897
810315;Raccordement de Nimes-Alès;Exploitée;1;000+000;001+053;79e4ace0-e28c-11e8-92ff-01b064e0362d;810664.7976000011;6306434.242899999;810484.3066999987;6305539.007800002;4.37615940288051;43.84823901258729;4.373721726435362;43.840212228021706;43.8482390126,4.37615940288;43.840212228,4.37372172644
752356;Raccordement sud de Bollène-Lamotte-du-Rhône;Exploitée;1;000+000;001+614;79df9e22-e28c-11e8-92ff-01b064e0362d;835628.0969000012;6356488.385200001;835636.5873000026;6354893.686999999;4.699899105222208;44.294278193742436;4.699575352222603;44.27992554946671;44.2942781937,4.69989910522;44.2799255495,4.69957535222
594000;Ligne de Joué-lès-Tours à Châteauroux;Exploitée;1;240+630;290+000;79e5082a-e28c-11e8-92ff-01b064e0362d;524522.1361000016;6697464.2709;552042.0819000006;6666134.484000001;0.6750894060085091;47.354260148696156;1.049788727196685;47.079016357403255;47.3542601487,0.675089406009;47.0790163574,1.0497887272
242626;Voie-mère de St-Quentin (Origny-Ste-Benoite);Exploitée;1;000+420;022+300;79d8c432-e28c-11e8-92ff-01b064e0362d;721080.4579999968;6971027.302700002;734967.5842999965;6971305.137200002;3.292819514874988;49.837706285334264;3.485739413878621;49.83958722986549;49.8377062853,3.29281951487;49.8395872299,3.48573941388
