service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
588,0,0,0,0,0,1,1,20200711,20200712
11745,1,1,1,1,1,0,0,20200824,20200914
481,0,1,1,1,0,0,0,20200616,20200618
11746,1,1,1,1,0,0,0,20200831,20200914
11748,1,1,1,1,1,0,0,20200616,20200828
11749,0,0,0,0,0,0,1,20200705,20200823
11750,0,0,0,0,0,1,0,20200808,20200823
11752,0,0,0,0,1,0,0,20200619,20200807
11753,0,0,0,0,0,0,1,20200621,20200830
11754,1,1,1,1,1,0,0,20200727,20200914
11755,0,0,0,0,1,0,0,20200616,20200914
11756,1,1,1,1,0,0,0,20200715,20200827
11757,1,1,1,1,1,0,0,20200616,20200914
11760,0,0,0,0,0,0,1,20200809,20200823
11761,0,0,0,0,0,0,1,20200816,20200823
11762,0,0,0,0,0,1,1,20200713,20200726
11763,0,0,0,0,0,0,1,20200719,20200726
11764,0,0,0,0,0,0,1,20200705,20200830
11765,1,1,1,1,1,0,0,20200616,20200914
11766,0,0,0,0,0,1,0,20200815,20200822
11767,0,0,0,0,0,1,1,20200713,20200726
11771,0,0,0,0,1,0,0,20200814,20200828
11772,0,0,0,0,1,0,0,20200703,20200710
11774,0,0,0,0,0,1,0,20200620,20200822
11775,0,0,0,0,0,0,1,20200621,20200830
11776,0,0,0,0,0,1,0,20200620,20200822
410,1,1,1,1,1,0,0,20200629,20200703
11778,0,0,0,0,1,0,0,20200814,20200828
11779,1,1,1,1,1,0,0,20200616,20200914
741,1,1,1,1,1,0,0,20200616,20200724
11780,1,1,1,1,0,0,0,20200616,20200827
11782,1,1,1,1,1,0,0,20200616,20200914
5115,0,0,0,0,0,1,1,20200713,20200726
1082,0,0,0,0,0,1,1,20200713,20200726
11785,1,1,1,1,1,0,0,20200616,20200914
11786,0,0,0,0,0,0,1,20200713,20200726
5775,0,0,0,0,0,1,1,20200713,20200726
11787,0,0,0,0,1,0,0,20200616,20200914
11788,1,1,1,1,1,0,0,20200616,20200712
11790,0,0,0,0,0,0,1,20200629,20200705
1070,0,1,1,0,0,0,0,20200616,20200617
11791,1,1,1,1,1,0,0,20200831,20200914
11792,0,0,0,0,1,0,0,20200814,20200828
11793,0,0,0,0,0,1,1,20200802,20200830
11794,0,0,0,0,0,1,1,20200802,20200830
11795,1,1,1,1,1,0,0,20200616,20200914
11797,1,1,1,1,0,0,0,20200810,20200820
11798,0,0,0,0,0,1,1,20200802,20200830
11800,1,0,0,0,0,0,0,20200720,20200914
5030,0,0,0,0,0,1,0,20200713,20200725
11801,1,1,1,1,1,0,0,20200706,20200914
11802,0,0,0,0,0,0,1,20200714,20200726
11804,0,0,0,0,0,0,1,20200802,20200830
11807,1,1,1,1,0,0,0,20200715,20200827
11808,0,0,0,0,0,1,0,20200620,20200822
11810,0,0,0,0,1,0,0,20200810,20200830
4685,1,1,1,1,0,0,0,20200629,20200702
11811,0,0,0,0,0,1,0,20200815,20200822
11813,1,1,1,1,1,0,0,20200715,20200828
11814,0,0,0,0,0,0,1,20200808,20200823
11816,1,1,1,1,1,0,0,20200810,20200828
11818,1,1,1,1,1,0,0,20200616,20200914
11819,0,0,0,0,0,1,1,20200808,20200823
11821,0,0,0,0,0,1,1,20200808,20200823
11822,1,1,1,1,0,0,0,20200824,20200827
11824,0,0,0,0,0,1,1,20200809,20200823
11825,1,1,1,1,0,0,0,20200727,20200730
11826,0,0,0,0,1,0,0,20200803,20200823
11827,0,0,0,0,0,0,1,20200802,20200830
11828,0,0,0,0,1,0,0,20200619,20200828
11830,0,0,0,0,0,0,1,20200713,20200726
3847,1,1,1,1,1,0,0,20200616,20200724
5311,0,0,0,0,0,0,1,20200713,20200726
11832,1,1,1,1,0,0,0,20200715,20200820
11835,0,0,0,0,0,0,1,20200802,20200830
6447,0,0,0,0,0,0,1,20200713,20200726
11836,0,1,0,0,0,0,1,20200713,20200726
11837,0,1,0,0,0,1,1,20200713,20200726
11838,0,0,0,0,0,1,0,20200713,20200725
11839,1,1,1,1,1,0,0,20200727,20200914
11840,0,0,0,0,0,1,0,20200808,20200822
11842,1,1,1,1,0,0,0,20200706,20200827
11844,0,0,0,0,1,0,0,20200616,20200914
11845,0,0,0,0,0,1,0,20200808,20200822
11847,0,0,0,0,0,0,1,20200809,20200823
11848,0,0,0,0,0,1,0,20200718,20200725
11849,0,0,0,0,0,1,0,20200815,20200822
11851,0,0,0,0,0,0,1,20200802,20200830
11853,0,0,0,0,1,0,0,20200619,20200724
11854,0,0,0,0,0,1,0,20200808,20200822
11856,0,0,0,0,0,1,0,20200808,20200822
11857,0,0,0,0,1,0,0,20200807,20200821
11859,0,0,0,0,0,1,1,20200802,20200830
11860,0,0,0,0,0,0,1,20200809,20200823
11861,1,1,1,1,1,0,0,20200706,20200828
11862,0,0,0,0,0,1,1,20200620,20200621
569,0,0,0,1,1,0,0,20200618,20200619
11863,0,0,0,0,0,1,0,20200620,20200822
11864,0,0,0,0,0,1,0,20200808,20200822
11869,0,0,0,0,0,1,1,20200620,20200913
11870,1,1,1,1,1,0,0,20200803,20200823
11871,1,1,1,1,1,0,0,20200616,20200914
543,1,1,1,1,1,0,0,20200706,20200724
11872,1,1,1,1,1,0,0,20200727,20200914
11873,1,1,1,1,1,0,0,20200618,20200914
11875,1,1,1,1,1,0,0,20200616,20200628
11877,0,0,0,0,0,1,0,20200808,20200822
11878,0,0,0,0,0,0,1,20200809,20200823
11880,0,0,0,0,0,0,1,20200719,20200726
11881,1,1,1,1,1,0,0,20200720,20200828
11883,1,1,1,1,1,0,0,20200616,20200724
11884,0,1,0,0,0,0,1,20200713,20200726
11885,1,1,1,1,1,0,0,20200727,20200828
11886,0,0,0,0,0,0,1,20200803,20200823
11887,0,1,1,0,0,0,0,20200616,20200617
11888,1,1,1,1,1,0,0,20200715,20200724
11889,0,0,0,0,0,1,0,20200620,20200822
11890,0,0,0,0,0,0,1,20200713,20200809
11891,0,0,0,0,0,0,1,20200816,20200830
11892,0,0,0,0,0,1,0,20200713,20200725
11893,1,1,1,1,1,0,0,20200727,20200828
5578,1,1,1,1,1,0,0,20200622,20200709
11894,0,0,0,0,0,0,1,20200809,20200830
11895,1,0,0,0,0,0,0,20200831,20200914
11899,1,1,1,1,1,0,0,20200629,20200703
11901,0,0,0,0,0,1,0,20200718,20200822
11902,0,0,0,0,0,1,0,20200815,20200822
11904,0,0,0,0,0,1,1,20200802,20200830
3230,1,1,1,1,1,0,0,20200618,20200724
11912,1,1,1,1,1,0,0,20200706,20200821
11913,1,1,1,1,0,0,0,20200810,20200827
11914,0,0,0,0,0,0,1,20200802,20200913
11916,1,1,1,1,0,0,0,20200824,20200827
5922,1,1,1,1,1,0,0,20200616,20200724
11917,0,0,0,0,0,0,1,20200816,20200823
11918,1,0,0,0,0,0,0,20200831,20200907
11919,1,1,1,1,1,0,0,20200616,20200914
4296,0,0,0,0,1,0,0,20200619,20200626
5114,0,1,0,0,0,0,1,20200713,20200726
11920,1,1,1,1,1,0,0,20200715,20200828
11923,1,1,1,1,0,0,0,20200616,20200806
11924,1,1,1,1,1,0,0,20200616,20200914
11926,0,0,0,0,0,0,1,20200802,20200809
11927,0,0,0,0,0,0,1,20200803,20200823
11928,0,0,0,0,0,1,1,20200808,20200823
11929,1,1,1,1,1,0,0,20200803,20200822
11931,0,0,0,0,1,0,0,20200703,20200814
11932,1,1,1,1,1,0,0,20200616,20200914
11934,1,1,1,1,0,0,0,20200810,20200830
6234,0,0,0,0,0,0,1,20200621,20200726
11935,0,0,0,0,1,0,0,20200810,20200830
11936,1,1,1,1,1,0,0,20200616,20200914
11939,0,0,0,0,0,1,1,20200802,20200830
11941,0,0,0,0,0,1,1,20200802,20200830
11945,0,0,0,0,0,1,0,20200808,20200822
11947,0,0,0,0,0,1,0,20200815,20200822
11948,0,0,0,0,0,0,1,20200802,20200830
11950,0,0,0,0,0,1,1,20200808,20200823
11951,1,1,1,1,0,0,0,20200810,20200820
11958,0,0,0,0,1,0,0,20200814,20200828
11961,1,1,1,1,1,0,0,20200629,20200703
11962,0,0,0,0,0,1,1,20200808,20200823
11963,0,0,0,0,1,0,0,20200731,20200828
11964,0,0,0,0,1,0,0,20200710,20200724
11966,0,0,0,0,0,1,0,20200808,20200822
11967,0,0,0,0,0,0,1,20200802,20200830
4914,0,0,0,0,1,0,0,20200904,20200911
11968,0,0,0,0,0,0,1,20200802,20200830
11969,0,0,0,0,1,0,0,20200626,20200703
11970,0,1,0,0,0,0,1,20200713,20200726
11971,0,0,0,0,0,1,1,20200808,20200823
11972,0,0,0,0,0,1,0,20200718,20200725
11977,0,0,0,0,0,1,0,20200808,20200822
11980,0,0,0,0,0,0,1,20200713,20200726
11982,0,0,0,0,0,0,1,20200802,20200830
11983,0,0,0,0,0,1,0,20200808,20200822
11984,0,0,0,0,0,0,1,20200816,20200823
11985,0,0,0,0,1,0,0,20200814,20200821
11988,1,1,1,1,0,0,0,20200708,20200827
11993,0,0,0,0,0,1,0,20200713,20200725
11994,0,0,0,0,0,1,1,20200802,20200830
7883,0,0,0,0,1,0,0,20200619,20200724
11998,1,1,1,1,1,0,0,20200616,20200914
11999,0,0,0,0,0,0,1,20200713,20200726
12000,1,1,1,1,1,0,0,20200629,20200703
12001,1,1,1,1,1,0,0,20200706,20200726
12002,1,1,1,1,1,0,0,20200616,20200914
12003,0,0,0,0,1,0,0,20200713,20200914
254,1,1,1,1,1,1,1,20200616,20200914
1207,0,0,0,0,0,1,0,20200620,20200912
1875,1,1,1,1,1,1,1,20200616,20200914
12005,1,1,1,1,1,1,1,20200616,20200914
1120,1,1,1,1,1,0,1,20200616,20200914
12007,0,0,0,0,1,0,0,20200619,20200911
12008,1,1,1,1,1,0,1,20200616,20200914
12009,1,1,1,1,0,0,0,20200616,20200914
12010,1,1,1,1,1,0,1,20200621,20200914
12011,0,0,0,0,0,1,0,20200620,20200912
8858,1,1,1,1,1,0,1,20200616,20200914
12012,0,0,0,0,0,0,1,20200621,20200913
228,1,1,1,1,1,0,0,20200616,20200914
2020,1,1,1,1,1,1,1,20200616,20200914
301,0,0,0,0,0,1,1,20200620,20200913
5721,1,1,1,1,1,1,1,20200616,20200914
12013,0,0,0,0,1,0,0,20200710,20200911
12014,1,1,1,1,1,0,1,20200616,20200914
12015,0,0,0,0,0,0,1,20200621,20200913
12016,1,1,1,1,1,0,0,20200616,20200914
12017,1,1,1,1,1,1,1,20200616,20200914
12018,1,1,1,1,0,0,0,20200616,20200914
12019,0,0,0,0,0,1,0,20200620,20200912
12020,1,1,1,1,1,0,1,20200621,20200914
12021,1,1,1,1,1,1,1,20200616,20200914
12022,1,1,1,1,1,0,1,20200616,20200914
12023,0,0,0,0,0,1,0,20200620,20200912
12024,0,0,0,0,0,1,0,20200620,20200912
12025,1,1,1,1,1,1,1,20200616,20200914
12026,0,0,0,0,0,1,1,20200620,20200913
12027,1,1,1,1,1,0,1,20200616,20200914
12028,1,1,1,1,1,0,0,20200616,20200914
12029,1,1,1,1,1,1,1,20200616,20200914
12030,1,1,1,1,1,1,1,20200616,20200914
12031,1,1,1,1,1,1,0,20200616,20200914
12032,1,1,1,1,1,1,1,20200616,20200914
12033,0,0,0,0,0,1,0,20200620,20200912
12034,1,1,1,1,1,1,1,20200616,20200914
12035,0,0,0,0,0,0,1,20200621,20200913
965,0,0,0,0,1,0,0,20200619,20200703
12037,1,1,1,1,1,1,1,20200616,20200914
12038,1,1,1,1,1,1,1,20200616,20200914
12039,1,1,1,1,1,1,1,20200616,20200913
12040,1,1,1,1,0,1,0,20200831,20200914
12041,0,0,0,0,0,0,1,20200621,20200913
12042,1,1,1,1,1,0,0,20200616,20200914
12043,1,1,1,1,1,0,1,20200616,20200914
12044,1,1,1,1,1,1,1,20200616,20200914
12045,1,1,1,1,1,0,1,20200616,20200914
12046,1,1,1,1,1,1,1,20200616,20200914
12047,1,1,1,1,1,1,0,20200616,20200914
12049,1,1,1,1,1,1,1,20200616,20200914
12050,1,1,1,1,1,1,1,20200616,20200914
2483,1,1,1,1,1,1,1,20200616,20200711
12052,1,1,1,1,1,1,1,20200712,20200914
12053,1,1,1,1,1,1,1,20200616,20200914
12054,1,1,1,1,1,1,1,20200616,20200914
12055,1,1,1,1,1,1,0,20200616,20200914
12056,1,1,1,1,1,0,0,20200616,20200914
12057,1,1,1,1,1,0,0,20200616,20200710
10137,1,1,1,1,1,0,0,20200616,20200710
10147,0,0,1,0,0,0,0,20200617,20200708
957,0,0,0,0,0,1,0,20200718,20200725
932,0,0,0,0,0,1,0,20200808,20200822
12059,1,1,1,1,0,0,0,20200616,20200827
12060,0,0,0,0,1,0,0,20200619,20200828
12061,0,1,1,1,1,0,0,20200616,20200828
12062,1,0,0,0,0,0,0,20200622,20200824
1088,0,0,0,0,0,0,1,20200809,20200823
12063,0,0,0,0,0,0,1,20200621,20200830
12064,1,1,1,1,1,0,0,20200616,20200702
12065,0,0,0,0,0,1,1,20200620,20200704
12066,0,0,0,0,0,0,1,20200621,20200830
12067,1,1,1,1,1,0,0,20200616,20200828
12068,0,0,0,0,0,1,0,20200629,20200802
12069,0,1,1,1,1,0,0,20200616,20200828
12070,0,0,0,0,0,1,0,20200629,20200802
12071,1,0,0,0,0,0,0,20200622,20200824
12072,1,1,1,1,1,0,0,20200616,20200703
12073,0,0,0,0,0,1,1,20200620,20200704
2291,0,0,0,0,0,1,1,20200704,20200823
449,0,0,0,0,0,1,0,20200810,20200822
5850,0,0,0,0,0,0,1,20200705,20200726
5849,0,0,0,0,0,0,1,20200810,20200823
12074,0,0,0,0,1,0,0,20200619,20200828
12075,1,1,1,1,1,0,0,20200721,20200828
295,0,0,0,0,0,1,1,20200627,20200628
12076,0,0,0,0,0,1,1,20200629,20200719
12077,0,0,0,0,0,1,1,20200620,20200830
12078,0,0,0,0,0,1,1,20200725,20200830
12079,1,1,1,1,1,0,0,20200616,20200828
12080,0,0,0,0,0,1,1,20200620,20200830
12081,1,1,1,1,1,1,1,20200616,20200830
12082,1,1,1,1,1,0,0,20200616,20200720
12083,1,1,1,1,1,0,0,20200616,20200828
12084,0,0,0,0,1,0,0,20200619,20200828
297,1,1,1,1,1,1,1,20200616,20200914
12085,0,0,0,0,0,0,1,20200713,20200802
12086,0,0,0,0,0,0,1,20200726,20200802
