route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FR:Line::00F2577A-6A87-42E0-95F3-07351E4BC2F6:,1187,P53,Bening - Sarreguemines,,3,,,
FR:Line::00F7208C-CEBC-4521-A792-6EC3ABB65811:,1187,C30,Saint-Étienne - Roanne,,2,,,
FR:Line::0128E1D5-9183-4D58-B1CF-F5AA5A64A037:,1187,C6,Marseille - Toulon - Hyeres,,2,,,
FR:Line::0202671B-7107-429E-A37B-473C55E0254C:,1187,C8,Montpellier Saint-Roch - Avignon Centre,,2,,,
FR:Line::022B77D9-D121-4DCB-B808-FB2F7931866B:,1187,C20,Angers St Laud - Cholet,,2,,,
FR:Line::023E7996-4B13-4AA2-9747-AF12EBC8C197:,1187,P57,Nouan le Fuzelier - Lamotte Beuvron - Romorantin (Car),,3,,,
FR:Line::02534A5F-903C-454E-A24F-E6E2E23B3CBF:,1187,P13,Ambérieu - Mâcon,,2,,,
FR:Line::02D330A2-2167-400E-BE91-0B5990BA287B:,1187,C6,Nantes - Clisson,,2,,,
FR:Line::02d5964c-e093-4632-85b2-817c41cfa6bb:,FR:Authority::7A842934-E342-4D4F-AF8D-8B4C404FFBC4:,A14,Nantua / St Claude,,3,,,
FR:Line::0312E125-B6BC-404C-A7D1-C1600D4CACAF:,1187,K1,Toulouse Matabiau - Brive La Gaillarde,,2,,,
FR:Line::03398D75-5B60-4588-BC05-9985E599BA20:,1187,R16,Ussel - Bort Les Orgues,,3,,,
FR:Line::0359c353-2f81-4c49-a269-bc287ff237e0:,1187,L22,22. Limoges - Uzerche - Brive,,2,,,
FR:Line::03A83359-7D9D-4301-9C87-92FED4666451:,1187,K3+,Paris - Deauville,,2,,,
FR:Line::03E1BDEA-B40B-48F0-A7B5-330EBD3C552F:,1187,K72,Reims - Dijon,,2,,,
FR:Line::04343a9d-34d6-4020-b500-2501e4609400:,1187,C33,Sarrebourg - Strasbourg - Sélestat,,2,,,
FR:Line::0437790b-b672-4080-bc26-d4e5f241db34:,1187,E06,RE Annonay / Grenoble Gare,,3,,,
FR:Line::0452A577-8D48-4B21-936A-8A975381A1DA:,1187,P14,Valence - Avignon,,2,,,
FR:Line::04EDE928-472B-45BB-B1EC-0BE5DB64BBB1:,1187,P16,Niort - Fontenay-Le-Comte (Pemu),,3,,,
FR:Line::05262D94-C964-4568-8E04-C711D058B31D:,1187,C13,Annecy - St-Gervais Les Bains Le Fayet,,2,,,
FR:Line::05C666F4-3B26-4DB6-A4A8-F3C6D6150B76:,1187,C1,Grenoble - Chambery,,2,,,
FR:Line::05a108cb-92e3-432f-a91a-bb0f7dcd516e:,OCEdefault,A05,Valence TGV / Montélimar / Aubenas / Les Vans,,3,,,
FR:Line::0651eb06-97bc-474b-b309-2245efcb322a:,1187,P129,Millau - Rodez,,3,,,
FR:Line::066313D8-0983-4B8F-8339-20A3BF96D614:,1187,P28,Saint-Étienne - Le Puy En Velay,,2,,,
FR:Line::06C24CB9-71E3-4CC4-BB31-E6285EB38AE1:,1187,C9,Lyon Saint-Paul - Brignais,,2,,,
FR:Line::071CBAF9-7286-48EB-8849-4C25E035D1E0:,1187,C26,Lyon Perrache - Saint-André Le Gaz,,2,,,
FR:Line::0732042B-024F-4BDC-AFC7-37B9EAFF657D:,1187,K9,Nantes - La Rochelle,,2,,,
FR:Line::08AFFE9A-2809-4FB2-AD6C-C50161E2E96A:,1187,P5,Nantes - Angers St Laud - Le Mans,,2,,,
FR:Line::095358ad-cf98-4448-bd8e-d1fb9b6adc18:,1187,P32,Auray - Quiberon,,3,,,
FR:Line::096B0550-15D1-4801-8DFA-D4BD0E3A025D:,1187,P97,Thésée - Saint Aignan Noyers - Romorantin (Car),,3,,,
FR:Line::0A1BAEE0-0123-4813-9261-CCA779B617BF:,1187,K941,Troyes - Laroche Migennes,,3,,,
FR:Line::0A658222-AADD-44FF-B769-75FEE61C107E:,1187,P25,Paris Bercy - Avallon,,2,,,
FR:Line::0B0B302C-2E5D-4AB4-BE84-4DA893F7C926:,1187,P17,Tours - Bléré - St-Aignan-Noyers - Vierzon,,2,,,
