from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id
StopPoint:OCETrain TER-71793150,StopPoint:OCETrain TER-71793150,2,300,,
StopPoint:OCETrain TER-80142893,StopPoint:OCETrain TER-80142893,2,300,,
StopPoint:OCETrain TER-80142901,StopPoint:OCETrain TER-80142901,2,300,,
StopPoint:OCETrain TER-80142919,StopPoint:OCETrain TER-80142919,2,300,,
StopPoint:OCETrain TER-80142927,StopPoint:OCETrain TER-80142927,2,300,,
StopPoint:OCETrain TER-80143099,StopPoint:OCETrain TER-80143099,2,300,,
StopPoint:OCETrain TER-80143503,StopPoint:OCETrain TER-80143503,2,300,,
StopPoint:OCECar TER-80144139,StopPoint:OCECar TER-80144139,2,300,,
StopPoint:OCETrain TER-80144139,StopPoint:OCETrain TER-80144139,2,300,,
StopPoint:OCECar TER-80144154,StopPoint:OCECar TER-80144154,2,300,,
StopPoint:OCETrain TER-80144154,StopPoint:OCETrain TER-80144154,2,300,,
StopPoint:OCETrain TER-80191031,StopPoint:OCETrain TER-80191031,2,300,,
StopPoint:OCETrain TER-80191049,StopPoint:OCETrain TER-80191049,2,300,,
StopPoint:OCETrain TER-80191064,StopPoint:OCETrain TER-80191064,2,300,,
StopPoint:OCETrain TER-80251819,StopPoint:OCETrain TER-80251819,2,300,,
StopPoint:OCETrain TER-80251850,StopPoint:OCETrain TER-80251850,2,300,,
StopPoint:OCETrain TER-80251967,StopPoint:OCETrain TER-80251967,2,300,,
StopPoint:OCECar TER-80253914,StopPoint:OCECar TER-80253914,2,300,,
StopPoint:OCETrain TER-80253914,StopPoint:OCETrain TER-80253914,2,300,,
StopPoint:OCETramTrain-80253914,StopPoint:OCETramTrain-80253914,2,300,,
StopPoint:OCETrain TER-80646133,StopPoint:OCETrain TER-80646133,2,300,,
StopPoint:OCETrain TER-80646141,StopPoint:OCETrain TER-80646141,2,300,,
StopPoint:OCECar TER-82001000,StopPoint:OCECar TER-82001000,2,300,,
StopPoint:OCETrain TER-82001000,StopPoint:OCETrain TER-82001000,2,300,,
StopPoint:OCECar TER-82002370,StopPoint:OCECar TER-82002370,2,300,,
StopPoint:OCETrain TER-82002370,StopPoint:OCETrain TER-82002370,2,300,,
StopPoint:OCETrain TER-82002501,StopPoint:OCETrain TER-82002501,2,300,,
StopPoint:OCECar TER-82006030,StopPoint:OCECar TER-82006030,2,300,,
StopPoint:OCETrain TER-82006030,StopPoint:OCETrain TER-82006030,2,300,,
StopPoint:OCETrain TER-82007104,StopPoint:OCETrain TER-82007104,2,300,,
StopPoint:OCETrain TER-82007146,StopPoint:OCETrain TER-82007146,2,300,,
StopPoint:OCETrain TER-82007187,StopPoint:OCETrain TER-82007187,2,300,,
StopPoint:OCETrain TER-82009300,StopPoint:OCETrain TER-82009300,2,300,,
StopPoint:OCECar TER-83045013,StopPoint:OCECar TER-83045013,2,300,,
StopPoint:OCETrain TER-83045013,StopPoint:OCETrain TER-83045013,2,300,,
StopPoint:OCECar TER-85000109,StopPoint:OCECar TER-85000109,2,300,,
StopPoint:OCETrain TER-85000109,StopPoint:OCETrain TER-85000109,2,300,,
StopPoint:OCETrain TER-85001057,StopPoint:OCETrain TER-85001057,2,300,,
StopPoint:OCETrain TER-85001099,StopPoint:OCETrain TER-85001099,2,300,,
StopPoint:OCETrain TER-85001206,StopPoint:OCETrain TER-85001206,2,300,,
StopPoint:OCETrain TER-85001214,StopPoint:OCETrain TER-85001214,2,300,,
StopPoint:OCETrain TER-85001222,StopPoint:OCETrain TER-85001222,2,300,,
StopPoint:OCETrain TER-85001230,StopPoint:OCETrain TER-85001230,2,300,,
StopPoint:OCETrain TER-85001248,StopPoint:OCETrain TER-85001248,2,300,,
StopPoint:OCETrain TER-85001255,StopPoint:OCETrain TER-85001255,2,300,,
StopPoint:OCETrain TER-85001263,StopPoint:OCETrain TER-85001263,2,300,,
StopPoint:OCETrain TER-85001271,StopPoint:OCETrain TER-85001271,2,300,,
StopPoint:OCETrain TER-85001289,StopPoint:OCETrain TER-85001289,2,300,,
StopPoint:OCETrain TER-85001412,StopPoint:OCETrain TER-85001412,2,300,,
StopPoint:OCETrain TER-85001446,StopPoint:OCETrain TER-85001446,2,300,,
StopPoint:OCETrain TER-85001594,StopPoint:OCETrain TER-85001594,2,300,,
StopPoint:OCETrain TER-85010009,StopPoint:OCETrain TER-85010009,2,300,,
StopPoint:OCETrain TER-85010025,StopPoint:OCETrain TER-85010025,2,300,,
StopPoint:OCETrain TER-85010033,StopPoint:OCETrain TER-85010033,2,300,,
StopPoint:OCETrain TER-85010066,StopPoint:OCETrain TER-85010066,2,300,,
StopPoint:OCETrain TER-85010074,StopPoint:OCETrain TER-85010074,2,300,,
StopPoint:OCETrain TER-85010082,StopPoint:OCETrain TER-85010082,2,300,,
StopPoint:OCETrain TER-85010116,StopPoint:OCETrain TER-85010116,2,300,,
