route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-413,000001,OCESN105330F947642:2022-05-31T12:51:20Z,105330,1,,
OCESN-413,000002,OCESN105340F946208:2022-05-31T12:51:20Z,105340,1,,
OCESN-413,000003,OCESN105342F945931:2022-05-31T12:51:20Z,105342,1,,
OCESN-413,000004,OCESN105345F945974:2022-05-31T12:51:20Z,105345,1,,
OCESN-413,000005,OCESN105347F950021:2022-05-31T12:51:20Z,105347,1,,
OCESN-413,000006,OCESN105350F945787:2022-05-31T12:51:20Z,105350,1,,
OCESN-413,000005,OCESN105362F946184:2022-05-31T12:51:20Z,105362,1,,
OCESN-413,000007,OCESN105367F603003:2022-03-15T10:01:06Z,105367,1,,
OCESN-413,000008,OCESN105367F951804:2022-05-31T12:51:20Z,105367,1,,
OCESN-413,000000,OCESN105375F940048:2022-05-31T12:51:20Z,105375,1,,
OCESN-413,000009,OCESN105377F946150:2022-05-31T12:51:20Z,105377,1,,
OCESN-413,000010,OCESN105377F946959:2022-05-31T12:51:20Z,105377,1,,
OCESN-413,000011,OCESN105378F944859:2022-05-31T12:51:20Z,105378,1,,
OCESN-413,000012,OCESN105378F945370:2022-05-31T12:51:20Z,105378,1,,
OCESN-413,000013,OCESN105379F946546:2022-05-31T12:51:20Z,105379,1,,
OCESN-413,000010,OCESN105432F944323:2022-05-31T12:51:20Z,105432,1,,
OCESN-413,000014,OCESN105432F946274:2022-05-31T12:51:20Z,105432,1,,
OCESN-413,000001,OCESN105432F946306:2022-05-31T12:51:20Z,105432,1,,
OCESN-413,000000,OCESN105437F942260:2022-05-31T12:51:20Z,105437,1,,
OCESN-413,000015,OCESN105442F603602:2022-03-22T20:30:31Z,105442,1,,
OCESN-413,000016,OCESN105442F945564:2022-05-31T12:51:20Z,105442,1,,
OCESN-413,000017,OCESN105450F946865:2022-05-31T12:51:20Z,105450,1,,
OCESN-413,000001,OCESN105476F951809:2022-05-31T12:51:20Z,105476,1,,
OCESN-413,000018,OCESN105484F711845:2022-03-22T20:30:31Z,105484,1,,
OCESN-413,000012,OCESN105484F946381:2022-05-31T12:51:20Z,105484,1,,
OCESN-413,000011,OCESN105485F944264:2022-05-31T12:51:20Z,105485,1,,
OCESN-413,000012,OCESN105485F944846:2022-05-31T12:51:20Z,105485,1,,
OCESN-413,000001,OCESN105494F946243:2022-05-31T12:51:20Z,105494,1,,
OCESN-413,000013,OCESN105494F946704:2022-05-31T12:51:20Z,105494,1,,
OCESN-413,000018,OCESN106330F806401:2022-03-22T20:30:31Z,106330,0,,
OCESN-413,000019,OCESN106330F954730:2022-05-31T12:51:20Z,106330,0,,
OCESN-413,000020,OCESN106331F809797:2022-03-25T20:43:45Z,106331,0,,
OCESN-413,000011,OCESN106331F946124:2022-05-31T12:51:20Z,106331,0,,
OCESN-413,000021,OCESN106331F948570:2022-05-31T12:51:20Z,106331,0,,
OCESN-413,000004,OCESN106342F946176:2022-05-31T12:51:20Z,106342,0,,
OCESN-413,000022,OCESN106345F946289:2022-05-31T12:51:20Z,106345,0,,
OCESN-413,000022,OCESN106347F946215:2022-05-31T12:51:20Z,106347,0,,
OCESN-413,000001,OCESN106347F949116:2022-05-31T12:51:20Z,106347,0,,
OCESN-413,000006,OCESN106350F946009:2022-05-31T12:51:20Z,106350,0,,
OCESN-413,000008,OCESN106367F947002:2022-05-31T12:51:20Z,106367,0,,
OCESN-413,000023,OCESN106377F947487:2022-05-31T12:51:20Z,106377,0,,
OCESN-413,000000,OCESN106378F955877:2022-05-31T12:51:20Z,106378,0,,
OCESN-413,000024,OCESN106379F953045:2022-05-31T12:51:20Z,106379,0,,
OCESN-413,000005,OCESN106437F940315:2022-05-31T12:51:20Z,106437,0,,
OCESN-413,000001,OCESN106442F944367:2022-05-31T12:51:20Z,106442,0,,
OCESN-413,000000,OCESN106450F941633:2022-05-31T12:51:20Z,106450,0,,
OCESN-413,000024,OCESN106461F946627:2022-05-31T12:51:20Z,106461,0,,
OCESN-413,000003,OCESN106484F946325:2022-05-31T12:51:20Z,106484,0,,
OCESN-413,000025,OCESN106485F797499:2022-03-15T10:01:06Z,106485,0,,
OCESN-413,000017,OCESN106485F944889:2022-05-31T12:51:20Z,106485,0,,
OCESN-413,000026,OCESN106485F946359:2022-05-31T12:51:20Z,106485,0,,
OCESN-413,000000,OCESN107220F940767:2022-05-31T12:51:20Z,107220,1,,
OCESN-413,000027,OCESN107241F714642:2022-03-31T20:43:00Z,107241,1,,
OCESN-413,000028,OCESN107241F943713:2022-05-31T12:51:20Z,107241,1,,
OCESN-413,000000,OCESN107253F946209:2022-05-31T12:51:20Z,107253,1,,
OCESN-413,000017,OCESN107260F945303:2022-05-31T12:51:20Z,107260,1,,
OCESN-413,000002,OCESN107300F944811:2022-05-31T12:51:20Z,107300,1,,
OCESN-413,000029,OCESN107306F946040:2022-05-31T12:51:20Z,107306,1,,
OCESN-413,000030,OCESN107320F945678:2022-05-31T12:51:20Z,107320,1,,
OCESN-413,000022,OCESN107359F954222:2022-05-31T12:51:20Z,107359,1,,
OCESN-413,000000,OCESN107455F949870:2022-05-31T12:51:20Z,107455,1,,
OCESN-413,000031,OCESN107487F602049:2022-03-15T10:01:06Z,107487,1,,
OCESN-413,000000,OCESN108220F947745:2022-05-31T12:51:20Z,108220,0,,
OCESN-413,000017,OCESN108241F946291:2022-05-31T12:51:20Z,108241,0,,
OCESN-413,000017,OCESN108260F942490:2022-05-31T12:51:20Z,108260,0,,
OCESN-413,000032,OCESN108320F946236:2022-06-05T20:47:09Z,108320,0,,
OCESN-413,000000,OCESN108359F944093:2022-05-31T12:51:20Z,108359,0,,
OCESN-413,000005,OCESN108440F946091:2022-05-31T12:51:20Z,108440,0,,
OCESN-413,000017,OCESN108440F948914:2022-05-31T12:51:20Z,108440,0,,
OCESN-413,000000,OCESN108444F947403:2022-05-31T12:51:20Z,108444,0,,
OCESN-413,000000,OCESN108487F946388:2022-05-31T12:51:20Z,108487,0,,
OCESN-413,000000,OCESN108803F947576:2022-05-31T12:51:20Z,108803,0,,
OCESN-1998130,000033,OCESN13100F866027:2022-05-20T20:41:04Z,13100,0,,
OCESN-1998130,000034,OCESN13100F866049:2022-05-11T11:19:47Z,13100,0,,
OCESN-1998130,000035,OCESN13100F866233:2022-05-11T11:19:47Z,13100,0,,
OCESN-1998130,000036,OCESN13100F944545:2022-05-31T12:51:20Z,13100,0,,
OCESN-1998130,000037,OCESN13102F865510:2022-05-11T11:19:47Z,13102,0,,
OCESN-1998130,000033,OCESN13102F865784:2022-05-20T20:41:04Z,13102,0,,
OCESN-1998130,000036,OCESN13102F955756:2022-05-31T12:51:20Z,13102,0,,
OCESN-1998130,000033,OCESN13104F866013:2022-05-29T20:40:52Z,13104,0,,
OCESN-1998130,000036,OCESN13104F946658:2022-05-31T12:51:20Z,13104,0,,
OCESN-1998130,000037,OCESN13107F866406:2022-05-11T11:19:47Z,13107,1,,
OCESN-1998130,000033,OCESN13107F867068:2022-05-25T20:39:10Z,13107,1,,
OCESN-1998130,000036,OCESN13107F946224:2022-05-31T12:51:20Z,13107,1,,
OCESN-1998130,000038,OCESN13108F711302:2022-04-14T21:08:14Z,13108,0,,
OCESN-1998130,000039,OCESN13108F730458:2022-05-19T21:27:20Z,13108,0,,
OCESN-1998130,000040,OCESN13108F866034:2022-05-20T20:41:04Z,13108,0,,
OCESN-1998130,000041,OCESN13108F866037:2022-05-30T20:54:15Z,13108,0,,
OCESN-1998130,000034,OCESN13108F866186:2022-05-11T11:19:47Z,13108,0,,
OCESN-1998130,000035,OCESN13108F866471:2022-05-11T11:19:47Z,13108,0,,
OCESN-1998130,000033,OCESN13108F873451:2022-05-11T11:19:47Z,13108,0,,
OCESN-1998130,000036,OCESN13108F946264:2022-05-31T12:51:20Z,13108,0,,
OCESN-1998130,000033,OCESN13111F865474:2022-05-22T20:39:47Z,13111,1,,
OCESN-1998130,000037,OCESN13111F866258:2022-05-11T11:19:47Z,13111,1,,
OCESN-1998130,000036,OCESN13111F944564:2022-05-31T12:51:20Z,13111,1,,
OCESN-1998130,000033,OCESN13112F865992:2022-05-11T11:19:47Z,13112,0,,
OCESN-1998130,000037,OCESN13112F866568:2022-05-11T11:19:47Z,13112,0,,
OCESN-1998130,000036,OCESN13112F955510:2022-05-31T12:51:20Z,13112,0,,
OCESN-1998130,000042,OCESN13114F711697:2022-05-18T21:36:04Z,13114,0,,
OCESN-1998130,000043,OCESN13114F866348:2022-05-20T20:41:04Z,13114,0,,
OCESN-1998130,000033,OCESN13114F866494:2022-05-11T11:19:47Z,13114,0,,
OCESN-1998130,000044,OCESN13114F866565:2022-05-11T11:19:47Z,13114,0,,
OCESN-1998130,000037,OCESN13114F866640:2022-05-11T11:19:47Z,13114,0,,
OCESN-1998130,000036,OCESN13114F946030:2022-05-31T12:51:20Z,13114,0,,
OCESN-1998130,000037,OCESN13115F865991:2022-05-11T11:19:47Z,13115,1,,
OCESN-1998130,000033,OCESN13115F866038:2022-05-11T11:19:47Z,13115,1,,
OCESN-1998130,000036,OCESN13115F946229:2022-05-31T12:51:20Z,13115,1,,
OCESN-1998130,000045,OCESN13116F865859:2022-05-11T11:19:47Z,13116,0,,
OCESN-1998130,000046,OCESN13116F865860:2022-04-20T20:56:00Z,13116,0,,
OCESN-1998130,000037,OCESN13116F865950:2022-05-11T11:19:47Z,13116,0,,
OCESN-1998130,000036,OCESN13116F946844:2022-05-31T12:51:20Z,13116,0,,
OCESN-1998130,000042,OCESN13118F711481:2022-05-24T20:41:23Z,13118,0,,
OCESN-1998130,000047,OCESN13118F763789:2022-04-13T21:05:18Z,13118,0,,
OCESN-1998130,000044,OCESN13118F865964:2022-05-30T20:54:15Z,13118,0,,
OCESN-1998130,000043,OCESN13118F866491:2022-05-20T20:41:04Z,13118,0,,
