trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN2052F865637:2022-10-21T00:36:30Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2052F865637:2022-10-21T00:36:30Z,18:27:00,18:30:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2052F865637:2022-10-21T00:36:30Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2058F1320975:2022-10-21T00:36:30Z,14:48:00,14:48:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2058F1320975:2022-10-21T00:36:30Z,16:35:00,16:35:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2060F1387869:2022-10-21T00:36:30Z,18:56:00,18:56:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2060F1387869:2022-10-21T00:36:30Z,20:41:00,20:41:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2060F1387870:2022-10-21T00:36:30Z,18:56:00,18:56:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2060F1387870:2022-10-21T00:36:30Z,20:41:00,20:41:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2060F1387871:2022-10-21T00:36:30Z,18:56:00,18:56:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2060F1387871:2022-10-21T00:36:30Z,20:41:00,20:41:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2061F776782:2022-10-21T00:36:30Z,17:25:00,17:25:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2061F776782:2022-10-21T00:36:30Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2061F809404:2022-10-21T00:36:30Z,17:25:00,17:25:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2061F809404:2022-10-21T00:36:30Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2061F946219:2022-10-21T00:36:30Z,17:25:00,17:25:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2061F946219:2022-10-21T00:36:30Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2061F1044285:2022-10-21T00:36:30Z,17:25:00,17:25:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2061F1044285:2022-10-21T00:36:30Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2061F1338555:2022-10-21T00:36:30Z,17:25:00,17:25:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2061F1338555:2022-10-21T00:36:30Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2062F1174768:2022-10-21T00:36:30Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2062F1174768:2022-10-21T00:36:30Z,19:05:00,19:05:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2064F989205:2022-10-21T00:36:30Z,15:46:00,15:46:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2064F989205:2022-10-21T00:36:30Z,17:35:00,17:35:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2065F1068378:2022-10-21T00:36:30Z,09:25:00,09:25:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2065F1068378:2022-10-21T00:36:30Z,11:11:00,11:11:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2065F1237419:2022-10-21T00:36:30Z,09:25:00,09:25:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2065F1237419:2022-10-21T00:36:30Z,11:11:00,11:11:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2070F355434:2022-10-21T00:36:30Z,20:47:00,20:47:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2070F355434:2022-10-21T00:36:30Z,22:35:00,22:35:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2071F918005:2022-10-21T00:36:30Z,21:55:00,21:55:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2071F918005:2022-10-21T00:36:30Z,23:41:00,23:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2074F792546:2022-10-21T00:36:30Z,21:28:00,21:28:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2074F792546:2022-10-21T00:36:30Z,23:19:00,23:19:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
