stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE71040402,ZARAGOZA-DELICIAS,,41.6586830,-0.9107740,,,1,
StopPoint:OCERENFE SNCF-71040402,ZARAGOZA-DELICIAS,,41.6586830,-0.9107740,,,0,StopArea:OCE71040402
StopArea:OCE71041046,CAMP DE TARRAGONA,,41.1921300,1.27192300,,,1,
StopPoint:OCERENFE SNCF-71041046,CAMP DE TARRAGONA,,41.1921300,1.27192300,,,0,StopArea:OCE71041046
StopArea:OCE71043075,FIGUERES-VILAFANT,,42.2645810,2.94302800,,,1,
StopPoint:OCERENFE SNCF-71043075,FIGUERES-VILAFANT,,42.2645810,2.94302800,,,0,StopArea:OCE71043075
StopPoint:OCETGV INOUI-71043075,FIGUERES-VILAFANT,,42.2645810,2.94302800,,,0,StopArea:OCE71043075
StopArea:OCE71600000,Madrid Porte d'Atocha,,40.4062590,-3.6905830,,,1,
StopPoint:OCERENFE SNCF-71600000,Madrid Porte d'Atocha,,40.4062590,-3.6905830,,,0,StopArea:OCE71600000
StopArea:OCE71718010,Barcelone-Sants,,41.3789610,2.13983400,,,1,
StopPoint:OCERENFE SNCF-71718010,Barcelone-Sants,,41.3789610,2.13983400,,,0,StopArea:OCE71718010
StopPoint:OCETGV INOUI-71718010,Barcelone-Sants,,41.3789610,2.13983400,,,0,StopArea:OCE71718010
StopArea:OCE71793000,GIRONA,,41.9793710,2.81695700,,,1,
StopPoint:OCERENFE SNCF-71793000,GIRONA,,41.9793710,2.81695700,,,0,StopArea:OCE71793000
StopPoint:OCETGV INOUI-71793000,GIRONA,,41.9793710,2.81695700,,,0,StopArea:OCE71793000
StopArea:OCE80021402,Augsburg Hbf,,48.3654000,10.8860000,,,1,
StopPoint:OCEICE-80021402,Augsburg Hbf,,48.3654000,10.8860000,,,0,StopArea:OCE80021402
StopArea:OCE80110684,Francfort sur le Main,,50.1073000,8.66240000,,,1,
StopPoint:OCEICE-80110684,Francfort sur le Main,,50.1073000,8.66240000,,,0,StopArea:OCE80110684
StopArea:OCE80140087,Mannheim Hbf,,49.4794000,8.46960000,,,1,
StopPoint:OCEICE-80140087,Mannheim Hbf,,49.4794000,8.46960000,,,0,StopArea:OCE80140087
StopArea:OCE80142281,Karlsruhe Hbf,,48.9935000,8.40190000,,,1,
StopPoint:OCEICE-80142281,Karlsruhe Hbf,,48.9935000,8.40190000,,,0,StopArea:OCE80142281
StopArea:OCE80142778,Baden-Baden,,48.7903000,8.19090000,,,1,
StopPoint:OCEICE-80142778,Baden-Baden,,48.7903000,8.19090000,,,0,StopArea:OCE80142778
StopArea:OCE80143099,Offenburg,,48.4765000,7.94680000,,,1,
StopPoint:OCETGV INOUI-80143099,Offenburg,,48.4765000,7.94680000,,,0,StopArea:OCE80143099
StopArea:OCE80143198,Lahr (Schwarzw),,48.3406000,7.83530000,,,1,
StopPoint:OCETGV INOUI-80143198,Lahr (Schwarzw),,48.3406000,7.83530000,,,0,StopArea:OCE80143198
StopArea:OCE80143313,Emmendingen,,48.1193000,7.84790000,,,1,
StopPoint:OCETGV INOUI-80143313,Emmendingen,,48.1193000,7.84790000,,,0,StopArea:OCE80143313
StopArea:OCE80143503,Freiburg (Breisgau) Hbf,,47.9979000,7.84160000,,,1,
StopPoint:OCETGV INOUI-80143503,Freiburg (Breisgau) Hbf,,47.9979000,7.84160000,,,0,StopArea:OCE80143503
StopArea:OCE80196980,Kaiserslautern Hbf,,49.4359000,7.76880000,,,1,
StopPoint:OCEICE-80196980,Kaiserslautern Hbf,,49.4359000,7.76880000,,,0,StopArea:OCE80196980
StopArea:OCE80203471,Munich,,48.1401000,11.5587000,,,1,
StopPoint:OCEICE-80203471,Munich,,48.1401000,11.5587000,,,0,StopArea:OCE80203471
StopArea:OCE80253914,Sarrebruck,,49.2410000,6.99100000,,,1,
StopPoint:OCEICE-80253914,Sarrebruck,,49.2410000,6.99100000,,,0,StopArea:OCE80253914
StopArea:OCE80290346,Stuttgart Hbf,,48.7846000,9.18370000,,,1,
StopPoint:OCEICE-80290346,Stuttgart Hbf,,48.7846000,9.18370000,,,0,StopArea:OCE80290346
StopArea:OCE80291039,Ulm Hbf,,48.3996000,9.98280000,,,1,
StopPoint:OCEICE-80291039,Ulm Hbf,,48.3996000,9.98280000,,,0,StopArea:OCE80291039
StopArea:OCE82001000,Luxembourg,,49.5997220,6.13472200,,,1,
StopPoint:OCETGV INOUI-82001000,Luxembourg,,49.5997220,6.13472200,,,0,StopArea:OCE82001000
StopArea:OCE83002022,BARDONECCHIA,,45.0764490,6.70996300,,,1,
StopPoint:OCETGV INOUI-83002022,BARDONECCHIA,,45.0764490,6.70996300,,,0,StopArea:OCE83002022
StopArea:OCE83002048,OULX CESANA CLAVIERE SESTRIERE,,45.0387950,6.83143100,,,1,
StopPoint:OCETGV INOUI-83002048,OULX CESANA CLAVIERE SESTRIERE,,45.0387950,6.83143100,,,0,StopArea:OCE83002048
StopArea:OCE83002220,Turin Porta Susa,,45.0741180,7.66667500,,,1,
StopPoint:OCETGV INOUI-83002220,Turin Porta Susa,,45.0741180,7.66667500,,,0,StopArea:OCE83002220
StopArea:OCE83002451,VERCELLI,,45.3299040,8.41604200,,,1,
StopPoint:OCETGV INOUI-83002451,VERCELLI,,45.3299040,8.41604200,,,0,StopArea:OCE83002451
StopArea:OCE83002485,NOVARA,,45.4513710,8.62491300,,,1,
StopPoint:OCETGV INOUI-83002485,NOVARA,,45.4513710,8.62491300,,,0,StopArea:OCE83002485
StopArea:OCE83016451,MILANO PORTA GARIBALDI,,45.4849160,9.18769400,,,1,
StopPoint:OCETGV INOUI-83016451,MILANO PORTA GARIBALDI,,45.4849160,9.18769400,,,0,StopArea:OCE83016451
StopArea:OCE85000109,Basel SBB,,47.5474000,7.58956000,,,1,
StopPoint:OCELyria-85000109,Basel SBB,,47.5474000,7.58956000,,,0,StopArea:OCE85000109
StopArea:OCE85010082,Genève,,46.2102200,6.14244000,,,1,
StopPoint:OCELyria-85010082,Genève,,46.2102200,6.14244000,,,0,StopArea:OCE85010082
