from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id
StopPoint:OCETGV INOUI-80143099,StopPoint:OCETGV INOUI-80143099,2,300,,
StopPoint:OCETGV INOUI-80143198,StopPoint:OCETGV INOUI-80143198,2,300,,
StopPoint:OCETGV INOUI-80143313,StopPoint:OCETGV INOUI-80143313,2,300,,
StopPoint:OCETGV INOUI-80143503,StopPoint:OCETGV INOUI-80143503,2,300,,
StopPoint:OCETGV INOUI-82001000,StopPoint:OCETGV INOUI-82001000,2,300,,
StopPoint:OCETGV-83002022,StopPoint:OCETGV-83002022,2,300,,
StopPoint:OCETGV-83002048,StopPoint:OCETGV-83002048,2,300,,
StopPoint:OCETGV-83002220,StopPoint:OCETGV-83002220,2,300,,
StopPoint:OCETGV-83002451,StopPoint:OCETGV-83002451,2,300,,
StopPoint:OCETGV-83002485,StopPoint:OCETGV-83002485,2,300,,
StopPoint:OCETGV-83016451,StopPoint:OCETGV-83016451,2,300,,
StopPoint:OCETGV INOUI-87111849,StopPoint:OCETGV INOUI-87111849,2,300,,
StopPoint:OCEOUIGO-87111849,StopPoint:OCEOUIGO-87111849,2,300,,
StopPoint:OCETGV-87111849,StopPoint:OCETGV-87111849,2,300,,
StopPoint:OCEOUIGO-87113001,StopPoint:OCEOUIGO-87113001,2,300,,
StopPoint:OCETGV INOUI-87113001,StopPoint:OCETGV INOUI-87113001,2,300,,
StopPoint:OCEOUIGO-87141002,StopPoint:OCEOUIGO-87141002,2,300,,
StopPoint:OCETGV INOUI-87141002,StopPoint:OCETGV INOUI-87141002,2,300,,
StopPoint:OCETGV INOUI-87141150,StopPoint:OCETGV INOUI-87141150,2,300,,
StopPoint:OCETGV-87142109,StopPoint:OCETGV-87142109,2,300,,
StopPoint:OCEOUIGO-87142109,StopPoint:OCEOUIGO-87142109,2,300,,
StopPoint:OCETGV INOUI-87142109,StopPoint:OCETGV INOUI-87142109,2,300,,
StopPoint:OCETGV INOUI-87144006,StopPoint:OCETGV INOUI-87144006,2,300,,
StopPoint:OCETGV INOUI-87144014,StopPoint:OCETGV INOUI-87144014,2,300,,
StopPoint:OCETGV INOUI-87144451,StopPoint:OCETGV INOUI-87144451,2,300,,
StopPoint:OCETGV INOUI-87147322,StopPoint:OCETGV INOUI-87147322,2,300,,
StopPoint:OCETGV-87147322,StopPoint:OCETGV-87147322,2,300,,
StopPoint:OCETGV INOUI-87171009,StopPoint:OCETGV INOUI-87171009,2,300,,
StopPoint:OCETGV INOUI-87171926,StopPoint:OCETGV INOUI-87171926,2,300,,
StopPoint:OCEOUIGO-87171926,StopPoint:OCEOUIGO-87171926,2,300,,
StopPoint:OCETGV-87171926,StopPoint:OCETGV-87171926,2,300,,
StopPoint:OCETGV INOUI-87172007,StopPoint:OCETGV INOUI-87172007,2,300,,
StopPoint:OCETGV INOUI-87172254,StopPoint:OCETGV INOUI-87172254,2,300,,
StopPoint:OCETGV INOUI-87172270,StopPoint:OCETGV INOUI-87172270,2,300,,
StopPoint:OCETGV INOUI-87174003,StopPoint:OCETGV INOUI-87174003,2,300,,
StopPoint:OCETGV INOUI-87174276,StopPoint:OCETGV INOUI-87174276,2,300,,
StopPoint:OCETGV INOUI-87175042,StopPoint:OCETGV INOUI-87175042,2,300,,
StopPoint:OCETGV INOUI-87182014,StopPoint:OCETGV INOUI-87182014,2,300,,
StopPoint:OCEOUIGO-87182014,StopPoint:OCEOUIGO-87182014,2,300,,
StopPoint:OCETGV-87182063,StopPoint:OCETGV-87182063,2,300,,
StopPoint:OCETGV INOUI-87182063,StopPoint:OCETGV INOUI-87182063,2,300,,
StopPoint:OCETGV INOUI-87191007,StopPoint:OCETGV INOUI-87191007,2,300,,
StopPoint:OCEOUIGO-87192039,StopPoint:OCEOUIGO-87192039,2,300,,
StopPoint:OCETGV INOUI-87192039,StopPoint:OCETGV INOUI-87192039,2,300,,
StopPoint:OCETGV-87212027,StopPoint:OCETGV-87212027,2,300,,
StopPoint:OCETGV INOUI-87212027,StopPoint:OCETGV INOUI-87212027,2,300,,
StopPoint:OCEOUIGO-87212027,StopPoint:OCEOUIGO-87212027,2,300,,
StopPoint:OCETGV INOUI-87212225,StopPoint:OCETGV INOUI-87212225,2,300,,
StopPoint:OCETGV INOUI-87214056,StopPoint:OCETGV INOUI-87214056,2,300,,
StopPoint:OCETGV INOUI-87215012,StopPoint:OCETGV INOUI-87215012,2,300,,
StopPoint:OCETGV INOUI-87223263,StopPoint:OCETGV INOUI-87223263,2,300,,
StopPoint:OCETGV-87223263,StopPoint:OCETGV-87223263,2,300,,
