route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000001,OCESN2052F865637:2022-10-21T00:36:30Z,2052,0,1,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000002,OCESN2058F1320975:2022-10-21T00:36:30Z,2058,0,2,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000003,OCESN2060F1387869:2022-10-21T00:36:30Z,2060,0,3,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000004,OCESN2060F1387870:2022-10-21T00:36:30Z,2060,0,4,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000005,OCESN2060F1387871:2022-10-21T00:36:30Z,2060,0,5,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000006,OCESN2061F776782:2022-10-21T00:36:30Z,2061,1,6,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000002,OCESN2061F809404:2022-10-21T00:36:30Z,2061,1,7,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000007,OCESN2061F946219:2022-10-21T00:36:30Z,2061,1,8,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000008,OCESN2061F1044285:2022-10-21T00:36:30Z,2061,1,9,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000009,OCESN2061F1338555:2022-10-21T00:36:30Z,2061,1,10,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000002,OCESN2062F1174768:2022-10-21T00:36:30Z,2062,0,11,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000010,OCESN2064F989205:2022-10-21T00:36:30Z,2064,0,12,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000011,OCESN2065F1068378:2022-10-21T00:36:30Z,2065,,13,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000012,OCESN2065F1237419:2022-10-21T00:36:30Z,2065,,14,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000002,OCESN2070F355434:2022-10-21T00:36:30Z,2070,0,15,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000013,OCESN2071F918005:2022-10-21T00:36:30Z,2071,1,16,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000007,OCESN2074F792546:2022-10-21T00:36:30Z,2074,,17,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000009,OCESN2074F1385972:2022-10-21T00:36:30Z,2074,,18,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000014,OCESN2076F792545:2022-10-21T00:36:30Z,2076,0,19,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000015,OCESN2076F890722:2022-10-21T00:36:30Z,2076,0,20,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000016,OCESN2076F1043597:2022-10-21T00:36:30Z,2076,0,21,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000017,OCESN2077F856304:2022-10-21T00:36:30Z,2077,1,22,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000018,OCESN2087F1385984:2022-09-22T00:33:27Z,2087,1,23,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000019,OCESN2087F1386015:2022-09-22T00:33:27Z,2087,1,24,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000020,OCESN2087F1386016:2022-09-22T00:33:27Z,2087,1,25,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000021,OCESN2087F1480420:2022-10-19T00:36:50Z,2087,1,26,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000022,OCESN2088F1153164:2022-10-21T00:36:30Z,2088,0,27,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000022,OCESN2091F1029645:2022-10-21T00:36:30Z,2091,1,28,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000018,OCESN2096F1385752:2022-09-22T00:33:27Z,2096,0,29,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000021,OCESN2096F1385753:2022-09-22T00:33:27Z,2096,0,30,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000023,OCESN2096F1385754:2022-09-22T00:33:27Z,2096,0,31,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000024,OCESN2202F1240746:2022-10-14T00:35:16Z,2202,0,32,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000025,OCESN2202F1321423:2022-10-17T00:40:00Z,2202,0,33,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000026,OCESN2202F1437402:2022-10-14T00:35:16Z,2202,0,34,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000019,OCESN2203F782567:2022-06-28T12:44:12Z,2203,1,35,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000027,OCESN2203F1480139:2022-10-19T00:36:50Z,2203,1,36,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000023,OCESN2204F904976:2022-10-18T00:35:19Z,2204,0,37,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000016,OCESN2204F1001364:2022-06-28T12:44:12Z,2204,0,38,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000028,OCESN2204F1157569:2022-08-31T00:32:46Z,2204,0,39,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000029,OCESN2204F1157570:2022-09-06T00:30:42Z,2204,0,40,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000030,OCESN2208F809275:2022-09-15T00:35:47Z,2208,0,41,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000020,OCESN2208F904700:2022-10-17T00:40:00Z,2208,0,42,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000031,OCESN2208F1025137:2022-08-17T00:29:44Z,2208,0,43,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000020,OCESN2210F1235286:2022-10-17T00:40:00Z,2210,0,44,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000031,OCESN2210F1240427:2022-08-17T00:29:44Z,2210,0,45,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000032,OCESN2210F1240428:2022-08-17T00:29:44Z,2210,0,46,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000008,OCESN2214F1152478:2022-08-18T00:31:39Z,2214,0,47,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000019,OCESN2214F1235108:2022-10-18T00:35:19Z,2214,0,48,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000033,OCESN2214F1235110:2022-08-18T00:31:39Z,2214,0,49,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000034,OCESN2214F1240426:2022-09-15T00:35:47Z,2214,0,50,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000031,OCESN2217F1235109:2022-09-01T00:33:59Z,2217,,51,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000035,OCESN2226F990794:2022-10-16T00:37:35Z,2226,0,52,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000036,OCESN2226F1134791:2022-08-17T00:29:44Z,2226,0,53,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000037,OCESN2229F601429:2022-08-11T00:32:48Z,2229,1,54,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000020,OCESN2229F852199:2022-10-17T00:40:00Z,2229,1,55,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000035,OCESN2233F1234971:2022-10-16T00:37:35Z,2233,1,56,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000036,OCESN2233F1470389:2022-10-17T00:40:00Z,2233,1,57,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000022,OCESN2234F796861:2022-10-18T00:35:19Z,2234,0,58,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000031,OCESN2236F776233:2022-08-25T00:35:52Z,2236,0,59,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000038,OCESN2236F1214500:2022-08-09T00:31:03Z,2236,0,60,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000039,OCESN2236F1335021:2022-10-17T00:40:00Z,2236,0,61,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000022,OCESN2237F883062:2022-09-15T00:35:47Z,2237,1,62,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000031,OCESN2238F1296061:2022-08-25T00:35:52Z,2238,0,63,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000040,OCESN2239F397095:2022-08-05T00:33:54Z,2239,1,64,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000041,OCESN2239F782772:2022-08-05T00:33:54Z,2239,1,65,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000042,OCESN2239F782785:2022-07-11T00:41:19Z,2239,1,66,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000043,OCESN2239F931727:2022-10-17T00:40:00Z,2239,1,67,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000020,OCESN2239F941433:2022-06-28T12:44:12Z,2239,1,68,
