trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN14140F382637:2022-10-08T00:35:13Z,07:03:00,07:03:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F382637:2022-10-08T00:35:13Z,07:45:00,07:47:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F382637:2022-10-08T00:35:13Z,08:08:00,08:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F382637:2022-10-08T00:35:13Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F382637:2022-10-08T00:35:13Z,08:52:00,08:55:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F382637:2022-10-08T00:35:13Z,09:36:00,09:38:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F382637:2022-10-08T00:35:13Z,10:28:00,10:28:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F869781:2022-10-11T00:32:48Z,07:03:00,07:03:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F869781:2022-10-11T00:32:48Z,07:45:00,07:47:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F869781:2022-10-11T00:32:48Z,08:08:00,08:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F869781:2022-10-11T00:32:48Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F869781:2022-10-11T00:32:48Z,08:52:00,08:55:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F869781:2022-10-11T00:32:48Z,09:38:00,09:40:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F869781:2022-10-11T00:32:48Z,10:27:00,10:27:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14141F868629:2022-10-11T00:32:48Z,09:37:00,09:37:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14141F868629:2022-10-11T00:32:48Z,10:34:00,10:36:00,StopPoint:OCEINTERCITES-87611152,1,,0,0,
OCESN14141F868629:2022-10-11T00:32:48Z,11:07:00,11:10:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14141F868629:2022-10-11T00:32:48Z,11:26:00,11:29:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14141F868629:2022-10-11T00:32:48Z,11:56:00,11:59:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14141F868629:2022-10-11T00:32:48Z,12:21:00,12:23:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14141F868629:2022-10-11T00:32:48Z,13:08:00,13:08:00,StopPoint:OCEINTERCITES-87673004,6,,1,0,
OCESN14141F902828:2022-10-09T00:34:03Z,09:37:00,09:37:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14141F902828:2022-10-09T00:34:03Z,10:32:00,10:34:00,StopPoint:OCEINTERCITES-87611152,1,,0,0,
OCESN14141F902828:2022-10-09T00:34:03Z,11:07:00,11:10:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14141F902828:2022-10-09T00:34:03Z,11:26:00,11:26:00,StopPoint:OCEINTERCITES-87671339,3,,1,0,
OCESN14141F910986:2022-10-10T00:35:21Z,09:37:00,09:37:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14141F910986:2022-10-10T00:35:21Z,10:34:00,10:36:00,StopPoint:OCEINTERCITES-87611152,1,,0,0,
OCESN14141F910986:2022-10-10T00:35:21Z,11:07:00,11:10:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14141F910986:2022-10-10T00:35:21Z,11:26:00,11:29:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14141F910986:2022-10-10T00:35:21Z,11:56:00,11:59:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14141F910986:2022-10-10T00:35:21Z,12:21:00,12:23:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14141F910986:2022-10-10T00:35:21Z,13:11:00,13:11:00,StopPoint:OCEINTERCITES-87673004,6,,1,0,
OCESN14142F869056:2022-10-11T00:32:48Z,10:19:00,10:19:00,StopPoint:OCEINTERCITES-87677005,0,,0,1,
OCESN14142F869056:2022-10-11T00:32:48Z,10:29:00,10:30:00,StopPoint:OCEINTERCITES-87677120,1,,0,0,
OCESN14142F869056:2022-10-11T00:32:48Z,10:39:00,10:40:00,StopPoint:OCEINTERCITES-87673400,2,,0,0,
OCESN14142F869056:2022-10-11T00:32:48Z,10:52:00,11:02:00,StopPoint:OCEINTERCITES-87673004,3,,0,0,
OCESN14142F869056:2022-10-11T00:32:48Z,11:46:00,11:48:00,StopPoint:OCEINTERCITES-87672253,4,,0,0,
OCESN14142F869056:2022-10-11T00:32:48Z,12:09:00,12:12:00,StopPoint:OCEINTERCITES-87672006,5,,0,0,
OCESN14142F869056:2022-10-11T00:32:48Z,12:37:00,12:40:00,StopPoint:OCEINTERCITES-87671339,6,,0,0,
OCESN14142F869056:2022-10-11T00:32:48Z,12:53:00,12:56:00,StopPoint:OCEINTERCITES-87671008,7,,0,0,
OCESN14142F869056:2022-10-11T00:32:48Z,13:29:00,13:31:00,StopPoint:OCEINTERCITES-87611152,8,,0,0,
OCESN14142F869056:2022-10-11T00:32:48Z,14:26:00,14:26:00,StopPoint:OCEINTERCITES-87611004,9,,1,0,
OCESN14142F878323:2022-10-09T00:34:03Z,10:19:00,10:19:00,StopPoint:OCEINTERCITES-87677005,0,,0,1,
OCESN14142F878323:2022-10-09T00:34:03Z,10:29:00,10:30:00,StopPoint:OCEINTERCITES-87677120,1,,0,0,
OCESN14142F878323:2022-10-09T00:34:03Z,10:39:00,10:40:00,StopPoint:OCEINTERCITES-87673400,2,,0,0,
OCESN14142F878323:2022-10-09T00:34:03Z,10:52:00,11:02:00,StopPoint:OCEINTERCITES-87673004,3,,0,0,
OCESN14142F878323:2022-10-09T00:34:03Z,11:47:00,11:49:00,StopPoint:OCEINTERCITES-87672253,4,,0,0,
OCESN14142F878323:2022-10-09T00:34:03Z,12:10:00,12:13:00,StopPoint:OCEINTERCITES-87672006,5,,0,0,
OCESN14142F878323:2022-10-09T00:34:03Z,12:38:00,12:41:00,StopPoint:OCEINTERCITES-87671339,6,,0,0,
OCESN14142F878323:2022-10-09T00:34:03Z,12:54:00,12:57:00,StopPoint:OCEINTERCITES-87671008,7,,0,0,
OCESN14142F878323:2022-10-09T00:34:03Z,13:30:00,13:32:00,StopPoint:OCEINTERCITES-87611152,8,,0,0,
OCESN14142F878323:2022-10-09T00:34:03Z,14:27:00,14:27:00,StopPoint:OCEINTERCITES-87611004,9,,1,0,
OCESN14143F869780:2022-10-11T00:32:48Z,11:37:00,11:37:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14143F869780:2022-10-11T00:32:48Z,12:28:00,12:30:00,StopPoint:OCEINTERCITES-87611137,1,,0,0,
OCESN14143F869780:2022-10-11T00:32:48Z,13:08:00,13:10:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14143F869780:2022-10-11T00:32:48Z,13:26:00,13:29:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
