stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87393009,Versailles Chantiers,,48.7958260,2.13588300,,,1,
StopPoint:OCEOUIGO-87393009,Versailles Chantiers,,48.7958260,2.13588300,,,0,StopArea:OCE87393009
StopArea:OCE87393579,Massy-Palaiseau,,48.7264210,2.25752800,,,1,
StopPoint:OCEOUIGO-87393579,Massy-Palaiseau,,48.7264210,2.25752800,,,0,StopArea:OCE87393579
StopArea:OCE87394007,Chartres,,48.4482020,1.48131300,,,1,
StopPoint:OCEOUIGO-87394007,Chartres,,48.4482020,1.48131300,,,0,StopArea:OCE87394007
StopArea:OCE87396002,Le Mans,,47.9956150,0.19261400,,,1,
StopPoint:OCEOUIGO-87396002,Le Mans,,47.9956150,0.19261400,,,0,StopArea:OCE87396002
StopArea:OCE87481002,Nantes,,47.2174910,-1.5420770,,,1,
StopPoint:OCEINTERCITES-87481002,Nantes,,47.2174910,-1.5420770,,,0,StopArea:OCE87481002
StopPoint:OCEOUIGO-87481002,Nantes,,47.2174910,-1.5420770,,,0,StopArea:OCE87481002
StopArea:OCE87484006,Angers Saint-Laud,,47.4646490,-0.5567700,,,1,
StopPoint:OCEINTERCITES-87484006,Angers Saint-Laud,,47.4646490,-0.5567700,,,0,StopArea:OCE87484006
StopPoint:OCEOUIGO-87484006,Angers Saint-Laud,,47.4646490,-0.5567700,,,0,StopArea:OCE87484006
StopArea:OCE87485003,La Rochelle,,46.1527050,-1.1458530,,,1,
StopPoint:OCEINTERCITES-87485003,La Rochelle,,46.1527050,-1.1458530,,,0,StopArea:OCE87485003
StopArea:OCE87485144,Rochefort,,45.9471890,-0.9635560,,,1,
StopPoint:OCEINTERCITES-87485144,Rochefort,,45.9471890,-0.9635560,,,0,StopArea:OCE87485144
StopArea:OCE87486019,La Roche-sur-Yon,,46.6720750,-1.4356600,,,1,
StopPoint:OCEINTERCITES-87486019,La Roche-sur-Yon,,46.6720750,-1.4356600,,,0,StopArea:OCE87486019
StopArea:OCE87486258,Luçon,,46.4636270,-1.1674210,,,1,
StopPoint:OCEINTERCITES-87486258,Luçon,,46.4636270,-1.1674210,,,0,StopArea:OCE87486258
StopArea:OCE87487603,Saumur,,47.2689940,-0.0714030,,,1,
StopPoint:OCEINTERCITES-87487603,Saumur,,47.2689940,-0.0714030,,,0,StopArea:OCE87487603
StopPoint:OCEOUIGO-87487603,Saumur,,47.2689940,-0.0714030,,,0,StopArea:OCE87487603
StopArea:OCE87491001,Saintes,,45.7487400,-0.6179000,,,1,
StopPoint:OCEINTERCITES-87491001,Saintes,,45.7487400,-0.6179000,,,0,StopArea:OCE87491001
StopArea:OCE87491142,Jonzac,,45.4387460,-0.4416400,,,1,
StopPoint:OCEINTERCITES-87491142,Jonzac,,45.4387460,-0.4416400,,,0,StopArea:OCE87491142
StopArea:OCE87543017,Les Aubrais,,47.9268010,1.90662900,,,1,
StopPoint:OCEINTERCITES-87543017,Les Aubrais,,47.9268010,1.90662900,,,0,StopArea:OCE87543017
StopPoint:OCEINTERCITES de nuit-87543017,Les Aubrais,,47.9268010,1.90662900,,,0,StopArea:OCE87543017
StopPoint:OCEOUIGO-87543017,Les Aubrais,,47.9268010,1.90662900,,,0,StopArea:OCE87543017
StopArea:OCE87545244,Juvisy,,48.6891700,2.38267000,,,1,
StopPoint:OCEOUIGO-87545244,Juvisy,,48.6891700,2.38267000,,,0,StopArea:OCE87545244
StopArea:OCE87547000,Paris Austerlitz,,48.8422850,2.36489100,,,1,
StopPoint:OCEINTERCITES-87547000,Paris Austerlitz,,48.8422850,2.36489100,,,0,StopArea:OCE87547000
StopPoint:OCEINTERCITES de nuit-87547000,Paris Austerlitz,,48.8422850,2.36489100,,,0,StopArea:OCE87547000
StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.8422850,2.36489100,,,0,StopArea:OCE87547000
StopArea:OCE87571240,Saint-Pierre-des-Corps,,47.3861400,0.72353900,,,1,
StopPoint:OCEINTERCITES-87571240,Saint-Pierre-des-Corps,,47.3861400,0.72353900,,,0,StopArea:OCE87571240
StopPoint:OCEOUIGO-87571240,Saint-Pierre-des-Corps,,47.3861400,0.72353900,,,0,StopArea:OCE87571240
StopArea:OCE87574004,Blois - Chambord,,47.5854490,1.32375900,,,1,
StopPoint:OCEOUIGO-87574004,Blois - Chambord,,47.5854490,1.32375900,,,0,StopArea:OCE87574004
StopArea:OCE87576009,Vierzon,,47.2264740,2.05986900,,,1,
StopPoint:OCEINTERCITES-87576009,Vierzon,,47.2264740,2.05986900,,,0,StopArea:OCE87576009
StopArea:OCE87576207,Bourges,,47.0941290,2.39423600,,,1,
StopPoint:OCEINTERCITES-87576207,Bourges,,47.0941290,2.39423600,,,0,StopArea:OCE87576207
StopArea:OCE87581009,Bordeaux Saint-Jean,,44.8258730,-0.5566970,,,1,
StopPoint:OCEINTERCITES-87581009,Bordeaux Saint-Jean,,44.8258730,-0.5566970,,,0,StopArea:OCE87581009
StopArea:OCE87586008,Agen,,44.2079670,0.62086700,,,1,
StopPoint:OCEINTERCITES-87586008,Agen,,44.2079670,0.62086700,,,0,StopArea:OCE87586008
StopArea:OCE87586545,Marmande,,44.5030710,0.16809100,,,1,
StopPoint:OCEINTERCITES-87586545,Marmande,,44.5030710,0.16809100,,,0,StopArea:OCE87586545
StopArea:OCE87592006,Limoges Bénédictins,,45.8362070,1.26741900,,,1,
StopPoint:OCEINTERCITES-87592006,Limoges Bénédictins,,45.8362070,1.26741900,,,0,StopArea:OCE87592006
StopArea:OCE87592378,La Souterraine,,46.2397820,1.49220700,,,1,
StopPoint:OCEINTERCITES-87592378,La Souterraine,,46.2397820,1.49220700,,,0,StopArea:OCE87592378
StopArea:OCE87594002,Brive-la-Gaillarde,,45.1526010,1.52863400,,,1,
StopPoint:OCEINTERCITES-87594002,Brive-la-Gaillarde,,45.1526010,1.52863400,,,0,StopArea:OCE87594002
StopArea:OCE87594200,Uzerche,,45.4406540,1.57027200,,,1,
StopPoint:OCEINTERCITES-87594200,Uzerche,,45.4406540,1.57027200,,,0,StopArea:OCE87594200
StopArea:OCE87594333,Souillac,,44.9021270,1.46660500,,,1,
StopPoint:OCEINTERCITES-87594333,Souillac,,44.9021270,1.46660500,,,0,StopArea:OCE87594333
StopPoint:OCEINTERCITES de nuit-87594333,Souillac,,44.9021270,1.46660500,,,0,StopArea:OCE87594333
StopArea:OCE87594572,Saint-Denis-Près-Martel,,44.9460290,1.66623800,,,1,
StopPoint:OCEINTERCITES de nuit-87594572,Saint-Denis-Près-Martel,,44.9460290,1.66623800,,,0,StopArea:OCE87594572
StopArea:OCE87597005,Châteauroux,,46.8098120,1.69948300,,,1,
StopPoint:OCEINTERCITES-87597005,Châteauroux,,46.8098120,1.69948300,,,0,StopArea:OCE87597005
StopArea:OCE87597062,Issoudun,,46.9486960,1.98574100,,,1,
StopPoint:OCEINTERCITES-87597062,Issoudun,,46.9486960,1.98574100,,,0,StopArea:OCE87597062
StopArea:OCE87597120,Argenton-sur-Creuse,,46.5922500,1.51825600,,,1,
StopPoint:OCEINTERCITES-87597120,Argenton-sur-Creuse,,46.5922500,1.51825600,,,0,StopArea:OCE87597120
StopArea:OCE87611004,Toulouse Matabiau,,43.6112060,1.45361600,,,1,
StopPoint:OCEINTERCITES-87611004,Toulouse Matabiau,,43.6112060,1.45361600,,,0,StopArea:OCE87611004
StopPoint:OCEINTERCITES de nuit-87611004,Toulouse Matabiau,,43.6112060,1.45361600,,,0,StopArea:OCE87611004
StopArea:OCE87611137,Saint-Gaudens,,43.1050480,0.72915400,,,1,
StopPoint:OCEINTERCITES-87611137,Saint-Gaudens,,43.1050480,0.72915400,,,0,StopArea:OCE87611137
StopArea:OCE87611152,Montréjeau - Gourdan-Polignan,,43.0780850,0.57359000,,,1,
StopPoint:OCEINTERCITES-87611152,Montréjeau - Gourdan-Polignan,,43.0780850,0.57359000,,,0,StopArea:OCE87611152
StopArea:OCE87611244,Montauban Ville Bourbon,,44.0144400,1.34149900,,,1,
StopPoint:OCEINTERCITES-87611244,Montauban Ville Bourbon,,44.0144400,1.34149900,,,0,StopArea:OCE87611244
StopPoint:OCEINTERCITES de nuit-87611244,Montauban Ville Bourbon,,44.0144400,1.34149900,,,0,StopArea:OCE87611244
StopArea:OCE87611343,Pamiers,,43.1162070,1.61945100,,,1,
StopPoint:OCEINTERCITES de nuit-87611343,Pamiers,,43.1162070,1.61945100,,,0,StopArea:OCE87611343
