from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id
StopPoint:OCEINTERCITES de nuit-71793150,StopPoint:OCEINTERCITES de nuit-71793150,2,300,,
StopPoint:OCEINTERCITES-87481002,StopPoint:OCEINTERCITES-87481002,2,300,,
StopPoint:OCEINTERCITES-87484006,StopPoint:OCEINTERCITES-87484006,2,300,,
StopPoint:OCEINTERCITES-87485003,StopPoint:OCEINTERCITES-87485003,2,300,,
StopPoint:OCEINTERCITES-87485144,StopPoint:OCEINTERCITES-87485144,2,300,,
StopPoint:OCEINTERCITES-87486019,StopPoint:OCEINTERCITES-87486019,2,300,,
StopPoint:OCEINTERCITES-87486258,StopPoint:OCEINTERCITES-87486258,2,300,,
StopPoint:OCEINTERCITES-87487603,StopPoint:OCEINTERCITES-87487603,2,300,,
StopPoint:OCEINTERCITES-87491001,StopPoint:OCEINTERCITES-87491001,2,300,,
StopPoint:OCEINTERCITES-87491142,StopPoint:OCEINTERCITES-87491142,2,300,,
StopPoint:OCEINTERCITES de nuit-87543017,StopPoint:OCEINTERCITES de nuit-87543017,2,300,,
StopPoint:OCEINTERCITES-87543017,StopPoint:OCEINTERCITES-87543017,2,300,,
StopPoint:OCEINTERCITES-87547000,StopPoint:OCEINTERCITES-87547000,2,300,,
StopPoint:OCEINTERCITES de nuit-87547000,StopPoint:OCEINTERCITES de nuit-87547000,2,300,,
StopPoint:OCEINTERCITES-87571240,StopPoint:OCEINTERCITES-87571240,2,300,,
StopPoint:OCEINTERCITES-87576009,StopPoint:OCEINTERCITES-87576009,2,300,,
StopPoint:OCEINTERCITES-87576207,StopPoint:OCEINTERCITES-87576207,2,300,,
StopPoint:OCEINTERCITES-87581009,StopPoint:OCEINTERCITES-87581009,2,300,,
StopPoint:OCEINTERCITES-87586008,StopPoint:OCEINTERCITES-87586008,2,300,,
StopPoint:OCEINTERCITES-87586545,StopPoint:OCEINTERCITES-87586545,2,300,,
StopPoint:OCEINTERCITES-87592006,StopPoint:OCEINTERCITES-87592006,2,300,,
StopPoint:OCEINTERCITES-87592378,StopPoint:OCEINTERCITES-87592378,2,300,,
StopPoint:OCEINTERCITES-87594002,StopPoint:OCEINTERCITES-87594002,2,300,,
StopPoint:OCEINTERCITES-87594200,StopPoint:OCEINTERCITES-87594200,2,300,,
StopPoint:OCEINTERCITES-87594333,StopPoint:OCEINTERCITES-87594333,2,300,,
StopPoint:OCEINTERCITES de nuit-87594333,StopPoint:OCEINTERCITES de nuit-87594333,2,300,,
StopPoint:OCEINTERCITES de nuit-87594572,StopPoint:OCEINTERCITES de nuit-87594572,2,300,,
StopPoint:OCEINTERCITES-87597005,StopPoint:OCEINTERCITES-87597005,2,300,,
StopPoint:OCEINTERCITES-87597062,StopPoint:OCEINTERCITES-87597062,2,300,,
StopPoint:OCEINTERCITES-87597120,StopPoint:OCEINTERCITES-87597120,2,300,,
StopPoint:OCEINTERCITES-87611004,StopPoint:OCEINTERCITES-87611004,2,300,,
StopPoint:OCEINTERCITES de nuit-87611004,StopPoint:OCEINTERCITES de nuit-87611004,2,300,,
StopPoint:OCEINTERCITES-87611137,StopPoint:OCEINTERCITES-87611137,2,300,,
StopPoint:OCEINTERCITES-87611152,StopPoint:OCEINTERCITES-87611152,2,300,,
StopPoint:OCEINTERCITES-87611244,StopPoint:OCEINTERCITES-87611244,2,300,,
StopPoint:OCEINTERCITES de nuit-87611244,StopPoint:OCEINTERCITES de nuit-87611244,2,300,,
StopPoint:OCEINTERCITES de nuit-87611343,StopPoint:OCEINTERCITES de nuit-87611343,2,300,,
StopPoint:OCEINTERCITES de nuit-87611368,StopPoint:OCEINTERCITES de nuit-87611368,2,300,,
StopPoint:OCEINTERCITES de nuit-87611384,StopPoint:OCEINTERCITES de nuit-87611384,2,300,,
StopPoint:OCEINTERCITES de nuit-87611483,StopPoint:OCEINTERCITES de nuit-87611483,2,300,,
StopPoint:OCEINTERCITES de nuit-87611509,StopPoint:OCEINTERCITES de nuit-87611509,2,300,,
StopPoint:OCEINTERCITES de nuit-87611517,StopPoint:OCEINTERCITES de nuit-87611517,2,300,,
StopPoint:OCEINTERCITES de nuit-87611525,StopPoint:OCEINTERCITES de nuit-87611525,2,300,,
StopPoint:OCEINTERCITES de nuit-87611533,StopPoint:OCEINTERCITES de nuit-87611533,2,300,,
StopPoint:OCEINTERCITES de nuit-87611558,StopPoint:OCEINTERCITES de nuit-87611558,2,300,,
StopPoint:OCEINTERCITES de nuit-87611574,StopPoint:OCEINTERCITES de nuit-87611574,2,300,,
StopPoint:OCEINTERCITES de nuit-87611590,StopPoint:OCEINTERCITES de nuit-87611590,2,300,,
StopPoint:OCEINTERCITES de nuit-87611616,StopPoint:OCEINTERCITES de nuit-87611616,2,300,,
StopPoint:OCEINTERCITES de nuit-87613000,StopPoint:OCEINTERCITES de nuit-87613000,2,300,,
StopPoint:OCEINTERCITES-87613000,StopPoint:OCEINTERCITES-87613000,2,300,,
StopPoint:OCEINTERCITES de nuit-87613042,StopPoint:OCEINTERCITES de nuit-87613042,2,300,,
StopPoint:OCEINTERCITES de nuit-87613059,StopPoint:OCEINTERCITES de nuit-87613059,2,300,,
StopPoint:OCEINTERCITES de nuit-87613075,StopPoint:OCEINTERCITES de nuit-87613075,2,300,,
StopPoint:OCEINTERCITES de nuit-87613091,StopPoint:OCEINTERCITES de nuit-87613091,2,300,,
StopPoint:OCEINTERCITES de nuit-87613109,StopPoint:OCEINTERCITES de nuit-87613109,2,300,,
StopPoint:OCEINTERCITES-87613141,StopPoint:OCEINTERCITES-87613141,2,300,,
StopPoint:OCEINTERCITES de nuit-87613141,StopPoint:OCEINTERCITES de nuit-87613141,2,300,,
StopPoint:OCEINTERCITES de nuit-87613224,StopPoint:OCEINTERCITES de nuit-87613224,2,300,,
StopPoint:OCEINTERCITES de nuit-87613232,StopPoint:OCEINTERCITES de nuit-87613232,2,300,,
StopPoint:OCEINTERCITES de nuit-87613257,StopPoint:OCEINTERCITES de nuit-87613257,2,300,,
StopPoint:OCEINTERCITES de nuit-87613356,StopPoint:OCEINTERCITES de nuit-87613356,2,300,,
StopPoint:OCEINTERCITES-87613356,StopPoint:OCEINTERCITES-87613356,2,300,,
StopPoint:OCEINTERCITES de nuit-87613422,StopPoint:OCEINTERCITES de nuit-87613422,2,300,,
StopPoint:OCEINTERCITES de nuit-87613661,StopPoint:OCEINTERCITES de nuit-87613661,2,300,,
StopPoint:OCEINTERCITES de nuit-87615005,StopPoint:OCEINTERCITES de nuit-87615005,2,300,,
StopPoint:OCEINTERCITES de nuit-87615039,StopPoint:OCEINTERCITES de nuit-87615039,2,300,,
StopPoint:OCEINTERCITES de nuit-87615112,StopPoint:OCEINTERCITES de nuit-87615112,2,300,,
StopPoint:OCEINTERCITES de nuit-87615195,StopPoint:OCEINTERCITES de nuit-87615195,2,300,,
StopPoint:OCEINTERCITES de nuit-87615286,StopPoint:OCEINTERCITES de nuit-87615286,2,300,,
StopPoint:OCEINTERCITES-87615286,StopPoint:OCEINTERCITES-87615286,2,300,,
StopPoint:OCEINTERCITES de nuit-87615625,StopPoint:OCEINTERCITES de nuit-87615625,2,300,,
StopPoint:OCEINTERCITES-87645507,StopPoint:OCEINTERCITES-87645507,2,300,,
StopPoint:OCEINTERCITES de nuit-87671008,StopPoint:OCEINTERCITES de nuit-87671008,2,300,,
StopPoint:OCEINTERCITES-87671008,StopPoint:OCEINTERCITES-87671008,2,300,,
StopPoint:OCEINTERCITES-87671123,StopPoint:OCEINTERCITES-87671123,2,300,,
StopPoint:OCEINTERCITES de nuit-87671339,StopPoint:OCEINTERCITES de nuit-87671339,2,300,,
StopPoint:OCEINTERCITES-87671339,StopPoint:OCEINTERCITES-87671339,2,300,,
StopPoint:OCEINTERCITES-87672006,StopPoint:OCEINTERCITES-87672006,2,300,,
StopPoint:OCEINTERCITES-87672253,StopPoint:OCEINTERCITES-87672253,2,300,,
StopPoint:OCEINTERCITES-87673004,StopPoint:OCEINTERCITES-87673004,2,300,,
StopPoint:OCEINTERCITES-87673400,StopPoint:OCEINTERCITES-87673400,2,300,,
StopPoint:OCEINTERCITES-87677005,StopPoint:OCEINTERCITES-87677005,2,300,,
StopPoint:OCEINTERCITES-87677120,StopPoint:OCEINTERCITES-87677120,2,300,,
StopPoint:OCEINTERCITES-87686006,StopPoint:OCEINTERCITES-87686006,2,300,,
StopPoint:OCEINTERCITES-87686667,StopPoint:OCEINTERCITES-87686667,2,300,,
StopPoint:OCEINTERCITES-87696005,StopPoint:OCEINTERCITES-87696005,2,300,,
StopPoint:OCEINTERCITES-87696260,StopPoint:OCEINTERCITES-87696260,2,300,,
StopPoint:OCEINTERCITES-87696328,StopPoint:OCEINTERCITES-87696328,2,300,,
StopPoint:OCEINTERCITES-87721472,StopPoint:OCEINTERCITES-87721472,2,300,,
StopPoint:OCEINTERCITES-87722025,StopPoint:OCEINTERCITES-87722025,2,300,,
StopPoint:OCEINTERCITES-87723197,StopPoint:OCEINTERCITES-87723197,2,300,,
StopPoint:OCEINTERCITES-87726802,StopPoint:OCEINTERCITES-87726802,2,300,,
StopPoint:OCEINTERCITES-87732008,StopPoint:OCEINTERCITES-87732008,2,300,,
StopPoint:OCEINTERCITES-87732206,StopPoint:OCEINTERCITES-87732206,2,300,,
StopPoint:OCEINTERCITES-87734004,StopPoint:OCEINTERCITES-87734004,2,300,,
StopPoint:OCEINTERCITES-87734053,StopPoint:OCEINTERCITES-87734053,2,300,,
StopPoint:OCEINTERCITES-87734202,StopPoint:OCEINTERCITES-87734202,2,300,,
StopPoint:OCEINTERCITES-87734244,StopPoint:OCEINTERCITES-87734244,2,300,,
StopPoint:OCEINTERCITES-87734251,StopPoint:OCEINTERCITES-87734251,2,300,,
StopPoint:OCEINTERCITES-87734871,StopPoint:OCEINTERCITES-87734871,2,300,,
StopPoint:OCEINTERCITES de nuit-87742007,StopPoint:OCEINTERCITES de nuit-87742007,2,300,,
StopPoint:OCEINTERCITES-87751008,StopPoint:OCEINTERCITES-87751008,2,300,,
StopPoint:OCEINTERCITES de nuit-87751081,StopPoint:OCEINTERCITES de nuit-87751081,2,300,,
StopPoint:OCEINTERCITES-87753657,StopPoint:OCEINTERCITES-87753657,2,300,,
StopPoint:OCEINTERCITES de nuit-87755009,StopPoint:OCEINTERCITES de nuit-87755009,2,300,,
StopPoint:OCEINTERCITES de nuit-87755447,StopPoint:OCEINTERCITES de nuit-87755447,2,300,,
StopPoint:OCEINTERCITES de nuit-87756056,StopPoint:OCEINTERCITES de nuit-87756056,2,300,,
StopPoint:OCEINTERCITES de nuit-87757526,StopPoint:OCEINTERCITES de nuit-87757526,2,300,,
StopPoint:OCEINTERCITES de nuit-87757625,StopPoint:OCEINTERCITES de nuit-87757625,2,300,,
StopPoint:OCEINTERCITES de nuit-87757674,StopPoint:OCEINTERCITES de nuit-87757674,2,300,,
StopPoint:OCEINTERCITES de nuit-87761783,StopPoint:OCEINTERCITES de nuit-87761783,2,300,,
StopPoint:OCEINTERCITES de nuit-87761841,StopPoint:OCEINTERCITES de nuit-87761841,2,300,,
StopPoint:OCEINTERCITES de nuit-87761874,StopPoint:OCEINTERCITES de nuit-87761874,2,300,,
StopPoint:OCEINTERCITES de nuit-87763003,StopPoint:OCEINTERCITES de nuit-87763003,2,300,,
StopPoint:OCEINTERCITES de nuit-87763300,StopPoint:OCEINTERCITES de nuit-87763300,2,300,,
StopPoint:OCEINTERCITES de nuit-87763425,StopPoint:OCEINTERCITES de nuit-87763425,2,300,,
StopPoint:OCEINTERCITES de nuit-87763466,StopPoint:OCEINTERCITES de nuit-87763466,2,300,,
StopPoint:OCEINTERCITES de nuit-87763508,StopPoint:OCEINTERCITES de nuit-87763508,2,300,,
StopPoint:OCEINTERCITES de nuit-87763557,StopPoint:OCEINTERCITES de nuit-87763557,2,300,,
StopPoint:OCEINTERCITES de nuit-87763607,StopPoint:OCEINTERCITES de nuit-87763607,2,300,,
StopPoint:OCEINTERCITES-87773002,StopPoint:OCEINTERCITES-87773002,2,300,,
StopPoint:OCEINTERCITES-87773200,StopPoint:OCEINTERCITES-87773200,2,300,,
StopPoint:OCEINTERCITES-87775007,StopPoint:OCEINTERCITES-87775007,2,300,,
StopPoint:OCEINTERCITES-87781005,StopPoint:OCEINTERCITES-87781005,2,300,,
StopPoint:OCEINTERCITES de nuit-87781104,StopPoint:OCEINTERCITES de nuit-87781104,2,300,,
StopPoint:OCEINTERCITES-87781104,StopPoint:OCEINTERCITES-87781104,2,300,,
StopPoint:OCEINTERCITES-87781542,StopPoint:OCEINTERCITES-87781542,2,300,,
StopPoint:OCEINTERCITES-87781583,StopPoint:OCEINTERCITES-87781583,2,300,,
StopPoint:OCEINTERCITES-87781609,StopPoint:OCEINTERCITES-87781609,2,300,,
StopPoint:OCEINTERCITES-87781666,StopPoint:OCEINTERCITES-87781666,2,300,,
StopPoint:OCEINTERCITES-87783001,StopPoint:OCEINTERCITES-87783001,2,300,,
StopPoint:OCEINTERCITES-87783175,StopPoint:OCEINTERCITES-87783175,2,300,,
StopPoint:OCEINTERCITES-87783241,StopPoint:OCEINTERCITES-87783241,2,300,,
StopPoint:OCEINTERCITES-87783266,StopPoint:OCEINTERCITES-87783266,2,300,,
StopPoint:OCEINTERCITES-87783282,StopPoint:OCEINTERCITES-87783282,2,300,,
StopPoint:OCEINTERCITES-87783324,StopPoint:OCEINTERCITES-87783324,2,300,,
StopPoint:OCEINTERCITES-87783340,StopPoint:OCEINTERCITES-87783340,2,300,,
StopPoint:OCEINTERCITES-87783365,StopPoint:OCEINTERCITES-87783365,2,300,,
StopPoint:OCEINTERCITES-87783423,StopPoint:OCEINTERCITES-87783423,2,300,,
StopPoint:OCEINTERCITES-87783431,StopPoint:OCEINTERCITES-87783431,2,300,,
StopPoint:OCEINTERCITES-87783456,StopPoint:OCEINTERCITES-87783456,2,300,,
StopPoint:OCEINTERCITES de nuit-87784009,StopPoint:OCEINTERCITES de nuit-87784009,2,300,,
StopPoint:OCEINTERCITES de nuit-87784207,StopPoint:OCEINTERCITES de nuit-87784207,2,300,,
StopPoint:OCEINTERCITES de nuit-87784231,StopPoint:OCEINTERCITES de nuit-87784231,2,300,,
StopPoint:OCEINTERCITES de nuit-87784256,StopPoint:OCEINTERCITES de nuit-87784256,2,300,,
StopPoint:OCEINTERCITES de nuit-87784264,StopPoint:OCEINTERCITES de nuit-87784264,2,300,,
StopPoint:OCEINTERCITES de nuit-87784298,StopPoint:OCEINTERCITES de nuit-87784298,2,300,,
StopPoint:OCEINTERCITES de nuit-87785006,StopPoint:OCEINTERCITES de nuit-87785006,2,300,,
StopPoint:OCEINTERCITES de nuit-87543017,StopPoint:OCEINTERCITES-87543017,2,300,OCESN-1289990,OCESN-16628
StopPoint:OCEINTERCITES de nuit-87547000,StopPoint:OCEINTERCITES-87547000,2,300,OCESN-1289990,OCESN-16628
StopPoint:OCEINTERCITES de nuit-87594333,StopPoint:OCEINTERCITES-87594333,2,300,OCESN-1289990,OCESN-16628
StopPoint:OCEINTERCITES de nuit-87611004,StopPoint:OCEINTERCITES-87611004,2,300,OCESN-1289990,OCESN-16628
StopPoint:OCEINTERCITES de nuit-87611244,StopPoint:OCEINTERCITES-87611244,2,300,OCESN-1289990,OCESN-16628
StopPoint:OCEINTERCITES de nuit-87613000,StopPoint:OCEINTERCITES-87613000,2,300,OCESN-1289990,OCESN-16628
StopPoint:OCEINTERCITES de nuit-87613141,StopPoint:OCEINTERCITES-87613141,2,300,OCESN-1289990,OCESN-16628
StopPoint:OCEINTERCITES de nuit-87613356,StopPoint:OCEINTERCITES-87613356,2,300,OCESN-1289990,OCESN-16628
StopPoint:OCEINTERCITES-87543017,StopPoint:OCEINTERCITES de nuit-87543017,2,300,OCESN-16628,OCESN-1289990
StopPoint:OCEINTERCITES-87547000,StopPoint:OCEINTERCITES de nuit-87547000,2,300,OCESN-16628,OCESN-1289990
StopPoint:OCEINTERCITES-87594333,StopPoint:OCEINTERCITES de nuit-87594333,2,300,OCESN-16628,OCESN-1289990
StopPoint:OCEINTERCITES-87611004,StopPoint:OCEINTERCITES de nuit-87611004,2,300,OCESN-16628,OCESN-1289990
StopPoint:OCEINTERCITES-87611244,StopPoint:OCEINTERCITES de nuit-87611244,2,300,OCESN-16628,OCESN-1289990
StopPoint:OCEINTERCITES-87613000,StopPoint:OCEINTERCITES de nuit-87613000,2,300,OCESN-16628,OCESN-1289990
StopPoint:OCEINTERCITES-87613141,StopPoint:OCEINTERCITES de nuit-87613141,2,300,OCESN-16628,OCESN-1289990
StopPoint:OCEINTERCITES-87613356,StopPoint:OCEINTERCITES de nuit-87613356,2,300,OCESN-16628,OCESN-1289990
