route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-87671008-87611004,000001,OCESN14140F433777:2021-10-21T20:39:06Z,14140,0,1,
OCESN-87671008-87611004,000002,OCESN14140F439372:2021-10-21T20:39:06Z,14140,0,2,
OCESN-87671008-87611004,000003,OCESN14140F498760:2021-11-10T20:32:38Z,14140,0,3,
OCESN-87671008-87611004,000004,OCESN14140F499719:2021-11-09T20:33:44Z,14140,0,4,
OCESN-87671008-87611004,000005,OCESN14140F520072:2021-10-21T20:39:06Z,14140,0,5,
OCESN-87671008-87611004,000006,OCESN14140F520107:2021-10-21T20:39:06Z,14140,0,6,
OCESN-87671008-87611004,000007,OCESN14140F521977:2021-11-03T20:35:15Z,14140,0,7,
OCESN-87671008-87611004,000008,OCESN14140F525987:2021-10-21T20:39:06Z,14140,0,8,
OCESN-87671008-87611004,000009,OCESN14141F498429:2021-11-10T20:32:38Z,14141,1,9,
OCESN-87671008-87611004,000010,OCESN14141F520456:2021-10-21T20:39:06Z,14141,1,10,
OCESN-87671008-87611004,000011,OCESN14141F521894:2021-10-21T20:39:06Z,14141,1,11,
OCESN-87671008-87611004,000012,OCESN14141F543079:2021-10-22T20:36:02Z,14141,1,12,
OCESN-87671008-87611004,000013,OCESN14142F430280:2021-10-21T20:39:06Z,14142,0,13,
OCESN-87671008-87611004,000014,OCESN14142F499381:2021-11-10T20:32:38Z,14142,0,14,
OCESN-87671008-87611004,000015,OCESN14142F522314:2021-11-05T20:33:36Z,14142,0,15,
OCESN-87671008-87611004,000001,OCESN14143F430129:2021-10-21T20:39:06Z,14143,1,16,
OCESN-87671008-87611004,000016,OCESN14143F498277:2021-11-10T20:32:38Z,14143,1,17,
OCESN-87671008-87611004,000004,OCESN14143F507614:2021-11-09T20:33:44Z,14143,1,18,
OCESN-87671008-87611004,000017,OCESN14143F520896:2021-10-21T20:39:06Z,14143,1,19,
OCESN-87671008-87611004,000018,OCESN14143F522924:2021-10-21T20:39:06Z,14143,1,20,
OCESN-87671008-87611004,000012,OCESN14143F540275:2021-10-22T20:36:02Z,14143,1,21,
OCESN-87671008-87611004,000016,OCESN14148F499902:2021-11-10T20:32:38Z,14148,0,22,
OCESN-87671008-87611004,000019,OCESN14148F504472:2021-11-09T20:33:44Z,14148,0,23,
OCESN-87671008-87611004,000011,OCESN14148F525848:2021-10-21T20:39:06Z,14148,0,24,
OCESN-87671008-87611004,000012,OCESN14148F543234:2021-10-22T20:36:02Z,14148,0,25,
OCESN-87671008-87611004,000020,OCESN14150F499709:2021-11-10T20:32:38Z,14150,0,26,
OCESN-87671008-87611004,000021,OCESN14150F512394:2021-10-21T20:39:06Z,14150,0,27,
OCESN-87671008-87611004,000022,OCESN14150F522388:2021-11-03T20:35:15Z,14150,0,28,
OCESN-87671008-87611004,000023,OCESN14150F522443:2021-10-21T20:39:06Z,14150,0,29,
OCESN-87671008-87611004,000024,OCESN14151F439401:2021-10-21T20:39:06Z,14151,1,30,
OCESN-87671008-87611004,000025,OCESN14151F499344:2021-11-10T20:32:38Z,14151,1,31,
OCESN-87671008-87611004,000026,OCESN14151F499645:2021-11-04T20:34:26Z,14151,1,32,
OCESN-87671008-87611004,000012,OCESN14151F520591:2021-10-26T20:36:16Z,14151,1,33,
OCESN-87671008-87611004,000011,OCESN14151F522312:2021-10-21T20:39:06Z,14151,1,34,
OCESN-87671008-87611004,000019,OCESN14155F502821:2021-11-09T20:33:44Z,14155,1,35,
OCESN-87671008-87611004,000027,OCESN14155F519983:2021-10-21T20:39:06Z,14155,1,36,
OCESN-87671008-87611004,000012,OCESN14155F520634:2021-11-05T20:33:36Z,14155,1,37,
OCESN-87671008-87611004,000028,OCESN14157F496831:2021-11-10T20:32:38Z,14157,1,38,
OCESN-87671008-87611004,000029,OCESN14157F505295:2021-10-21T20:39:06Z,14157,1,39,
OCESN-87671008-87611004,000030,OCESN14157F520477:2021-10-26T20:36:16Z,14157,1,40,
OCESN-645666,000031,OCESN15940F426405:2021-10-14T20:36:12Z,15940,0,41,
OCESN-645666,000032,OCESN15940F426718:2021-10-14T20:36:12Z,15940,0,42,
OCESN-645666,000033,OCESN15940F499974:2021-11-10T20:32:38Z,15940,0,43,
OCESN-645666,000034,OCESN15940F511150:2021-11-04T20:34:26Z,15940,0,44,
