service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:TN:1,1,1,1,1,1,1,1,20221014,20221111
IDFM:TN:101,0,0,0,0,0,0,1,20221030,20221030
IDFM:TN:119,0,0,0,0,0,1,1,20221015,20221111
IDFM:TN:157,1,0,0,0,0,0,0,20221017,20221017
IDFM:TN:161,0,1,0,0,0,0,0,20221018,20221018
IDFM:TN:173,0,0,0,0,1,0,0,20221021,20221021
IDFM:TN:185,1,0,0,0,0,0,0,20221024,20221024
IDFM:TN:193,0,0,1,0,0,0,0,20221026,20221026
IDFM:TN:197,0,0,0,1,0,0,0,20221027,20221027
IDFM:TN:201,0,0,0,0,1,0,0,20221028,20221028
IDFM:TN:225,0,0,0,1,0,0,0,20221103,20221103
IDFM:TN:229,0,0,0,0,1,0,0,20221104,20221104
IDFM:TN:245,0,1,0,0,0,0,0,20221108,20221108
IDFM:TN:249,0,0,1,0,0,0,0,20221109,20221109
IDFM:TN:464,0,0,0,1,0,0,0,20221013,20221110
IDFM:TN:542,1,1,1,1,1,0,0,20221014,20221110
IDFM:TN:582,0,0,0,1,1,0,0,20221103,20221104
IDFM:TN:583,0,0,0,0,0,0,1,20221015,20221111
IDFM:TN:619,1,1,1,1,1,1,0,20221013,20221110
IDFM:TN:888,0,0,0,0,1,0,0,20221013,20221111
IDFM:TN:1000,1,1,1,1,1,0,0,20221013,20221110
IDFM:TN:1005,0,0,1,1,0,0,0,20221102,20221110
IDFM:TN:1016,0,0,1,1,1,0,0,20221013,20221104
IDFM:TN:1017,0,0,1,1,1,0,0,20221024,20221104
IDFM:TN:1020,1,1,1,1,1,1,1,20221013,20221110
IDFM:TN:1025,0,0,0,0,0,1,0,20221015,20221105
IDFM:TN:1033,0,0,1,1,1,1,0,20221015,20221105
IDFM:TN:1034,0,0,1,1,1,1,1,20221015,20221106
IDFM:TN:1036,0,0,0,0,0,1,1,20221015,20221106
IDFM:TN:1042,0,0,0,0,0,1,1,20221015,20221111
IDFM:TN:1056,0,0,0,0,0,0,1,20221016,20221106
IDFM:TN:1063,1,1,1,1,1,0,0,20221017,20221104
IDFM:TN:1066,0,0,0,0,0,1,1,20221022,20221023
IDFM:TN:1067,0,0,0,0,0,1,0,20221022,20221022
IDFM:TN:1099,1,1,1,1,1,0,0,20221024,20221028
IDFM:TN:1122,0,0,0,0,0,1,1,20221016,20221106
IDFM:TN:1165,0,0,0,0,0,1,0,20221029,20221029
IDFM:TN:1248,1,0,0,0,0,0,0,20221031,20221031
IDFM:TN:1254,0,0,0,0,0,1,0,20221015,20221105
IDFM:TN:1268,0,0,0,0,0,1,1,20221015,20221111
IDFM:TN:1391,0,0,0,0,0,1,0,20221015,20221022
IDFM:TN:1427,0,0,0,0,0,1,0,20221022,20221105
IDFM:TN:1503,0,0,0,0,0,1,1,20221015,20221111
IDFM:TN:1504,0,0,0,0,0,1,0,20221015,20221031
IDFM:TN:1689,0,0,0,0,0,1,0,20221015,20221105
IDFM:TN:1758,1,0,0,0,0,0,1,20221016,20221107
IDFM:TN:1759,0,0,0,0,0,0,1,20221016,20221111
IDFM:TN:1763,0,0,1,1,1,0,0,20221013,20221110
IDFM:TN:1805,1,0,1,1,1,0,0,20221024,20221028
IDFM:TN:1962,0,0,0,0,0,1,1,20221015,20221111
IDFM:TN:1993,0,0,0,0,0,1,0,20221015,20221111
IDFM:TN:2064,0,0,1,1,1,0,0,20221013,20221110
IDFM:TN:2069,1,1,1,1,1,0,0,20221017,20221110
IDFM:TN:2095,1,1,1,1,0,0,0,20221017,20221110
IDFM:TN:2096,1,1,1,1,1,0,0,20221024,20221110
IDFM:TN:2240,1,1,1,1,1,0,0,20221013,20221110
IDFM:TN:2242,1,1,1,1,1,0,0,20221013,20221110
IDFM:TN:2245,0,0,1,1,1,0,0,20221013,20221110
IDFM:TN:2246,0,0,1,1,1,0,0,20221013,20221110
IDFM:TN:2267,0,0,0,0,0,1,1,20221015,20221106
IDFM:TN:2268,0,0,0,0,0,1,0,20221015,20221105
IDFM:TN:2271,0,0,1,1,0,1,0,20221015,20221110
IDFM:TN:2324,0,0,1,1,1,0,0,20221014,20221110
IDFM:TN:2364,1,0,0,1,1,0,0,20221013,20221111
IDFM:TN:2365,1,0,0,1,1,0,0,20221013,20221110
IDFM:TN:2366,1,0,1,1,1,0,0,20221013,20221110
IDFM:TN:2367,1,1,1,1,1,0,0,20221013,20221110
IDFM:TN:2368,1,1,1,1,1,0,0,20221013,20221111
IDFM:TN:2370,0,0,0,0,0,1,0,20221015,20221111
IDFM:TN:2374,0,0,0,0,0,1,1,20221015,20221111
IDFM:TN:2378,0,0,0,0,0,0,1,20221016,20221111
IDFM:TN:2400,1,0,0,1,1,0,0,20221013,20221110
IDFM:TN:2460,1,0,0,1,1,0,0,20221013,20221110
IDFM:TN:2461,1,0,0,1,1,0,0,20221013,20221110
IDFM:TN:2462,1,0,0,1,1,0,0,20221013,20221111
IDFM:TN:2495,1,0,0,1,1,1,0,20221013,20221110
IDFM:TN:2498,1,0,0,1,1,1,1,20221013,20221111
IDFM:TN:2499,1,1,0,1,1,1,1,20221013,20221111
IDFM:TN:2500,1,0,0,1,1,0,0,20221013,20221110
IDFM:TN:2504,1,1,1,1,1,1,1,20221013,20221111
IDFM:TN:2536,1,1,1,1,1,0,0,20221015,20221110
IDFM:TN:2546,1,0,0,0,0,0,1,20221016,20221024
IDFM:TN:2560,0,1,1,0,0,0,0,20221018,20221026
IDFM:TN:2574,0,0,1,0,0,0,0,20221019,20221026
