object_id,object_system,object_code
IDFM:monomodalStopPlace:47052,netex_monomodal_stopplace,monomodalStopPlace:47052
IDFM:monomodalStopPlace:47052,source,FR::monomodalStopPlace:47052:FR1
IDFM:monomodalStopPlace:43246,netex_monomodal_stopplace,monomodalStopPlace:43246
IDFM:monomodalStopPlace:43246,source,FR::monomodalStopPlace:43246:FR1
IDFM:monomodalStopPlace:47187,netex_monomodal_stopplace,monomodalStopPlace:47187
IDFM:monomodalStopPlace:47187,source,FR::monomodalStopPlace:47187:FR1
IDFM:monomodalStopPlace:43228,netex_monomodal_stopplace,monomodalStopPlace:43228
IDFM:monomodalStopPlace:43228,source,FR::monomodalStopPlace:43228:FR1
IDFM:monomodalStopPlace:47955,netex_monomodal_stopplace,monomodalStopPlace:47955
IDFM:monomodalStopPlace:47955,source,FR::monomodalStopPlace:47955:FR1
IDFM:monomodalStopPlace:46647,netex_monomodal_stopplace,monomodalStopPlace:46647
IDFM:monomodalStopPlace:46647,source,FR::monomodalStopPlace:46647:FR1
IDFM:monomodalStopPlace:43111,netex_monomodal_stopplace,monomodalStopPlace:43111
IDFM:monomodalStopPlace:43111,source,FR::monomodalStopPlace:43111:FR1
IDFM:monomodalStopPlace:43176,netex_monomodal_stopplace,monomodalStopPlace:43176
IDFM:monomodalStopPlace:43176,source,FR::monomodalStopPlace:43176:FR1
IDFM:monomodalStopPlace:43088,netex_monomodal_stopplace,monomodalStopPlace:43088
IDFM:monomodalStopPlace:43088,source,FR::monomodalStopPlace:43088:FR1
IDFM:monomodalStopPlace:47937,netex_monomodal_stopplace,monomodalStopPlace:47937
IDFM:monomodalStopPlace:47937,source,FR::monomodalStopPlace:47937:FR1
IDFM:monomodalStopPlace:43071,netex_monomodal_stopplace,monomodalStopPlace:43071
IDFM:monomodalStopPlace:43071,source,FR::monomodalStopPlace:43071:FR1
IDFM:monomodalStopPlace:48964,netex_monomodal_stopplace,monomodalStopPlace:48964
IDFM:monomodalStopPlace:48964,source,FR::monomodalStopPlace:48964:FR1
IDFM:monomodalStopPlace:47486,netex_monomodal_stopplace,monomodalStopPlace:47486
