from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:monomodalStopPlace:47158,IDFM:470684,2,203
IDFM:472520,IDFM:471814,2,70
IDFM:20837,IDFM:483749,2,60
IDFM:471537,IDFM:472172,2,60
IDFM:483846,IDFM:471256,2,60
IDFM:13114,IDFM:monomodalStopPlace:47669,2,269
IDFM:483757,IDFM:monomodalStopPlace:43241,2,271
IDFM:monomodalStopPlace:427870,IDFM:31265,2,228
IDFM:472819,IDFM:monomodalStopPlace:427872,2,248
IDFM:480906,IDFM:481072,2,19
IDFM:monomodalStopPlace:43147,IDFM:21074,2,200
IDFM:39427,IDFM:471433,2,60
IDFM:11797,IDFM:monomodalStopPlace:43076,2,247
IDFM:41477,IDFM:472606,2,106
IDFM:420822,IDFM:monomodalStopPlace:47906,2,232
IDFM:483847,IDFM:483855,2,60
IDFM:427515,IDFM:470874,2,192
IDFM:483828,IDFM:483847,2,60
IDFM:428006,IDFM:monomodalStopPlace:46552,2,205
IDFM:3087,IDFM:monomodalStopPlace:43081,2,193
IDFM:monomodalStopPlace:473216,IDFM:36281,2,104
IDFM:470953,IDFM:8326,2,256
IDFM:monomodalStopPlace:43081,IDFM:3087,2,193
IDFM:472618,IDFM:471289,2,9
IDFM:483848,IDFM:monomodalStopPlace:44201,2,263
IDFM:472292,IDFM:monomodalStopPlace:43070,2,194
IDFM:10964,IDFM:monomodalStopPlace:47327,2,277
IDFM:39804,IDFM:470953,2,60
IDFM:monomodalStopPlace:43223,IDFM:411307,2,239
IDFM:419404,IDFM:472572,2,94
IDFM:483867,IDFM:10646,2,83
IDFM:5391,IDFM:472635,2,60
IDFM:8645,IDFM:monomodalStopPlace:47599,2,244
IDFM:471352,IDFM:monomodalStopPlace:45735,2,228
IDFM:483824,IDFM:483827,2,60
IDFM:10241,IDFM:monomodalStopPlace:43241,2,223
IDFM:472975,IDFM:8488,2,177
IDFM:41429,IDFM:26040,2,60
IDFM:472644,IDFM:479491,2,140
IDFM:42046,IDFM:monomodalStopPlace:43179,2,241
IDFM:monomodalStopPlace:411338,IDFM:472257,2,218
IDFM:483828,IDFM:monomodalStopPlace:470519,2,221
IDFM:472719,IDFM:472857,2,150
IDFM:monomodalStopPlace:45873,IDFM:monomodalStopPlace:58718,2,300
IDFM:monomodalStopPlace:43192,IDFM:471157,2,217
IDFM:monomodalStopPlace:46647,IDFM:473025,2,192
IDFM:472789,IDFM:473002,2,60
IDFM:471256,IDFM:428006,2,60
IDFM:472520,IDFM:483822,2,336
IDFM:25597,IDFM:30065,2,60
IDFM:483849,IDFM:470765,2,60
IDFM:monomodalStopPlace:411461,IDFM:471515,2,67
IDFM:monomodalStopPlace:462394,IDFM:monomodalStopPlace:58572,2,240
IDFM:monomodalStopPlace:473159,IDFM:37933,2,245
IDFM:423989,IDFM:423990,2,60
IDFM:19297,IDFM:470742,2,144
IDFM:471039,IDFM:419404,2,86
IDFM:monomodalStopPlace:45814,IDFM:30296,2,201
IDFM:478651,IDFM:478646,2,10
IDFM:monomodalStopPlace:46689,IDFM:25583,2,218
IDFM:471752,IDFM:monomodalStopPlace:47115,2,200
IDFM:477499,IDFM:477080,2,60
IDFM:6379,IDFM:471947,2,60
IDFM:472231,IDFM:472385,2,105
IDFM:monomodalStopPlace:43192,IDFM:30023,2,205
IDFM:4959,IDFM:monomodalStopPlace:47962,2,222
IDFM:477446,IDFM:471170,2,60
IDFM:39919,IDFM:483855,2,351
IDFM:monomodalStopPlace:412743,IDFM:471249,2,316
IDFM:monomodalStopPlace:43102,IDFM:9247,2,207
IDFM:22617,IDFM:19139,2,60
IDFM:472143,IDFM:483839,2,60
IDFM:478652,IDFM:480819,2,60
IDFM:470953,IDFM:monomodalStopPlace:58572,2,358
IDFM:471890,IDFM:471097,2,25
IDFM:monomodalStopPlace:58718,IDFM:monomodalStopPlace:58566,2,360
IDFM:monomodalStopPlace:43140,IDFM:28138,2,224
IDFM:480827,IDFM:478657,2,60
IDFM:426653,IDFM:4340,2,104
IDFM:471933,IDFM:monomodalStopPlace:43179,2,728
IDFM:9330,IDFM:9331,2,60
IDFM:18874,IDFM:470742,2,60
IDFM:37568,IDFM:2151,2,71
IDFM:471039,IDFM:472714,2,96
IDFM:monomodalStopPlace:43208,IDFM:16329,2,203
IDFM:monomodalStopPlace:47599,IDFM:426016,2,242
IDFM:472595,IDFM:41400,2,109
IDFM:478654,IDFM:480827,2,60
IDFM:420012,IDFM:472626,2,60
IDFM:monomodalStopPlace:47944,IDFM:32801,2,210
IDFM:471507,IDFM:monomodalStopPlace:46222,2,236
IDFM:20586,IDFM:20567,2,60
IDFM:19272,IDFM:19024,2,60
IDFM:427757,IDFM:monomodalStopPlace:58498,2,265
IDFM:471387,IDFM:41482,2,152
IDFM:411312,IDFM:monomodalStopPlace:43132,2,238
IDFM:483863,IDFM:monomodalStopPlace:411384,2,265
IDFM:413323,IDFM:42046,2,60
IDFM:20837,IDFM:20569,2,375
IDFM:483828,IDFM:483822,2,82
IDFM:471470,IDFM:413461,2,60
IDFM:monomodalStopPlace:43077,IDFM:2367,2,261
IDFM:472143,IDFM:472786,2,247
IDFM:monomodalStopPlace:47325,IDFM:471762,2,308
IDFM:471937,IDFM:monomodalStopPlace:47130,2,290
IDFM:39919,IDFM:39917,2,127
IDFM:monomodalStopPlace:43241,IDFM:483757,2,271
IDFM:470926,IDFM:471172,2,189
IDFM:477080,IDFM:477886,2,60
IDFM:471786,IDFM:470973,2,60
IDFM:28138,IDFM:monomodalStopPlace:43140,2,224
IDFM:30908,IDFM:471039,2,81
IDFM:11802,IDFM:460288,2,60
IDFM:471390,IDFM:471088,2,5
IDFM:472988,IDFM:monomodalStopPlace:411387,2,239
IDFM:34794,IDFM:41486,2,60
IDFM:monomodalStopPlace:47935,IDFM:483741,2,194
IDFM:28794,IDFM:41804,2,68
IDFM:26282,IDFM:26281,2,60
IDFM:427864,IDFM:monomodalStopPlace:47901,2,213
IDFM:monomodalStopPlace:462901,IDFM:470865,2,242
IDFM:monomodalStopPlace:43164,IDFM:472139,2,194
IDFM:27153,IDFM:monomodalStopPlace:43227,2,350
IDFM:471537,IDFM:471780,2,109
IDFM:423887,IDFM:monomodalStopPlace:46307,2,378
IDFM:471878,IDFM:472503,2,12
IDFM:470742,IDFM:18874,2,60
IDFM:29749,IDFM:29759,2,60
IDFM:27825,IDFM:471982,2,162
IDFM:26899,IDFM:470765,2,60
IDFM:9331,IDFM:9330,2,60
IDFM:monomodalStopPlace:43213,IDFM:472896,2,276
IDFM:19288,IDFM:18822,2,70
IDFM:471283,IDFM:477166,2,123
IDFM:411255,IDFM:483765,2,371
IDFM:472767,IDFM:monomodalStopPlace:46689,2,258
IDFM:471289,IDFM:471081,2,81
IDFM:483846,IDFM:428006,2,60
IDFM:472737,IDFM:477886,2,163
IDFM:monomodalStopPlace:43211,IDFM:472912,2,237
IDFM:471101,IDFM:477499,2,283
