route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C01637,IDFM:TN:1,IDFM:TN:SNCF:49a81458-0bad-44e7-97e4-22b06f104af7,Gare de Cergy le Haut,8062848,0,,,1,0
IDFM:C01634,IDFM:TN:1,IDFM:TN:SNCF:dc1c39a2-60a7-4880-b137-21b108aa0676,Chessy Nord - Quai G,8062807,1,,,1,0
IDFM:C01644,IDFM:TN:1,IDFM:TN:SNCF:b7a254b1-2ce4-4198-90dc-c709dc31314a,Paris Est,8062992,1,,,1,0
IDFM:C01645,IDFM:TN:1,IDFM:TN:SNCF:a88c3e04-0e5d-4d49-bf58-bf5b501b0103,Gare de Corbeil-Essonnes,8063022,1,,,1,0
IDFM:C01637,IDFM:TN:1,IDFM:TN:SNCF:a8ddff27-a2dc-4751-88e7-cbc5d8b6b300,Gare Saint-Lazare,8062849,1,,,1,0
IDFM:C01636,IDFM:TN:1,IDFM:TN:SNCF:beec6da1-1648-42ff-b4ff-b1eaf2942df5,Gare de Lyon - Van Gogh,8062828,1,,,1,0
IDFM:C01640,IDFM:TN:1,IDFM:TN:SNCF:6b5727ce-b0c5-437a-8499-9c19e0bd7a5f,Gare de Tournan-en-Brie (Côté guichet),8062963,0,,,1,0
IDFM:C01636,IDFM:TN:1,IDFM:TN:SNCF:4a403b4b-8a7b-4013-82d0-26997be4b86a,Brétigny,8062826,0,,,1,0
IDFM:C01645,IDFM:TN:1,IDFM:TN:SNCF:b032ab35-202d-410a-a302-9f314e724327,Gare de Corbeil-Essonnes,8063023,1,,,1,0
IDFM:C01640,IDFM:TN:1,IDFM:TN:SNCF:820185f2-b5fb-4b61-a218-94253d78093d,Gare de Tournan-en-Brie (Côté guichet),8062964,0,,,1,0
IDFM:C01637,IDFM:TN:1,IDFM:TN:SNCF:8e730bfa-e9e9-4db4-9e0b-43f2e955a38c,Gare Saint-Lazare,8062858,1,,,1,0
IDFM:C01640,IDFM:TN:1,IDFM:TN:SNCF:d17a791d-cc8e-43cf-ac7a-9a920cf27673,Gare de Tournan-en-Brie (Côté guichet),8062967,0,,,1,0
IDFM:C01637,IDFM:TN:1,IDFM:TN:SNCF:094cd6fe-cac0-48c7-9381-d652c4ce44c6,Gare Saint-Lazare,8062850,1,,,1,0
IDFM:C01640,IDFM:TN:1,IDFM:TN:SNCF:3fdf8d03-cf3f-4b2b-a676-c64823a6f373,Gare de l'Est,8062972,1,,,1,0
IDFM:C01640,IDFM:TN:1,IDFM:TN:SNCF:4b965f79-edd8-4e78-8cff-8b041db3e8fb,Gare de l'Est,8062971,1,,,1,0
IDFM:C01637,IDFM:TN:1,IDFM:TN:SNCF:4fdc51d3-428c-4f6e-a983-8021d35de919,Gare Saint-Lazare,8062857,1,,,1,0
IDFM:C01644,IDFM:TN:1,IDFM:TN:SNCF:8abb5e07-6799-4e35-bbbc-81feabb68299,Paris Est,8062991,1,,,1,0
IDFM:C01633,IDFM:TN:1,IDFM:TN:SNCF:94743678-9b56-4ef1-95e5-c7bb8d043f5e,Gare de Melun,8062831,0,,,2,0
IDFM:C01637,IDFM:TN:1,IDFM:TN:SNCF:cb8e6426-3455-4951-aed3-f8c8620a961c,Gare Saint-Lazare,8062859,1,,,1,0
IDFM:C01640,IDFM:TN:1,IDFM:TN:SNCF:459ef52e-f2bf-4b52-9d32-6110d83a1ced,Gare de l'Est,8062970,1,,,1,0
IDFM:C01637,IDFM:TN:1,IDFM:TN:SNCF:f8bfab51-1ceb-4d1e-9a16-2384ed78e830,Gare Saint-Lazare,8062851,1,,,1,0
IDFM:C01645,IDFM:TN:1,IDFM:TN:SNCF:48772188-ad10-43c5-b186-9969e94c2c11,Gare de Corbeil-Essonnes,8063024,1,,,1,0
IDFM:C01640,IDFM:TN:1,IDFM:TN:SNCF:f14b0261-fca7-4daf-979e-f55971f3273e,Gare de l'Est,8062969,1,,,1,0
IDFM:C01637,IDFM:TN:1,IDFM:TN:SNCF:ea3a72a3-8a8c-425f-a9bb-3275fac5c0a0,Gare Saint-Lazare,8062860,1,,,1,0
IDFM:C01644,IDFM:TN:1,IDFM:TN:SNCF:979a1d1c-e5e6-49d5-baea-886b448e3013,Roissypole - Aéroport CDG1 (D1),8062982,0,,,1,0
IDFM:C01640,IDFM:TN:1,IDFM:TN:SNCF:21aa368f-0fb1-4f56-a59c-9002aa20239c,Gare de l'Est,8062968,1,,,1,0
IDFM:C01633,IDFM:TN:1,IDFM:TN:SNCF:cfa8eaf7-7cb5-4677-9405-915b110ff18f,Gare de Melun,8062834,0,,,2,0
IDFM:C01634,IDFM:TN:1,IDFM:TN:SNCF:d3a8e6cf-c29b-432e-a60e-9a92fc50c736,Gare de Lyon - Van Gogh,8062812,0,,,1,0
IDFM:C01637,IDFM:TN:1,IDFM:TN:SNCF:df740aa7-c54d-41d5-8505-ed3a9dd63771,Gare Saint-Lazare,8062852,1,,,1,0
IDFM:C01639,IDFM:TN:1,IDFM:TN:SNCF:d0a1c1d3-da49-4a22-94e8-a2ab37983cbf,Gare de Meaux (Quai 2),8062958,0,,,1,0
IDFM:C01637,IDFM:TN:1,IDFM:TN:SNCF:7bba6fd0-ee10-48fa-9215-35ca1915ebf6,Gare de Cergy le Haut,8062845,0,,,1,0
IDFM:C01639,IDFM:TN:1,IDFM:TN:SNCF:5bcd7725-593e-4d26-b6fe-f573c4a38613,Gare de Meaux (Quai 2),8062957,0,,,1,0
IDFM:C01637,IDFM:TN:1,IDFM:TN:SNCF:0712becf-5138-4d3a-ac7b-7dad41571168,Gare de Cergy le Haut,8062853,0,,,1,0
